"","from","to","probability","origin"
"50","mainstem, ICH to LGR","Tucannon River Mouth","0.017 (0.0079 - 0.03)","Asotin_Creek"
"51","mainstem, ICH to LGR","Tucannon River Mouth","0.0022 (0.001 - 0.0037)","Clearwater_River"
"52","mainstem, ICH to LGR","Tucannon River Mouth","0.0028 (0.0016 - 0.0042)","Salmon_River"
"53","mainstem, ICH to LGR","Tucannon River Mouth","0.0029 (0.0014 - 0.0048)","Grande_Ronde"
"54","mainstem, ICH to LGR","Tucannon River Mouth","0.0015 (0.00044 - 0.0033)","Imnaha_River"
"55","mainstem, ICH to LGR","loss","0.092 (0.082 - 0.1)","Tucannon_River"
"56","mainstem, ICH to LGR","loss","0.043 (0.029 - 0.061)","Asotin_Creek"
"57","mainstem, ICH to LGR","loss","0.034 (0.029 - 0.038)","Clearwater_River"
"58","mainstem, ICH to LGR","loss","0.037 (0.034 - 0.04)","Salmon_River"
"59","mainstem, ICH to LGR","loss","0.042 (0.037 - 0.047)","Grande_Ronde"
"60","mainstem, ICH to LGR","loss","0.048 (0.043 - 0.055)","Imnaha_River"
"61","mainstem, upstream of LGR","mainstem, ICH to LGR","0.4 (0.38 - 0.42)","Tucannon_River"
"62","mainstem, upstream of LGR","mainstem, ICH to LGR","0.033 (0.022 - 0.049)","Asotin_Creek"
"63","mainstem, upstream of LGR","mainstem, ICH to LGR","0.018 (0.015 - 0.022)","Clearwater_River"
"64","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.018 - 0.023)","Salmon_River"
"65","mainstem, upstream of LGR","mainstem, ICH to LGR","0.019 (0.016 - 0.022)","Grande_Ronde"
"66","mainstem, upstream of LGR","mainstem, ICH to LGR","0.019 (0.016 - 0.022)","Imnaha_River"
"67","mainstem, upstream of LGR","Asotin Creek Mouth","0.06 (0.044 - 0.079)","Tucannon_River"
"68","mainstem, upstream of LGR","Asotin Creek Mouth","0.82 (0.75 - 0.88)","Asotin_Creek"
"69","mainstem, upstream of LGR","Asotin Creek Mouth","0.000045 (0.00000000000047 - 0.00021)","Clearwater_River"
"70","mainstem, upstream of LGR","Asotin Creek Mouth","0.000026 (0.000000000055 - 0.00012)","Salmon_River"
"71","mainstem, upstream of LGR","Asotin Creek Mouth","0.0048 (0.0028 - 0.0072)","Grande_Ronde"
"72","mainstem, upstream of LGR","Asotin Creek Mouth","0.000028 (0.0000000000000000000009 - 0.0001)","Imnaha_River"
"73","mainstem, upstream of LGR","Clearwater River","0.023 (0.018 - 0.029)","Tucannon_River"
"74","mainstem, upstream of LGR","Clearwater River","0.00012 (0.00000000000011 - 0.00046)","Asotin_Creek"
"75","mainstem, upstream of LGR","Clearwater River","0.3 (0.29 - 0.32)","Clearwater_River"
"76","mainstem, upstream of LGR","Clearwater River","0.0000099 (0.00000000000013 - 0.000056)","Salmon_River"
"77","mainstem, upstream of LGR","Clearwater River","0.000015 (0.0000000000000035 - 0.000083)","Grande_Ronde"
"78","mainstem, upstream of LGR","Clearwater River","0.0000044 (0.000000000000000000000027 - 0.000016)","Imnaha_River"
"79","mainstem, upstream of LGR","Salmon River","0.0015 (0.0004 - 0.0031)","Tucannon_River"
"80","mainstem, upstream of LGR","Salmon River","0.000078 (0.0000000000002 - 0.0004)","Asotin_Creek"
"81","mainstem, upstream of LGR","Salmon River","0.000013 (0.000000000000043 - 0.000073)","Clearwater_River"
"82","mainstem, upstream of LGR","Salmon River","0.28 (0.27 - 0.29)","Salmon_River"
"83","mainstem, upstream of LGR","Salmon River","0.000019 (0.00000000000042 - 0.00011)","Grande_Ronde"
"84","mainstem, upstream of LGR","Salmon River","0.000007 (0.0000000000000000000006 - 0.000053)","Imnaha_River"
"85","mainstem, upstream of LGR","Grande Ronde River","0.0063 (0.0039 - 0.0092)","Tucannon_River"
"86","mainstem, upstream of LGR","Grande Ronde River","0.014 (0.0065 - 0.023)","Asotin_Creek"
"87","mainstem, upstream of LGR","Grande Ronde River","0.000014 (0.00000000000077 - 0.000084)","Clearwater_River"
"88","mainstem, upstream of LGR","Grande Ronde River","0.0000082 (0.0000000000021 - 0.000037)","Salmon_River"
"89","mainstem, upstream of LGR","Grande Ronde River","0.084 (0.078 - 0.092)","Grande_Ronde"
"90","mainstem, upstream of LGR","Grande Ronde River","0.0000081 (0.0000000000000000000063 - 0.000039)","Imnaha_River"
"91","mainstem, upstream of LGR","Imnaha River Mouth","0.0033 (0.00095 - 0.0066)","Tucannon_River"
"92","mainstem, upstream of LGR","Imnaha River Mouth","0.00012 (0.00000000000074 - 0.00045)","Asotin_Creek"
"93","mainstem, upstream of LGR","Imnaha River Mouth","0.000018 (0.00000000000032 - 0.000094)","Clearwater_River"
"94","mainstem, upstream of LGR","Imnaha River Mouth","0.00019 (0.000011 - 0.00053)","Salmon_River"
"95","mainstem, upstream of LGR","Imnaha River Mouth","0.00086 (0.00025 - 0.0017)","Grande_Ronde"
"96","mainstem, upstream of LGR","Imnaha River Mouth","0.61 (0.59 - 0.63)","Imnaha_River"
"97","mainstem, upstream of LGR","loss","0.51 (0.49 - 0.52)","Tucannon_River"
"98","mainstem, upstream of LGR","loss","0.13 (0.083 - 0.19)","Asotin_Creek"
"99","mainstem, upstream of LGR","loss","0.68 (0.67 - 0.69)","Clearwater_River"
"100","mainstem, upstream of LGR","loss","0.7 (0.69 - 0.71)","Salmon_River"
"101","mainstem, upstream of LGR","loss","0.89 (0.88 - 0.9)","Grande_Ronde"
"102","mainstem, upstream of LGR","loss","0.37 (0.36 - 0.39)","Imnaha_River"
"103","Tucannon River Mouth","mainstem, ICH to LGR","0.028 (0.02 - 0.036)","Tucannon_River"
"104","Tucannon River Mouth","mainstem, ICH to LGR","0.25 (0.06 - 0.54)","Asotin_Creek"
"105","Tucannon River Mouth","mainstem, ICH to LGR","0.13 (0.011 - 0.39)","Clearwater_River"
"106","Tucannon River Mouth","mainstem, ICH to LGR","0.35 (0.17 - 0.52)","Salmon_River"
"107","Tucannon River Mouth","mainstem, ICH to LGR","0.17 (0.029 - 0.38)","Grande_Ronde"
"108","Tucannon River Mouth","mainstem, ICH to LGR","0.48 (0.19 - 0.74)","Imnaha_River"
"109","Tucannon River Mouth","loss","0.97 (0.96 - 0.98)","Tucannon_River"
"110","Tucannon River Mouth","loss","0.75 (0.46 - 0.94)","Asotin_Creek"
"111","Tucannon River Mouth","loss","0.87 (0.61 - 0.99)","Clearwater_River"
"112","Tucannon River Mouth","loss","0.65 (0.48 - 0.83)","Salmon_River"
"113","Tucannon River Mouth","loss","0.83 (0.62 - 0.97)","Grande_Ronde"
"114","Tucannon River Mouth","loss","0.52 (0.26 - 0.81)","Imnaha_River"
"115","Asotin Creek Mouth","mainstem, upstream of LGR","0.083 (0.032 - 0.16)","Tucannon_River"
"116","Asotin Creek Mouth","mainstem, upstream of LGR","0.0045 (0.00025 - 0.015)","Asotin_Creek"
"117","Asotin Creek Mouth","mainstem, upstream of LGR","0.33 (0.00000000005 -   1)","Clearwater_River"
"118","Asotin Creek Mouth","mainstem, upstream of LGR","0.3 (0.0000000003 -   1)","Salmon_River"
"119","Asotin Creek Mouth","mainstem, upstream of LGR","0.006 (0.000000000013 - 0.025)","Grande_Ronde"
"120","Asotin Creek Mouth","mainstem, upstream of LGR","0.52 (0.00000000000000018 -   1)","Imnaha_River"
"121","Asotin Creek Mouth","loss","0.92 (0.84 - 0.97)","Tucannon_River"
"122","Asotin Creek Mouth","loss","  1 (0.99 -   1)","Asotin_Creek"
"123","Asotin Creek Mouth","loss","0.67 (0.0000024 -   1)","Clearwater_River"
"124","Asotin Creek Mouth","loss","0.7 (0.0000023 -   1)","Salmon_River"
"125","Asotin Creek Mouth","loss","0.99 (0.98 -   1)","Grande_Ronde"
"126","Asotin Creek Mouth","loss","0.48 (0.00000000000000075 -   1)","Imnaha_River"
"127","Asotin Creek Upstream","mainstem, upstream of LGR","0.083 (0.032 - 0.16)","Tucannon_River"
"128","Asotin Creek Upstream","mainstem, upstream of LGR","0.0045 (0.00025 - 0.015)","Asotin_Creek"
"129","Asotin Creek Upstream","mainstem, upstream of LGR","0.33 (0.00000000005 -   1)","Clearwater_River"
"130","Asotin Creek Upstream","mainstem, upstream of LGR","0.3 (0.0000000003 -   1)","Salmon_River"
"131","Asotin Creek Upstream","mainstem, upstream of LGR","0.006 (0.000000000013 - 0.025)","Grande_Ronde"
"132","Asotin Creek Upstream","mainstem, upstream of LGR","0.52 (0.00000000000000018 -   1)","Imnaha_River"
"133","Asotin Creek Upstream","loss","0.92 (0.84 - 0.97)","Tucannon_River"
"134","Asotin Creek Upstream","loss","  1 (0.99 -   1)","Asotin_Creek"
"135","Asotin Creek Upstream","loss","0.67 (0.0000024 -   1)","Clearwater_River"
"136","Asotin Creek Upstream","loss","0.7 (0.0000023 -   1)","Salmon_River"
"137","Asotin Creek Upstream","loss","0.99 (0.98 -   1)","Grande_Ronde"
"138","Asotin Creek Upstream","loss","0.48 (0.00000000000000075 -   1)","Imnaha_River"
"139","Clearwater River","mainstem, upstream of LGR","0.002 (0.00000000000032 - 0.01)","Tucannon_River"
"140","Clearwater River","mainstem, upstream of LGR","0.26 (0.000000000015 -   1)","Asotin_Creek"
"141","Clearwater River","mainstem, upstream of LGR","0.0032 (0.0014 - 0.0059)","Clearwater_River"
"142","Clearwater River","mainstem, upstream of LGR","0.35 (0.0000000000018 -   1)","Salmon_River"
"143","Clearwater River","mainstem, upstream of LGR","0.26 (0.0000000000083 -   1)","Grande_Ronde"
"144","Clearwater River","mainstem, upstream of LGR","0.48 (0.00000000000000068 -   1)","Imnaha_River"
"145","Clearwater River","loss","  1 (0.99 -   1)","Tucannon_River"
"146","Clearwater River","loss","0.74 (0.00021 -   1)","Asotin_Creek"
"147","Clearwater River","loss","  1 (0.99 -   1)","Clearwater_River"
"148","Clearwater River","loss","0.65 (0.0000028 -   1)","Salmon_River"
"149","Clearwater River","loss","0.74 (0.000016 -   1)","Grande_Ronde"
"150","Clearwater River","loss","0.52 (0.0000000000000023 -   1)","Imnaha_River"
"151","Salmon River","mainstem, upstream of LGR","0.017 (0.000000000002 - 0.11)","Tucannon_River"
"152","Salmon River","mainstem, upstream of LGR","0.33 (0.000000000013 -   1)","Asotin_Creek"
"153","Salmon River","mainstem, upstream of LGR","0.28 (0.0000000000029 -   1)","Clearwater_River"
"154","Salmon River","mainstem, upstream of LGR","0.0012 (0.00031 - 0.0024)","Salmon_River"
"155","Salmon River","mainstem, upstream of LGR","0.3 (0.000000000025 -   1)","Grande_Ronde"
"156","Salmon River","mainstem, upstream of LGR","0.49 (0.0000000000000000079 -   1)","Imnaha_River"
"157","Salmon River","loss","0.98 (0.89 -   1)","Tucannon_River"
"158","Salmon River","loss","0.67 (0.0000011 -   1)","Asotin_Creek"
"159","Salmon River","loss","0.72 (0.000009 -   1)","Clearwater_River"
"160","Salmon River","loss","  1 (  1 -   1)","Salmon_River"
"161","Salmon River","loss","0.7 (0.0000091 -   1)","Grande_Ronde"
"162","Salmon River","loss","0.51 (0 -   1)","Imnaha_River"
"163","Grande Ronde River","mainstem, upstream of LGR","0.002 (0.000000000000018 - 0.0098)","Tucannon_River"
"164","Grande Ronde River","mainstem, upstream of LGR","0.0023 (0.000000000000013 - 0.0089)","Asotin_Creek"
"165","Grande Ronde River","mainstem, upstream of LGR","0.21 (0.00000000000000017 -   1)","Clearwater_River"
"166","Grande Ronde River","mainstem, upstream of LGR","0.18 (0.0000000000011 -   1)","Salmon_River"
"167","Grande Ronde River","mainstem, upstream of LGR","0.00017 (0.0000000000000095 - 0.00089)","Grande_Ronde"
"168","Grande Ronde River","mainstem, upstream of LGR","0.45 (0.000000000000000000021 -   1)","Imnaha_River"
"169","Grande Ronde River","loss","  1 (0.99 -   1)","Tucannon_River"
"170","Grande Ronde River","loss","  1 (0.99 -   1)","Asotin_Creek"
"171","Grande Ronde River","loss","0.79 (0.000013 -   1)","Clearwater_River"
"172","Grande Ronde River","loss","0.82 (0.0016 -   1)","Salmon_River"
"173","Grande Ronde River","loss","  1 (  1 -   1)","Grande_Ronde"
"174","Grande Ronde River","loss","0.55 (0 -   1)","Imnaha_River"
"175","Imnaha River Mouth","mainstem, upstream of LGR","0.019 (0.000000000044 - 0.089)","Tucannon_River"
"176","Imnaha River Mouth","mainstem, upstream of LGR","0.38 (0.0000000038 -   1)","Asotin_Creek"
"177","Imnaha River Mouth","mainstem, upstream of LGR","0.38 (0.00000000071 -   1)","Clearwater_River"
"178","Imnaha River Mouth","mainstem, upstream of LGR","0.88 (0.33 -   1)","Salmon_River"
"179","Imnaha River Mouth","mainstem, upstream of LGR","0.017 (0.0000000000062 - 0.085)","Grande_Ronde"
"180","Imnaha River Mouth","mainstem, upstream of LGR","0.00064 (0.000046 - 0.0018)","Imnaha_River"
"181","Imnaha River Mouth","loss","0.98 (0.91 -   1)","Tucannon_River"
"182","Imnaha River Mouth","loss","0.62 (0.00000034 -   1)","Asotin_Creek"
"183","Imnaha River Mouth","loss","0.62 (0.00000013 -   1)","Clearwater_River"
"184","Imnaha River Mouth","loss","0.12 (0.00000000058 - 0.67)","Salmon_River"
"185","Imnaha River Mouth","loss","0.98 (0.91 -   1)","Grande_Ronde"
"186","Imnaha River Mouth","loss","  1 (  1 -   1)","Imnaha_River"
