day,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,35.313,33.258,40.967,37.871,19.600,52.352,27.596,42.325,33.348,16.979,61.504,32.129,43.842,52.821,61.567,26.117,29.471,28.571,21.779,19.704,29.821,16.675,18.638,18.267,18.563,54.146,169.021,26.613,50.667,19.250,17.271,18.646,13.896,15.046,21.308,59.571,28.146,20.000,17.350,20.408,22.696,27.546,17.725,17.442,26.117,21.171,18.575,45.683,18.667,18.113,22.746,21.983,26.478
2,,34.288,31.829,44.021,53.179,31.708,54.050,18.900,45.046,35.213,23.371,66.646,38.513,41.221,50.563,42.083,21.546,40.746,27.371,31.558,19.917,28.183,16.042,15.896,14.871,15.671,59.588,202.254,24.383,50.354,22.004,35.592,18.317,14.896,15.938,20.663,72.204,29.942,23.246,21.792,16.017,25.938,28.229,28.217,19.175,25.404,23.450,17.063,42.800,23.117,23.954,26.221,19.175,45.028
3,,31.900,37.208,41.492,45.921,38.744,52.900,32.429,41.788,44.823,27.146,62.592,39.838,49.842,61.758,35.479,29.400,38.142,18.663,21.029,21.875,30.113,23.575,16.563,16.233,17.138,61.260,188.708,28.083,41.746,26.463,13.296,21.550,18.871,18.513,24.558,55.821,26.448,18.204,28.100,18.042,35.438,31.492,26.692,19.404,24.496,23.175,20.158,35.550,20.321,22.308,22.321,17.396,21.882
4,,30.433,43.642,43.925,46.815,29.913,53.621,41.854,43.071,42.652,33.058,60.279,48.408,48.058,56.246,39.113,36.767,23.688,27.175,17.204,22.279,27.608,25.975,18.958,17.567,19.254,64.223,168.263,27.300,36.196,29.417,15.783,26.375,19.942,19.388,17.546,51.708,26.413,20.129,26.098,22.608,34.454,31.654,20.354,22.096,24.250,20.229,22.275,36.608,22.475,24.196,27.708,22.038,20.550
5,,34.621,33.258,41.979,42.371,36.733,56.658,41.794,41.279,58.200,25.621,56.767,43.042,46.267,52.448,48.867,29.146,33.117,31.442,21.054,21.900,31.008,17.083,22.313,20.167,18.546,54.254,143.092,22.896,36.558,30.592,14.917,21.917,15.488,23.967,20.438,38.471,33.196,18.900,21.413,23.208,29.700,24.833,21.688,15.254,20.883,24.833,23.579,37.604,20.433,21.004,28.858,21.992,18.383
6,,36.652,35.467,32.875,41.523,33.702,55.071,40.592,46.435,31.517,9.158,57.992,51.868,55.446,57.513,33.671,29.238,38.742,25.025,22.729,23.321,25.267,16.863,19.892,26.854,16.046,46.013,102.396,28.517,44.558,31.017,13.154,28.700,22.229,30.388,24.475,43.125,27.083,25.304,23.283,28.088,24.767,24.825,13.850,19.346,32.000,24.321,25.504,37.408,19.358,23.350,29.096,17.217,22.322
7,,32.898,34.529,28.608,51.533,39.254,54.788,44.475,44.283,29.158,19.463,54.883,41.024,65.046,59.967,34.433,28.750,40.704,30.421,24.373,21.533,28.783,21.625,16.579,18.429,16.579,52.796,72.546,31.079,40.942,29.027,14.713,24.725,19.379,28.146,30.700,40.425,33.027,19.629,24.938,30.758,24.508,19.546,19.504,25.604,36.042,26.233,22.733,34.838,24.288,18.808,28.500,21.154,28.033
8,,33.767,36.954,41.196,41.808,37.563,48.742,31.192,39.388,53.146,36.500,62.975,43.373,70.408,59.633,51.367,29.204,37.998,27.371,21.321,21.442,28.375,22.100,15.146,24.608,21.525,59.342,76.813,32.346,49.558,30.438,21.504,31.925,16.329,21.417,15.375,27.729,26.108,25.633,43.371,28.238,29.267,21.617,28.421,20.146,38.725,24.108,21.225,36.088,21.546,19.863,23.692,23.213,26.228
9,,30.863,29.017,36.279,48.842,39.617,54.333,22.733,45.075,39.290,40.848,55.507,40.296,80.867,64.429,51.808,28.417,27.358,26.733,35.492,25.163,28.638,23.927,15.958,22.046,22.196,38.972,81.913,31.933,47.554,39.542,9.333,36.188,19.525,21.429,10.079,34.113,40.521,21.217,56.538,26.342,24.604,25.479,24.925,18.746,32.646,24.913,20.358,39.721,21.317,20.433,25.608,25.467,24.272
10,,26.142,39.146,37.092,43.383,39.153,52.446,24.338,43.825,44.365,43.744,54.023,34.363,83.106,58.975,50.292,33.063,24.767,15.646,30.417,29.492,27.054,30.012,14.833,23.579,20.029,43.815,89.083,31.579,46.654,31.742,18.725,38.042,19.333,17.725,22.425,38.158,27.508,24.596,43.221,26.967,30.242,22.633,22.104,14.679,31.208,23.463,25.354,47.013,21.700,20.408,24.267,21.421,24.861
11,,40.850,36.429,34.717,42.117,40.124,62.188,31.196,47.629,33.779,39.800,28.279,30.133,68.485,63.125,56.565,25.833,23.825,26.450,18.183,27.692,29.479,31.671,26.483,19.671,28.154,53.435,74.908,30.867,50.963,35.142,17.033,27.263,17.925,18.167,20.604,50.979,42.121,20.075,39.979,19.529,31.433,22.325,29.975,16.338,33.788,27.479,30.067,49.992,20.025,20.863,24.621,24.046,28.200
12,,43.146,32.533,36.421,41.508,37.892,58.058,34.871,47.233,25.173,50.275,37.775,43.729,72.067,56.093,33.275,30.000,33.210,27.446,30.296,25.954,29.942,21.538,27.592,23.229,36.154,60.383,80.967,28.675,55.113,39.942,11.788,29.675,15.075,28.850,18.325,44.025,37.167,28.088,35.029,24.450,28.913,27.413,28.221,20.563,30.313,20.625,26.554,45.692,19.679,21.033,27.883,24.850,23.856
13,,41.363,28.846,42.558,38.083,41.379,49.783,32.304,46.835,20.929,21.700,43.550,41.417,66.667,53.919,41.867,28.167,35.719,28.983,32.579,23.508,27.604,21.129,27.792,22.183,35.917,54.142,71.806,29.113,50.192,39.452,20.367,25.275,16.288,21.550,25.579,43.688,36.617,22.621,41.341,21.442,29.775,24.479,19.954,22.846,29.113,19.800,24.546,53.942,15.788,23.946,31.113,25.233,24.956
14,,41.200,37.931,40.596,47.433,39.692,51.646,35.142,50.925,13.608,20.332,51.329,43.413,63.392,56.025,58.549,25.058,40.792,22.613,30.183,20.033,32.638,24.408,18.383,23.442,43.217,54.679,65.196,31.813,57.452,33.404,14.725,19.950,18.588,25.004,37.083,47.121,36.013,21.600,44.796,21.679,28.321,16.196,28.250,22.950,27.750,24.471,27.717,52.408,16.488,24.375,34.342,23.829,26.622
15,,45.492,32.475,45.700,42.350,37.367,54.229,29.063,41.621,25.383,36.314,50.479,36.196,54.658,56.829,44.028,28.217,36.942,23.996,26.405,22.417,36.046,24.154,21.071,26.238,56.204,54.067,68.388,29.146,57.617,33.804,17.738,34.829,20.163,18.788,23.992,38.454,33.104,22.800,38.292,22.413,40.367,20.250,29.033,21.688,26.558,25.967,28.513,55.229,16.513,19.554,32.317,22.921,33.883
16,,41.846,39.654,48.213,83.475,46.615,69.563,28.983,55.600,43.288,44.523,52.675,30.108,42.388,58.039,49.579,29.608,67.825,21.308,29.581,25.021,44.627,22.308,19.900,20.088,52.708,64.192,67.640,32.783,64.450,33.758,24.338,26.667,20.913,24.854,17.346,42.917,50.379,24.371,42.608,23.892,46.313,20.508,24.133,21.792,26.521,24.100,29.004,50.188,20.800,24.038,30.529,21.029,30.033
17,,44.246,33.379,57.388,118.071,39.150,81.025,32.204,50.785,55.916,38.248,25.967,26.188,55.683,62.916,56.742,25.083,19.854,19.954,37.163,23.729,39.763,21.033,13.896,26.625,47.967,60.440,64.188,32.388,57.421,36.033,16.163,28.083,25.617,22.796,16.513,29.400,24.258,21.796,38.150,24.263,81.171,19.979,23.804,20.846,31.583,23.150,29.088,47.750,21.408,22.017,20.521,26.629,23.867
18,,53.967,40.546,61.267,133.858,37.700,78.329,29.475,57.619,38.244,42.346,16.658,33.313,55.338,62.083,75.106,25.354,33.104,20.250,36.542,29.546,35.200,17.713,20.954,31.675,41.238,60.617,62.133,27.671,59.813,45.792,32.721,29.313,23.558,20.121,21.483,40.446,34.508,26.571,39.313,25.246,90.633,29.333,24.979,20.333,28.413,24.588,21.517,48.375,17.596,20.283,28.129,23.871,26.013
19,,72.358,37.196,56.146,112.963,40.446,76.538,35.650,57.692,41.519,36.767,21.913,38.304,54.452,57.625,56.050,32.713,27.138,22.971,21.983,27.954,33.213,10.358,23.104,37.838,29.979,58.667,60.560,34.558,58.154,44.883,23.729,23.113,20.217,24.746,30.650,34.000,30.575,20.667,36.417,20.854,71.896,27.842,19.483,19.371,37.613,25.842,17.967,48.863,19.767,17.617,26.713,25.642,32.230
20,,88.788,35.004,57.421,114.385,48.167,70.479,37.654,49.621,38.092,24.621,21.063,38.708,53.629,57.021,34.808,39.258,27.967,25.554,28.192,24.279,36.025,16.100,17.238,20.438,30.458,54.933,64.917,36.008,55.888,38.179,19.958,18.804,19.179,37.863,34.004,40.221,18.404,19.192,35.821,22.042,62.363,28.696,13.304,18.900,41.113,24.771,25.629,53.838,20.000,20.371,25.979,27.150,26.006
21,,107.429,44.388,56.471,119.019,42.450,66.429,32.054,56.242,20.396,24.029,25.356,45.363,47.725,41.983,42.779,38.958,28.508,25.450,37.575,26.508,36.663,17.617,21.233,15.971,29.738,43.717,68.425,38.708,58.208,38.563,17.846,24.546,20.592,19.508,24.525,35.413,15.292,22.213,33.717,24.825,63.067,27.000,23.054,19.413,39.775,31.408,20.733,47.688,20.283,17.633,24.988,31.208,22.156
22,,96.196,73.688,60.108,114.454,37.313,67.571,30.838,57.671,37.354,33.817,28.242,58.496,50.521,34.821,54.288,40.700,31.376,24.925,32.025,25.763,31.417,21.504,21.442,17.108,29.396,61.433,56.890,37.713,62.858,33.179,31.817,28.996,21.988,11.004,25.792,35.958,33.004,25.046,33.154,22.663,63.896,29.867,22.779,16.050,36.175,26.367,28.692,48.283,23.450,19.983,26.538,31.279,29.817
23,,93.508,67.704,50.971,98.992,37.396,66.025,24.392,51.617,41.954,39.813,34.258,39.750,46.125,52.408,45.271,42.071,42.595,21.142,35.454,26.688,40.717,18.767,21.783,17.758,28.775,50.785,57.350,39.483,56.533,37.492,24.292,27.308,23.775,18.267,23.517,34.575,30.583,15.833,34.733,22.071,59.696,33.913,21.117,20.771,31.825,28.321,26.671,47.683,21.396,22.983,24.200,30.079,22.444
24,,83.921,60.554,27.954,97.825,38.471,65.596,28.338,41.138,37.913,39.325,30.967,36.308,60.805,58.933,47.158,35.538,27.442,19.667,35.538,27.833,30.408,25.800,21.850,21.729,29.408,54.177,67.025,36.533,61.554,37.413,22.329,31.042,25.988,18.392,29.008,40.992,28.429,23.121,32.954,25.742,64.269,29.363,19.917,19.204,33.879,36.317,29.954,44.738,29.238,24.838,31.117,30.254,28.256
