"","tag_code_2","natal_origin","rear_type"
"1","384.36F2B32A33",10,1
"2","384.36F2B32C9A",10,1
"3","384.36F2B34A71",10,2
"4","384.36F2B34B1A",10,2
"5","384.36F2B34C4A",10,2
"6","384.36F2B34C5D",10,2
"7","384.36F2B34D48",10,2
"8","384.36F2B34EB9",10,2
"9","384.36F2B34FEC",10,2
"10","384.36F2B34FF8",10,2
"11","384.36F2B35051",10,2
"12","384.36F2B35088",10,2
"13","384.36F2B35105",10,2
"14","384.36F2B351EC",10,2
"15","384.36F2B35214",10,2
"16","384.36F2B35218",10,2
"17","384.36F2B352A9",10,2
"18","384.36F2B352D8",10,2
"19","384.36F2B3535E",10,2
"20","384.36F2B3542A",10,2
"21","384.36F2B35504",10,2
"22","384.36F2B35572",10,2
"23","384.36F2B35588",10,2
"24","384.36F2B357BC",10,2
"25","384.36F2B357D4",10,2
"26","384.36F2B3584A",10,2
"27","384.36F2B35908",10,2
"28","384.36F2B35910",10,2
"29","384.36F2B35A3B",10,2
"30","384.36F2B35A58",10,2
"31","384.36F2B35A64",10,2
"32","384.36F2B35B87",10,2
"33","384.36F2B35B8D",10,2
"34","384.36F2B35C19",10,2
"35","384.36F2B35D0F",10,2
"36","384.36F2B35D35",10,2
"37","384.36F2B3616D",10,2
"38","384.36F2B36200",10,2
"39","384.36F2B364DB",10,2
"40","384.36F2B365BC",10,2
"41","384.36F2B365CE",10,2
"42","384.36F2B36661",10,2
"43","384.36F2B36740",10,2
"44","384.36F2B368F7",10,2
"45","384.36F2B36AD6",10,2
"46","384.36F2B36ADF",10,2
"47","384.36F2B36B65",10,2
"48","384.36F2B36B72",10,2
"49","384.36F2B36BAC",10,2
"50","384.36F2B36EB0",10,2
"51","384.36F2B36FA5",10,2
"52","384.36F2B36FE5",10,2
"53","384.36F2B36FE9",10,2
"54","384.36F2B483BC",10,2
"55","384.36F2B4855E",10,2
"56","384.36F2B48579",10,2
"57","384.36F2B48714",10,2
"58","384.36F2B487AE",10,2
"59","384.36F2B487E3",10,2
"60","384.36F2B487FB",10,2
"61","384.36F2B48819",10,2
"62","384.36F2B4887B",10,2
"63","384.36F2B48896",10,2
"64","384.36F2B48917",10,2
"65","384.36F2B48973",10,2
"66","384.36F2B489EC",10,2
"67","384.36F2B489F1",10,2
"68","384.36F2B48A39",10,2
"69","384.36F2B48A58",10,2
"70","384.36F2B48A7D",10,2
"71","384.36F2B48A9E",10,2
"72","384.36F2B48AEC",10,2
"73","384.36F2B48B05",10,2
"74","384.36F2B48B2C",10,2
"75","384.36F2B48B2E",10,2
"76","384.36F2B48BB3",10,2
"77","384.36F2B48BE9",10,2
"78","384.36F2B48C4D",10,2
"79","384.36F2B48D52",10,2
"80","384.36F2B48DBA",10,2
"81","384.36F2B48DBC",10,2
"82","384.36F2B48DD7",10,2
"83","384.36F2B48DEA",10,2
"84","384.36F2B48E23",10,2
"85","384.36F2B48E80",10,2
"86","384.36F2B48EA4",10,2
"87","384.36F2B48F17",10,2
"88","384.36F2B48F61",10,2
"89","384.36F2B48FA6",10,2
"90","384.36F2B48FE2",10,2
"91","384.36F2B490E5",10,2
"92","384.36F2B49123",10,2
"93","384.36F2B49138",10,2
"94","384.36F2B4913D",10,2
"95","384.36F2B49194",10,2
"96","384.36F2B49220",10,2
"97","384.36F2B49260",10,2
"98","384.36F2B49311",10,2
"99","384.36F2B4944D",10,2
"100","384.36F2B4945C",10,2
"101","384.36F2B4949F",10,2
"102","384.36F2B495D7",10,2
"103","384.36F2B49608",10,2
"104","384.36F2B49634",10,2
"105","384.36F2B49695",10,2
"106","384.36F2B49705",10,2
"107","384.36F2B49766",10,2
"108","384.36F2B49791",10,2
"109","384.36F2B497EA",10,2
"110","384.36F2B497F3",10,2
"111","384.36F2B49A76",10,2
"112","384.36F2B49C31",10,2
"113","384.36F2B49C65",10,2
"114","384.36F2B49C92",10,2
"115","384.36F2B49CA8",10,2
"116","384.36F2B49D34",10,2
"117","384.36F2B49F15",10,1
"118","384.36F2B49F31",10,1
"119","384.36F2B49F40",10,1
"120","384.36F2B49F74",10,1
"121","384.36F2B4A130",10,1
"122","384.36F2B4A316",10,1
"123","384.36F2B4A458",10,1
"124","384.36F2B4A488",10,1
"125","384.36F2B4B124",10,1
"126","384.36F2B4B166",10,1
"127","384.36F2B4BA69",10,1
"128","384.36F2B4BD31",10,1
"129","384.36F2B4BD66",10,1
"130","384.36F2B4BF0D",10,1
"131","384.36F2B4BF5D",10,1
"132","384.36F2B4D8D4",10,1
"133","384.36F2B4DA1F",10,1
"134","384.36F2B4DA6E",10,1
"135","384.36F2B4DBCC",10,1
"136","384.36F2B4E9CC",10,1
"137","384.36F2B4EA39",10,2
"138","384.36F2B4EA65",10,2
"139","384.36F2B4EA76",10,2
"140","384.36F2B4EB3C",10,2
"141","384.36F2B4EB6E",10,2
"142","384.36F2B4EBA1",10,2
"143","384.36F2B4EC05",10,2
"144","384.36F2B4EC19",10,2
"145","384.36F2B4EC26",10,2
"146","384.36F2B4ECC3",10,2
"147","384.36F2B4ECD4",10,2
"148","384.36F2B4ED58",10,2
"149","384.36F2B4EDC9",10,2
"150","384.36F2B4EE83",10,2
"151","384.36F2B4F407",10,2
"152","384.36F2B4F550",10,2
"153","384.36F2B4F651",10,2
"154","384.36F2B4F6E2",10,2
"155","384.36F2B4F797",10,2
"156","384.36F2B4F8C3",10,2
"157","384.36F2B4F997",10,2
"158","384.36F2B4F9A4",10,2
"159","384.36F2B4FCAB",10,2
"160","384.36F2B4FD46",10,2
"161","384.36F2B50030",10,2
"162","384.36F2B50052",10,2
"163","384.36F2B50053",10,2
"164","384.36F2B50539",10,2
"165","384.3B23981616",10,2
"166","384.3B239875C6",4,1
"167","384.3B23987601",4,1
"168","384.3B2398AD9E",16,1
"169","384.3B2398DD9B",4,1
"170","384.3B2399200D",4,1
"171","384.3B239947BA",16,1
"172","384.3B23994DBC",10,2
"173","384.3B2399537F",16,1
"174","384.3B23995DC4",4,1
"175","384.3B239978E6",10,2
"176","384.3B2399791B",10,2
"177","384.3B23998522",10,2
"178","384.3B23998F8F",10,2
"179","384.3B23999051",10,2
"180","384.3B23999077",10,2
"181","384.3B239992A1",10,2
"182","384.3B23999E53",10,2
"183","384.3B2399AB10",10,2
"184","384.3B2399ACAB",10,2
"185","384.3B2399B7A3",10,2
"186","384.3B2399B9B0",10,2
"187","384.3B2399D601",10,2
"188","384.3B2399E2FC",10,2
"189","384.3B2399EE5F",10,2
"190","384.3B2399EEF9",10,2
"191","384.3B239A0E2F",10,2
"192","384.3B239A0F8A",10,2
"193","384.3B239A10E0",10,2
"194","384.3B239A130C",10,2
"195","384.3B239A13B9",10,2
"196","384.3B239A1C22",10,2
"197","384.3B239A21BA",10,2
"198","384.3B239A28E3",10,2
"199","384.3B239A2B67",10,2
"200","384.3B239A33C9",10,2
"201","384.3B239A39BB",10,2
"202","384.3B239A3B02",10,2
"203","384.3B239A3C9D",10,2
"204","384.3B239A426B",10,2
"205","384.3B239A440D",10,2
"206","384.3B239A4692",10,2
"207","384.3B239A46DE",10,2
"208","384.3B239A4836",10,2
"209","384.3B239A4F16",10,2
"210","384.3B239A4F91",10,2
"211","384.3B239A5105",10,2
"212","384.3B239A516C",10,2
"213","384.3B239A54FA",10,2
"214","384.3B239A57D8",10,2
"215","384.3B239A63B4",10,2
"216","384.3B239A63D1",10,2
"217","384.3B239A6C3B",10,2
"218","384.3B239A6CC2",10,2
"219","384.3B239A6CDA",10,2
"220","384.3B239A708E",10,2
"221","384.3B239A7151",10,2
"222","384.3B239A7333",10,2
"223","384.3B239A7693",10,2
"224","384.3B239A7798",10,2
"225","384.3B239A7A35",10,2
"226","384.3B239A819B",10,2
"227","384.3B239A8516",10,2
"228","384.3B239A8BD6",10,2
"229","384.3B239A8BD6_repeat",10,2
"230","384.3B239A8C15",10,2
"231","384.3B239A8CFB",10,2
"232","384.3B239A9180",10,2
"233","384.3B239A9538",10,2
"234","384.3B239A9E6D",10,2
"235","384.3B239A9F82",10,2
"236","384.3B239AA105",10,2
"237","384.3B239AA12C",10,2
"238","384.3B239AA19D",10,2
"239","384.3B239AA711",10,2
"240","384.3B239AE6F0",16,1
"241","384.3B239B285B",16,1
"242","384.3B23A4288E",10,2
"243","384.3B23A43090",10,2
"244","384.3B23A4464F",10,2
"245","384.3B23A44728",10,2
"246","384.3B23A47CE0",10,2
"247","384.3B23A4B232",10,2
"248","384.3B23A4B6EF",10,2
"249","384.3B23A4B96A",10,2
"250","384.3B23A4BF0D",10,2
"251","384.3B23A4C4EB",10,2
"252","384.3B23A4C5B4",10,2
"253","384.3B23A4CABF",10,2
"254","384.3B23A4CAD0",10,2
"255","384.3B23A4E576",10,2
"256","384.3B23A4E9A4",10,2
"257","384.3B23A4F7C7",10,2
"258","384.3B23A504F4",10,2
"259","384.3B23A51311",10,2
"260","384.3B23A5208E",10,2
"261","384.3B23A520E3",10,2
"262","384.3B23A52E76",10,2
"263","384.3B23A52E7B",10,2
"264","384.3B23A5399E",10,2
"265","384.3B23A5483F",10,2
"266","384.3B23A55BB7",10,2
"267","384.3B23A56A09",10,2
"268","384.3B23A56A8E",10,2
"269","384.3B23A57D5F",10,2
"270","384.3B23A5805D",10,2
"271","384.3B23A590FE",10,2
"272","384.3B23A59883",10,2
"273","384.3B23A59E4D",10,2
"274","384.3B23A5AE33",10,2
"275","384.3B23A5BC97",10,2
"276","384.3B23A5C201",10,2
"277","384.3B23A5F24B",10,2
"278","384.3B23A5F391",10,2
"279","384.3B23A5F4D0",10,2
"280","384.3B23A5F8C5",10,2
"281","384.3B23A60226",10,2
"282","384.3B23A605B3",10,2
"283","384.3B23A610F4",10,2
"284","384.3B23A611C4",10,2
"285","384.3B23A61589",10,2
"286","384.3B23A6259A",10,2
"287","384.3B23A628EC",10,2
"288","384.3B23A62F85",10,2
"289","384.3B23A63166",10,2
"290","384.3B23A63341",10,2
"291","384.3B23A63363",10,2
"292","384.3B23A63A29",10,2
"293","384.3B23A64292",10,2
"294","384.3B23A645C1",10,2
"295","384.3B23A64721",10,2
"296","384.3B23A647DB",10,2
"297","384.3B23A649B7",10,2
"298","384.3B23A64D66",10,2
"299","384.3B23A64EB8",10,2
"300","384.3B23A64EDC",10,2
"301","384.3B23A64FF5",10,2
"302","384.3B23A65CBB",10,2
"303","384.3B23A65DEF",10,2
