"date","MOUTH","BON","MCN","PRA","RIS","RRE","ICH","WEL","LGR"
2015-10-26,NA,16.7120187372973,16.281198303206,15.4429254602835,15.057383287701,15.0460200829732,16.3182834768683,14.8637151639961,15.4795506046306
2015-10-27,NA,16.5656997526986,16.1348793186073,15.2966064756848,14.9110643031022,14.8997010983745,16.1719644922695,14.7173961793974,15.3332316200319
2015-10-28,NA,16.4416636391889,16.0108432050976,15.1725703621751,14.7870281895925,14.7756649848648,16.0479283787598,14.5933600658877,15.2091955065221
2015-10-29,NA,16.3438422663765,15.9130218322852,15.0747489893627,14.6892068167802,14.6778436120524,15.9501070059475,14.4955386930753,15.1113741337098
2015-10-30,NA,16.2534485248826,15.8226280907914,14.9843552478689,14.5988130752863,14.5874498705585,15.8597132644536,14.4051449515814,15.0209803922159
2015-10-31,NA,16.1559471348988,15.7251267008075,14.886853857885,14.5013116853024,14.4899484805747,15.7622118744698,14.3076435615976,14.9234790022321
2015-11-01,NA,15.9989076934406,15.5680872593494,14.7298144164269,14.3442722438443,14.3329090391165,15.6051724330116,14.1506041201394,14.7664395607739
2015-11-02,NA,15.7936577084077,15.3628372743164,14.5245644313939,14.1390222588113,14.1276590540836,15.3999224479786,13.9453541351065,14.561189575741
2015-11-03,NA,15.631919286015,15.2010988519237,14.3628260090012,13.9772838364186,13.9659206316909,15.238184025586,13.7836157127138,14.3994511533483
2015-11-04,NA,15.4699816833982,15.0391612493069,14.2008884063845,13.8153462338019,13.8039830290741,15.0762464229692,13.621678110097,14.2375135507315
2015-11-05,NA,15.3048665430932,14.8740461090019,14.0357732660794,13.6502310934968,13.6388678887691,14.9111312826641,13.456562969792,14.0723984104265
2015-11-06,NA,15.1135858462471,14.6827654121558,13.8444925692333,13.4589503966508,13.447587191923,14.7198505858181,13.2652822729459,13.8811177135804
2015-11-07,NA,14.9513109272309,14.5204904931396,13.6822176502172,13.2966754776346,13.2853122729068,14.5575756668019,13.1030073539297,13.7188427945642
2015-11-08,NA,14.8305171054628,14.3996966713715,13.561423828449,13.1758816558665,13.1645184511387,14.4367818450338,12.9822135321616,13.5980489727961
2015-11-09,NA,14.7093708627518,14.2785504286605,13.440277585738,13.0547354131555,13.0433722084277,14.3156356023228,12.8610672894506,13.4769027300851
2015-11-10,NA,14.5750533943208,14.1442329602295,13.305960117307,12.9204179447245,12.9090547399967,14.1813181338918,12.7267498210196,13.3425852616541
2015-11-11,NA,14.4362187593718,14.0053983252805,13.1671254823581,12.7815833097755,12.7702201050477,14.0424834989428,12.5879151860706,13.2037506267051
2015-11-12,NA,14.2750593630163,13.844238928925,13.0059660860025,12.6204239134199,12.6090607086921,13.8813241025872,12.4267557897151,13.0425912303495
2015-11-13,NA,14.1326313107599,13.7018108766686,12.8635380337461,12.4779958611636,12.4666326564358,13.7388960503309,12.2843277374587,12.9001631780932
2015-11-14,NA,14.0124885653899,13.5816681312986,12.7433952883762,12.3578531157936,12.3464899110658,13.6187533049609,12.1641849920887,12.7800204327232
2015-11-15,NA,13.8618524202419,13.4310319861506,12.5927591432282,12.2072169706456,12.1958537659178,13.4681171598129,12.0135488469407,12.6293842875752
2015-11-16,NA,13.6663976824351,13.2355772483438,12.3973044054213,12.0117622328387,12.0003990281109,13.272662422006,11.8180941091339,12.4339295497683
2015-11-17,NA,13.4804546874534,13.0496342533621,12.2113614104396,11.8258192378571,11.8144560331293,13.0867194270244,11.6321511141522,12.2479865547867
2015-11-18,NA,13.2985357260206,12.8677152919293,12.0294424490068,11.6439002764242,11.6325370716965,12.9048004655915,11.4502321527194,12.0660675933539
2015-11-19,NA,13.0571780112185,12.6263575771272,11.7880847342047,11.4025425616222,11.3911793568944,12.6634427507895,11.2088744379173,11.8247098785518
2015-11-20,NA,12.8197934463522,12.3889730122609,11.5507001693384,11.1651579967559,11.1537947920281,12.4260581859232,10.971489873051,11.5873253136855
2015-11-21,NA,12.5963212281305,12.1655007940392,11.3272279511167,10.9416857785341,10.9303225738064,12.2025859677014,10.7480176548293,11.3638530954638
