"Tag Code","Mark File Name","Mark Data Project Code and Name","Mark Site Name","Mark Date MMDDYYYY","Release Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Hatchery Code","Hatchery Name","Mark Site Basin Name","Mark Site Basin Code","Mark Site Subbasin Code","Mark Site Subbasin Name","Release Site Basin Name","Release Site Basin Code","Release Site Subbasin Code","Release Site Subbasin Name","Stock Name","Capture Method Name","Capture Method Code","Mark Count"
"3D9.1BF2044F16","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204600D","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF20464E3","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2047F83","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204844B","MLS05131.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/11/2005","TUCR - Tucannon River","5/11/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF2048516","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2048A13","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2048A31","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2049597","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2049B29","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF2049B5C","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204AAE7","MLS05133.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","5/13/2005","TUCR - Tucannon River","5/13/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF204AECA","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204B026","MLS05090.SMT","MLS - Mark Schuck Projects","TUCR - Tucannon River","3/31/2005","TUCR - Tucannon River","4/5/2005","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","No Hatchery Specified","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","","Screw Trap","SCREWT","1"
"3D9.1BF204B08E","MLS05070.TU2","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/11/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204B40A","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204B54D","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
"3D9.1BF204B972","MLS05069.TC1","MLS - Mark Schuck Projects","TUCH - Tucannon River Hatchery","3/10/2005","TUCR - Tucannon River","3/30/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TUCH","Tucannon Hatchery","Lower Snake","170601","17060107","Lower Snake-Tucannon","Lower Snake","170601","17060107","Lower Snake-Tucannon","TUCANNON","Dip Net","DIPNET","1"
