"","Param","lower2.5","median","upper97.5"
"1","f_bon",0.160520689602831,0.176431121658716,0.192804475353369
"2","f_ich",0.384021647319303,0.467780524943842,0.53445428619801
"3","f_lgr",0.590211282795691,0.80235984660862,0.878947951047559
"4","f_mcn",0.459150882111413,0.505283092802447,0.54505312779885
"5","f_pra",0.240760962090052,0.484842791807378,0.759174205578321
"6","f_ris",0.610849444432418,0.92236738893583,0.985884834861638
"7","h_bon_mcn",0.10756724594734,0.129748592410812,0.149253212227796
"8","o_bon",0.928818887424367,0.947589218935062,0.963058132130277
"9","o_ich",0.204381200477504,0.240054202148389,0.291648260360097
"10","o_lgr",0.335786290776293,0.3991028096515,0.512907883970081
"11","o_mcn",0.518004243419512,0.552113764322254,0.599801949459177
"12","o_pra",0.0582309053065284,0.105603175848441,0.185179406728689
"13","o_ris",0.199016961416762,0.48517778144314,0.742372456209456
"14","o_rre",0.000316989665611436,0.010370166533723,0.219424582179568
"15","o_wel",0.0156716600843235,0.991384577586252,0.99999999946545
"16","r_bon_mcn_trib",0.559074244088682,0.727909256680735,0.839731168866638
"17","r_lgr_trib",0.206688474615659,0.385512033889455,0.589663906515861
"18","r_mcn_pra_ich_trib",0.727331026956213,0.938146499885626,0.9869249889959
"19","r_nat_trib",0.236941944024877,0.306984940115596,0.384422113576844
"20","s_bon_mcn",0.0142534206109612,0.0221112948214595,0.0331969588947656
"21","s_ich_lgr",0.0225806779185555,0.0379512183201503,0.0571763229197743
"22","s_lgr",4.338379561605e-11,0.00069480633196544,0.294360603551387
"23","s_mcn_ich_pra",0.00678494458559865,0.0232418427343082,0.0591505695155707
"24","l_bon",0.0369418678697225,0.0524107810649376,0.0711811125756325
"25","l_bon_mcn",0.094479742661776,0.118105341386471,0.137674342362494
"26","l_bon_mcn_trib",0.160268831133362,0.272090743319265,0.440925755911318
"27","l_ich_lgr",0.0591252010196403,0.0909527574758532,0.126352499273238
"28","l_ich_lgr_trib",1,1,1
"29","l_lgr",0.0927302773868579,0.173304519610361,0.257817376353724
"30","l_lgr_trib",0.410336093484138,0.614487966110545,0.793311525384341
"31","l_mcn_ich_pra",0.087185477339715,0.118344199109763,0.14548431759874
"32","l_mcn_pra_ich_trib",0.0130750110040999,0.0618535001143742,0.272668973043787
"33","l_nat_trib",0.615577886423156,0.693015059884404,0.763058055975123
"34","l_pra_ris",0.00782696157656043,0.026081313348156,0.0712253374344645
"35","l_ris_rre",0.00923902998033827,0.0574844805025678,0.269004449308373
"36","l_rre_wel",5.3454964313928e-10,0.00861542241374844,0.984328339915676
"37","l_wel",1,1,1
