day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,,,,,,,,,,,4.722,4.972,3.141,4.032,5.041,5.026,5.689,4.549,6.083,5.419,4.457,5.073,6.353,6.110,6.142,4.845,3.261
2,,,,,,,,,,,,4.782,4.917,3.262,4.097,4.856,4.980,5.531,4.603,5.796,5.142,4.433,4.865,6.280,6.180,6.129,4.510,3.156
3,,,,,,,,,,,,4.851,4.866,3.297,4.202,4.716,4.926,5.274,4.591,5.568,4.923,4.380,4.703,6.285,6.100,6.132,4.085,3.077
4,,,,,,,,,,,,4.927,4.757,3.057,4.228,4.688,4.924,5.095,4.500,5.271,4.755,4.322,4.613,6.281,6.055,6.134,3.904,3.051
5,,,,,,,,,,,,4.690,4.725,2.972,4.196,4.761,5.022,4.955,4.376,4.931,4.624,4.052,4.538,6.242,6.056,5.794,3.659,3.022
6,,,,,,,,,,,,4.593,4.707,3.399,4.210,4.775,5.064,4.943,4.311,4.812,4.427,3.837,4.526,6.075,6.047,5.565,3.199,3.037
7,,,,,,,,,,,,4.660,4.573,3.987,4.152,4.705,5.017,4.956,4.363,4.655,4.249,3.522,4.554,5.928,6.141,5.484,3.039,3.110
8,,,,,,,,,,,,4.840,4.355,4.225,4.005,4.611,4.997,5.076,4.416,4.459,4.027,3.173,4.495,5.813,6.183,5.511,2.998,3.226
9,,,,,,,,,,,,4.834,4.258,4.116,3.961,4.447,4.977,5.003,4.392,4.283,3.818,2.904,4.363,5.691,5.980,5.445,2.891,3.328
10,,,,,,,,,,,,4.667,4.314,3.925,3.970,4.295,5.019,4.880,4.416,4.292,3.739,2.713,4.288,5.625,5.773,5.473,2.800,3.409
11,,,,,,,,,,,,4.332,4.295,4.055,3.997,3.914,4.997,4.774,4.534,4.334,3.740,2.448,4.234,5.564,5.740,5.517,2.820,3.464
12,,,,,,,,,,,,3.942,4.322,4.329,4.035,3.675,4.749,4.616,4.508,4.347,3.734,2.177,4.297,5.541,5.732,5.513,2.906,3.563
13,,,,,,,,,,,,3.787,4.262,4.428,4.108,3.678,4.584,4.483,4.517,4.427,3.729,1.739,4.430,5.471,5.593,5.643,2.955,3.626
