day,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
213,,19.321,17.238,18.062,17.426,17.955,19.023,18.458,18.396,18.700,18.200,18.200,18.413,17.954,16.979,17.175,18.379,20.825,19.688,18.821,18.775,19.175,18.568,17.779,19.350,18.367,
214,,19.554,17.413,18.048,17.458,17.729,19.009,18.442,18.438,18.713,18.596,17.713,18.704,18.242,17.117,17.325,18.067,21.383,19.654,19.171,19.000,19.209,18.543,17.729,19.396,18.461,
215,,19.858,17.426,18.135,17.619,17.504,19.005,18.750,18.717,18.792,18.696,17.667,19.067,18.571,17.221,17.538,18.175,22.354,19.665,19.321,18.964,19.322,18.419,17.783,19.596,18.283,
216,,20.192,17.255,18.395,17.539,17.508,19.017,19.013,18.613,18.892,18.704,17.713,19.175,18.638,17.383,17.579,18.421,22.650,19.729,19.271,18.992,19.385,18.605,17.854,19.542,18.246,
217,,20.408,17.238,18.721,17.552,17.496,19.280,19.146,18.542,18.892,18.900,18.021,19.379,18.663,17.442,17.600,18.688,22.084,19.800,19.271,18.860,19.318,18.895,17.954,19.688,18.125,
218,18.100,20.054,17.329,18.742,17.717,17.413,19.421,19.175,18.763,18.804,19.042,18.363,19.158,18.617,17.421,17.704,18.938,21.435,19.863,19.225,18.760,19.665,18.970,18.146,19.767,18.046,
219,17.975,19.796,17.529,18.755,17.770,17.561,19.561,19.033,18.888,19.067,19.038,18.713,18.967,18.542,17.771,17.650,18.804,20.896,19.788,18.988,18.905,19.805,19.232,18.121,19.713,18.025,
220,18.085,19.575,17.574,18.648,17.573,17.700,19.522,19.013,18.850,19.196,19.046,18.758,18.921,18.321,17.879,17.550,19.275,21.404,19.792,18.888,18.876,19.619,19.430,17.879,19.479,18.146,
221,18.047,19.854,17.843,18.759,17.454,17.857,19.540,19.108,18.904,19.225,18.842,18.688,18.829,18.167,17.946,17.704,19.475,20.204,19.863,18.883,18.910,19.196,19.386,17.883,19.538,18.075,
222,18.053,20.127,18.050,19.141,17.396,18.263,19.419,19.242,19.129,19.263,18.708,18.663,18.783,18.208,17.896,17.717,19.650,21.160,20.154,18.752,19.176,19.167,19.257,17.904,19.821,18.038,
223,,20.192,18.061,19.130,17.504,18.552,19.456,19.263,19.267,19.142,18.725,18.404,18.542,18.554,17.904,17.771,19.763,21.091,20.217,18.729,19.335,19.252,19.030,18.100,20.088,18.175,
224,,20.030,18.100,18.843,17.500,18.792,19.709,19.283,19.400,19.108,18.817,18.250,18.633,18.758,17.942,17.796,19.929,22.590,20.133,18.929,19.233,19.183,19.032,18.104,20.038,18.408,
225,18.240,20.200,18.061,18.813,17.500,18.989,19.807,19.558,19.392,19.192,19.092,18.367,18.696,18.879,18.067,17.875,19.908,21.183,20.154,19.154,19.140,19.300,19.162,17.992,20.092,18.817,
226,18.194,,17.887,18.817,17.730,19.138,19.722,19.354,19.492,19.467,19.096,18.433,18.479,19.000,18.088,17.850,19.875,19.979,20.321,19.279,19.484,19.408,19.286,18.046,20.092,18.833,
227,18.394,,17.800,18.914,18.179,19.133,19.687,19.208,19.554,19.646,19.200,18.458,18.333,18.829,18.096,18.000,19.877,19.363,20.263,19.308,19.800,19.538,19.296,18.104,20.000,18.954,
228,18.626,20.200,17.913,18.913,18.388,19.109,19.700,19.213,19.563,19.746,19.200,18.838,18.375,18.663,18.054,18.092,19.746,19.467,20.208,19.429,20.035,19.622,19.133,17.992,20.254,19.079,
229,18.648,20.288,18.033,18.852,18.652,18.913,19.700,19.550,19.488,19.783,19.354,19.321,18.448,19.013,18.071,18.163,19.625,19.742,20.067,19.591,20.245,19.630,19.129,18.138,20.263,19.354,
230,18.639,20.129,18.263,18.967,18.300,18.891,19.960,19.829,19.400,19.729,19.450,19.679,18.388,19.354,18.029,18.304,19.542,19.792,20.138,19.713,20.343,19.457,19.121,18.267,20.296,19.225,
231,18.778,20.142,18.263,18.805,18.300,18.917,20.167,20.008,19.392,19.575,19.429,19.792,18.429,19.275,17.988,18.288,19.604,20.517,20.358,19.917,20.291,19.148,19.096,18.429,20.246,19.196,
232,18.418,20.125,18.220,18.559,18.300,18.917,20.000,20.150,19.333,19.508,19.263,19.525,18.692,19.071,17.996,18.196,19.633,20.296,20.224,19.875,20.165,19.096,19.396,18.696,20.150,19.458,
233,18.359,20.200,,18.548,18.300,18.943,20.100,20.063,19.529,19.674,19.213,18.790,18.663,18.925,18.167,18.188,19.588,19.721,20.033,19.804,19.950,19.227,19.583,18.925,20.046,19.613,
234,18.623,20.146,,18.663,18.300,18.983,19.923,19.971,19.792,19.833,19.158,19.925,18.725,18.808,18.388,18.175,19.633,19.908,19.858,19.771,19.981,19.290,19.516,18.750,19.917,19.679,
235,18.757,19.967,18.546,18.809,18.300,19.050,19.813,19.975,19.533,19.754,19.204,19.638,18.483,18.738,18.325,18.208,19.554,19.850,19.763,19.675,20.100,19.314,19.345,18.925,19.646,19.800,
236,19.000,19.925,18.663,18.923,18.300,19.261,19.729,19.800,19.425,19.788,19.300,19.317,18.279,18.871,18.308,18.142,19.529,19.679,19.767,19.613,20.220,19.140,19.300,19.029,19.475,19.942,
237,18.986,20.026,18.754,19.177,18.300,19.371,19.708,19.813,19.438,19.900,19.292,19.154,18.425,19.079,18.425,18.092,19.429,19.550,19.692,19.592,19.973,18.977,19.080,19.129,19.683,19.829,
238,18.891,20.158,18.604,19.316,18.300,19.400,19.592,19.629,19.438,19.996,19.375,19.046,18.800,19.279,18.688,18.083,19.413,19.717,19.633,19.579,19.895,18.884,18.900,19.217,20.054,19.779,
239,18.748,20.383,18.454,19.346,18.300,19.400,19.671,19.525,19.504,19.979,19.433,18.988,19.088,19.054,18.800,18.179,19.379,19.871,19.471,19.518,19.761,18.985,19.307,19.275,19.779,19.646,
240,18.720,20.471,18.525,19.075,18.300,19.574,19.887,19.571,19.579,20.175,19.546,19.121,19.263,18.829,18.800,19.233,19.446,19.888,19.517,19.600,19.662,19.300,19.400,19.375,19.638,19.683,
241,18.628,20.554,18.704,18.491,18.238,19.722,19.900,19.592,19.538,20.083,19.679,18.858,19.263,18.754,18.904,18.123,19.646,19.754,19.671,19.400,19.664,19.445,19.315,19.304,19.654,19.691,
242,18.661,20.600,18.392,18.418,18.163,19.804,19.950,19.425,19.338,19.725,19.792,18.758,19.263,18.350,18.996,18.129,19.808,19.542,19.675,19.158,19.815,19.485,19.342,19.046,19.792,19.821,
243,18.679,20.778,18.067,18.618,18.291,19.750,20.050,19.542,19.183,19.700,19.992,18.675,19.333,18.038,18.900,18.004,19.846,19.400,19.742,18.971,19.717,19.533,19.400,18.800,19.663,19.921,
244,18.862,21.046,17.950,18.605,18.318,19.692,20.158,19.800,19.317,19.600,19.729,18.650,19.379,18.158,18.717,17.967,19.904,19.513,19.679,18.900,19.464,19.436,19.369,18.933,19.596,20.125,
245,18.985,21.075,17.730,18.648,18.374,19.600,20.363,19.808,19.500,19.483,19.658,18.700,19.429,18.242,17.954,17.833,20.050,19.500,19.425,18.879,19.564,19.329,19.327,18.933,19.513,20.150,
246,19.067,21.163,,18.332,18.595,19.588,20.400,19.838,19.504,19.517,19.725,18.729,19.600,18.408,18.567,17.808,20.200,18.296,19.138,18.813,19.659,19.374,19.454,19.196,19.621,19.988,
247,19.250,21.200,,18.021,18.529,19.338,20.396,19.621,19.513,19.675,19.908,18.821,,18.567,18.496,18.104,20.425,19.467,18.858,18.725,19.858,19.476,19.608,19.696,19.571,19.700,
248,19.186,21.229,,17.917,18.230,19.058,20.371,19.325,19.375,19.917,19.983,18.833,,18.238,18.563,18.279,20.521,18.538,18.708,18.646,20.129,19.600,19.818,19.496,19.642,19.733,
249,19.014,21.263,,18.017,18.279,,20.379,19.179,19.471,20.013,20.088,18.850,,18.108,18.636,18.238,20.400,19.417,18.592,18.388,20.191,19.630,19.923,19.608,19.775,19.783,
250,18.991,21.308,,18.158,17.847,,20.417,19.154,19.304,20.017,19.988,18.817,,18.133,,18.542,20.254,19.517,18.788,18.346,20.239,19.676,19.958,19.663,19.842,19.761,
251,18.972,21.326,,18.418,18.213,,20.238,19.421,19.321,19.967,20.013,19.104,,17.958,,18.075,20.100,19.479,18.754,18.375,20.242,19.663,20.009,19.533,19.825,19.639,
252,18.936,21.109,,,18.204,,19.954,19.638,19.263,19.983,19.979,19.100,,17.921,,18.333,20.158,19.396,18.674,18.383,20.100,19.525,19.964,19.225,19.804,19.439,
253,18.970,20.914,,,17.832,,19.879,19.825,19.050,19.825,19.925,19.125,,17.792,,18.563,20.217,19.208,18.775,18.354,19.935,19.545,19.882,19.075,19.738,19.333,
254,19.057,20.825,,,17.644,,19.575,19.646,18.942,19.879,19.950,19.000,,17.908,,18.138,20.129,19.092,19.042,18.550,19.924,19.305,19.664,19.058,19.600,19.094,
255,18.900,20.696,,,,,19.433,19.492,18.875,19.963,19.825,19.013,,18.142,,17.429,20.046,17.996,19.121,18.513,19.655,19.157,19.630,18.863,19.767,18.967,
256,18.630,20.700,,,,,,19.308,18.875,19.750,19.783,19.046,,18.175,,16.333,20.313,18.838,19.142,18.467,19.605,19.074,19.473,18.783,19.617,18.939,
257,18.322,,,,,,,19.100,18.946,19.379,19.646,19.117,,18.367,,16.179,20.525,18.650,18.917,18.317,19.495,18.963,19.233,18.700,19.525,19.283,
258,18.296,,,,,,,18.963,18.829,19.129,19.588,19.121,,18.286,,17.713,20.600,18.592,18.771,18.263,19.481,18.967,19.091,18.654,19.483,19.306,
259,18.264,,,,,,,18.654,18.696,18.892,19.388,19.083,,,,17.650,20.429,18.700,18.700,18.313,19.355,18.910,18.814,18.675,19.029,19.200,
260,18.043,,,,,,,18.567,18.692,18.688,19.058,19.067,,,,18.438,20.213,18.879,18.650,18.438,18.974,18.715,18.700,18.571,18.925,18.989,
261,17.917,,,,,,,18.508,18.671,18.663,18.900,19.054,,,,17.275,19.975,18.992,18.621,18.692,18.826,18.714,18.491,18.471,18.704,18.909,
262,17.874,,,,,,,18.404,18.767,18.504,18.708,19.075,,,,16.679,19.792,19.033,18.563,18.671,18.713,18.700,18.473,18.517,18.467,18.850,
263,17.896,,,,,,,18.188,18.775,18.300,18.529,19.150,,,,15.325,19.608,19.163,18.458,18.679,18.417,18.555,18.436,18.550,18.283,18.822,
264,17.752,20.100,,,,,,18.071,18.700,18.292,18.371,19.154,,,,16.750,19.571,19.188,18.500,18.375,18.285,18.465,18.277,18.617,18.229,18.717,
265,17.978,20.090,,,,,,18.329,18.700,18.171,18.296,18.796,,,,17.146,19.542,18.938,18.413,18.129,18.137,18.376,18.400,18.725,18.038,18.289,
266,18.143,20.100,,,,,,18.392,18.700,18.271,17.875,18.667,,,,17.567,19.283,19.179,18.300,18.008,18.043,18.100,18.210,18.625,18.288,18.500,
267,18.257,,,,,,,18.300,18.700,18.208,17.800,18.567,,,,16.800,18.975,19.192,18.171,18.046,18.011,18.078,18.127,18.575,17.888,18.653,
268,18.295,,,,,,,18.321,18.700,18.175,17.942,18.413,,,,15.913,18.771,18.833,18.229,18.113,18.095,18.129,18.000,18.467,17.950,18.561,
269,18.278,,,,,,,18.513,18.700,18.296,17.671,18.188,,,,17.179,18.738,19.071,18.113,18.271,18.145,18.009,18.117,18.488,18.000,18.472,
270,18.043,,,,,,,18.679,18.700,18.425,17.717,18.154,,,,18.254,18.404,18.950,17.888,18.392,18.185,17.990,17.942,18.457,17.917,18.611,
271,17.915,,,,,,,18.746,18.700,18.363,17.546,18.100,,,,17.146,18.117,18.913,17.883,18.483,18.205,18.070,17.573,18.288,17.754,18.700,
272,17.647,,,,,,,18.925,18.700,18.200,17.075,17.954,,,,16.346,17.792,18.821,17.629,18.375,18.238,18.124,17.208,18.188,17.529,18.739,
273,17.543,,,,,,,19.008,18.700,18.200,16.954,17.900,,,,18.142,17.404,18.742,17.538,18.288,18.200,17.930,16.840,17.967,17.488,18.756,
274,,,,,,,,19.021,18.700,18.200,16.896,17.917,,,,17.367,17.088,18.475,17.500,18.417,18.039,17.800,16.838,17.904,17.221,18.800,
275,,,,,,,,18.908,18.700,18.200,16.771,17.996,,,,17.713,16.742,18.392,17.413,18.413,17.950,17.796,16.769,17.950,17.183,18.811,
276,,,,,,,,18.808,18.700,18.200,16.700,17.896,,,,17.667,16.558,18.046,17.267,18.238,17.848,17.478,16.680,18.246,17.088,18.883,
277,,,,,,,,18.679,18.700,18.200,16.700,17.763,,,,17.288,16.329,18.167,17.196,18.104,17.650,17.319,16.645,18.300,17.054,18.833,
278,,,,,,,,18.500,18.700,18.200,16.700,17.742,,,,17.129,16.271,18.117,17.000,17.983,17.556,17.018,16.483,18.263,17.108,18.856,
279,,,,,,,,18.396,18.700,18.200,16.700,17.588,,,,16.875,16.217,18.192,16.883,17.883,17.421,16.804,16.467,18.238,17.048,18.956,
280,,,,,,,,18.325,18.700,18.200,16.700,17.538,,,,16.663,16.313,18.142,16.800,17.771,17.337,16.705,16.600,18.375,16.861,18.983,
281,,,,,,,,18.113,18.700,18.200,16.700,17.521,,,,16.442,16.242,18.463,16.779,17.576,17.150,16.661,16.562,18.471,16.783,18.929,
282,,,,,,,,17.988,18.700,18.200,,17.150,,,,16.313,16.288,18.083,16.725,17.452,16.963,16.600,16.209,18.613,16.688,18.850,
283,,,,,,,,17.804,18.700,,,16.804,,,,16.300,16.267,18.196,16.725,17.435,16.757,16.510,16.045,18.533,16.446,18.739,
284,,,,,,,,17.600,18.700,,,16.800,,,,16.258,16.017,18.267,16.538,17.168,16.416,16.438,15.962,18.450,16.171,18.500,
285,,,,,,,,17.529,17.550,,,16.800,,,,16.158,16.054,18.038,16.563,16.868,16.195,16.426,15.892,17.996,16.129,18.500,
286,,,,,,,,17.371,16.742,,,16.800,,,,16.229,16.013,17.875,16.526,16.665,16.073,16.313,15.767,17.708,15.913,18.294,
287,,,,,,,,17.258,16.783,,,16.800,,,,16.067,16.021,17.542,16.342,16.526,15.905,16.129,15.655,17.471,15.733,18.100,
288,,,,,,,,17.267,16.775,,,16.800,,,,16.125,16.100,17.642,16.300,16.305,15.730,16.071,15.340,16.921,15.713,18.012,
289,,,,,,,,17.271,16.671,,,16.800,,,,16.133,16.046,17.550,16.229,16.032,15.580,16.150,15.775,16.333,15.717,17.878,
290,,,,,,,,17.275,16.617,,,16.800,,,,15.996,16.117,17.029,16.213,15.909,15.400,16.043,15.769,16.333,15.588,17.683,
291,,,,,,,,17.129,16.638,,,16.800,,,,15.629,16.083,17.208,16.188,15.767,15.245,15.884,15.525,16.179,15.683,17.589,
292,,,,,,,,17.100,16.529,,,16.800,,,,15.663,16.129,17.129,16.104,15.762,15.138,15.822,15.329,16.008,15.608,17.478,
293,,,,,,,,17.100,16.436,,,16.800,,,,15.596,16.133,17.017,16.026,15.653,15.109,15.763,15.191,15.813,15.638,17.233,
294,,,,,,,,17.100,16.417,,,16.800,,,,14.217,15.979,16.917,15.933,15.686,14.691,15.675,15.050,15.504,15.554,16.983,
295,,,,,,,,17.100,16.313,,,16.800,,,,13.883,16.092,16.650,15.846,15.332,14.586,15.627,14.975,15.471,15.475,16.756,
296,,,,,,,,17.100,16.217,,,16.800,,,,14.871,16.038,16.125,15.750,15.182,14.261,15.520,14.677,15.108,15.538,16.456,
297,,,,,,,,17.100,16.100,,,16.800,,,,14.608,15.933,16.096,15.558,15.342,14.388,15.389,14.591,14.950,15.454,16.739,
298,,,,,,,,17.100,16.100,,,16.800,,,,14.517,15.829,16.221,15.271,15.361,14.362,15.300,14.720,14.638,15.283,15.956,
299,,,,,,,,17.100,16.100,,,16.800,,,,14.300,15.679,15.917,15.183,15.424,14.227,15.365,14.558,14.221,15.188,15.739,
300,,,,,,,,15.618,16.100,,,16.800,,,,14.342,15.475,15.200,14.996,15.408,14.196,15.300,14.482,14.204,15.050,15.444,
301,,,,,,,,14.600,16.100,,,16.800,,,,14.150,15.179,15.438,14.765,15.367,14.315,15.245,14.275,14.121,14.942,15.189,
302,,,,,,,,14.279,16.100,,,16.800,,,,14.192,14.779,15.225,14.646,15.192,14.226,14.983,14.127,13.646,14.775,15.088,
303,,,,,,,,14.096,16.100,,,16.800,,,,13.108,14.546,14.996,14.675,15.196,14.176,14.757,13.885,13.425,14.096,15.100,
304,,,,,,,,14.079,16.100,,,,,,,13.346,14.338,15.158,14.713,15.046,14.162,14.829,13.475,13.492,13.854,15.112,
305,,,,,,,,13.657,16.100,,,,,,,13.954,14.196,15.029,14.408,14.967,13.982,14.741,13.269,13.583,13.800,14.994,
306,,,,,,,,13.446,16.100,,,,,,,13.996,14.100,14.825,13.579,14.954,13.943,14.709,13.138,13.650,13.729,14.753,
307,,,,,,,,13.267,16.100,,,,,,,14.021,13.775,14.483,13.788,14.771,13.696,14.485,13.008,13.738,13.822,14.692,
308,,,,,,,,13.017,16.100,,,,,,,14.171,13.471,14.988,13.729,14.671,13.395,14.362,12.946,14.017,13.854,14.759,
309,,,,,,,,12.817,16.100,,,,,,,14.183,13.367,14.625,13.704,14.663,13.031,14.080,12.944,14.008,13.842,14.500,
310,,,,,,,,13.000,16.100,,,,,,,14.208,13.183,14.725,13.525,14.550,12.662,13.841,12.836,13.971,13.579,13.689,
311,,,,,,,,12.975,16.100,,,,,,,14.125,13.092,14.625,13.542,14.554,12.423,13.695,12.850,13.713,13.375,13.950,
312,,,,,,,,12.863,16.100,,,,,,,13.833,12.863,14.579,13.517,14.450,12.063,13.557,12.925,13.558,13.188,13.672,
313,,,,,,,,12.767,16.100,,,,,,,12.704,12.825,14.396,13.413,14.338,11.839,13.171,12.854,13.458,13.071,13.222,
314,,,,,,,,12.913,16.100,,,,,,,13.075,12.708,14.300,13.213,14.229,11.900,12.904,12.800,13.183,12.833,13.100,
315,,,,,,,,12.917,16.100,,,,,,,13.300,12.613,13.992,13.188,14.209,12.100,12.590,12.823,12.842,12.792,12.782,
316,,,,,,,,12.833,16.100,,,,,,,12.888,12.463,13.413,13.104,14.050,12.105,12.377,12.631,12.479,12.717,12.489,
317,,,,,,,,12.788,16.100,,,,,,,12.667,12.538,13.092,13.004,13.983,12.213,12.159,12.523,12.250,12.267,12.544,
318,,,,,,,,12.788,16.100,,,,,,,12.017,12.529,12.825,12.788,13.783,12.275,12.071,12.457,12.238,11.813,12.594,
319,,,,,,,,12.633,16.100,,,,,,,11.779,12.388,12.496,12.475,13.600,,11.886,12.350,12.113,11.704,12.489,
320,,,,,,,,12.446,16.100,,,,,,,11.979,12.308,12.396,12.308,13.413,12.309,11.800,12.308,12.175,11.496,12.428,
321,,,,,,,,12.333,16.100,,,,,,,11.921,12.021,12.188,12.308,13.083,12.286,11.742,12.207,12.013,11.542,12.439,
322,,,,,,,,12.179,16.100,,,,,,,12.100,11.783,12.063,11.591,12.810,12.178,11.533,12.058,11.963,11.404,12.328,
323,,,,,,,,11.954,16.100,,,,,,,11.996,11.679,12.108,11.383,12.652,12.067,11.513,11.967,11.775,11.154,12.161,
324,,,,,,,,11.796,16.100,,,,,,,11.950,11.388,12.092,11.446,12.410,11.923,11.395,11.792,11.746,10.813,12.067,
325,,,,,,,,11.700,16.100,,,,,,,11.988,10.954,12.100,11.529,12.218,11.752,11.279,11.622,11.596,10.429,11.850,
326,,,,,,,,11.483,16.100,,,,,,,11.008,10.596,12.100,11.392,12.138,11.596,11.217,11.371,11.533,10.088,11.728,
327,,,,,,,,11.388,16.100,,,,,,,11.383,10.350,11.925,11.158,11.995,11.314,11.065,11.167,11.404,10.158,11.422,
328,,,,,,,,11.213,16.100,,,,,,,11.567,10.125,11.846,10.917,11.814,10.465,11.022,10.829,11.342,10.300,11.394,
329,,,,,,,,11.004,16.100,,,,,,,11.363,10.017,11.558,10.779,11.652,10.521,11.005,10.671,11.158,10.642,11.283,
330,,,,,,,,10.929,16.100,,,,,,,11.058,10.004,11.425,10.613,11.518,10.418,10.933,10.417,11.022,10.583,11.133,
331,,,,,,,,10.517,16.100,,,,,,,11.038,9.879,11.263,10.333,11.500,10.210,10.762,9.954,10.875,10.475,10.983,
332,,,,,,,,10.275,16.100,,,,,,,10.942,9.808,11.125,10.150,11.409,10.490,10.696,9.742,10.721,10.567,10.767,
333,,,,,,,,10.179,16.100,,,,,,,10.765,9.775,10.646,9.925,11.310,10.284,10.736,9.500,10.425,10.413,10.250,
334,,,,,,,,10.000,16.100,,,,,,,10.625,9.713,10.138,9.900,11.200,10.192,10.778,9.167,10.242,10.446,9.889,
335,,,,,,,,9.761,16.100,,,,,,,10.621,9.633,9.442,9.696,11.033,9.823,10.691,8.996,10.133,10.500,9.772,
336,,,,,,,,9.662,16.100,,,,,,,10.683,9.525,9.075,9.675,10.818,9.759,10.670,8.892,9.975,10.508,9.250,
337,,,,,,,,9.550,16.100,,,,,,,10.708,9.317,8.842,9.629,10.750,9.641,10.506,8.879,9.729,10.488,8.822,
338,,,,,,,,9.313,16.100,,,,,,,10.504,8.968,8.808,9.657,10.585,9.410,10.322,8.867,9.371,10.125,8.335,
339,,,,,,,,9.175,16.100,,,,,,,10.450,8.637,8.925,9.713,10.426,9.255,10.141,8.825,9.325,9.921,8.365,
340,,,,,,,,9.046,16.100,,,,,,,10.296,8.267,8.954,9.671,10.171,9.109,9.705,8.817,9.063,9.546,8.261,
341,,,,,,,,9.188,16.100,,,,,,,10.146,7.617,9.183,9.479,9.839,9.021,9.335,8.842,8.921,9.317,8.200,
342,,,,,,,,9.217,16.100,,,,,,,9.917,7.450,9.371,9.513,9.618,9.044,9.125,8.879,8.733,9.004,8.078,
343,,,,,,,,9.033,16.100,,,,,,,9.717,7.275,9.475,9.363,9.209,8.875,9.018,8.829,8.492,8.992,7.906,
344,,,,,,,,8.988,16.100,,,,,,,9.463,7.063,9.392,8.879,8.965,8.700,8.938,8.750,8.329,8.867,7.567,
345,,,,,,,,8.917,16.100,,,,,,,9.250,7.050,9.217,8.848,8.674,8.648,8.859,8.622,8.238,8.900,7.428,
346,,,,,,,,8.654,16.100,,,,,,,9.065,7.142,9.071,9.079,8.556,8.560,8.729,8.425,8.200,8.842,7.511,
347,,,,,,,,8.167,16.100,,,,,,,9.000,7.238,8.979,8.979,8.522,8.300,8.695,8.254,8.074,8.612,7.400,
348,,,,,,,,8.154,16.100,,,,,,,8.946,7.317,8.788,8.867,8.304,8.314,8.626,8.158,8.000,8.388,7.372,
349,,,,,,,,8.167,16.100,,,,,,,8.800,7.295,8.596,8.857,8.200,8.240,8.494,7.942,7.946,8.179,7.233,
350,,,,,,,,8.058,16.100,,,,,,,8.658,7.308,8.350,8.592,8.047,8.220,8.376,7.621,7.850,8.050,7.150,
351,,,,,,,,8.083,16.100,,,,,,,8.492,7.267,8.342,8.388,7.685,8.200,8.300,7.388,7.663,7.954,7.100,
352,,,,,,,,8.100,16.100,,,,,,,8.204,7.204,8.096,8.013,7.565,8.164,8.265,7.183,7.454,7.875,6.856,
353,,,,,,,,7.975,16.100,,,,,,,7.929,7.142,8.117,7.913,7.386,8.154,8.224,7.063,7.252,7.579,6.289,
354,,,,,,,,7.896,16.100,,,,,,,7.563,7.025,7.808,7.754,6.990,7.848,8.233,6.850,7.142,7.267,5.744,
355,,,,,,,,7.783,16.100,,,,,,,7.363,6.742,7.642,7.558,6.939,7.668,8.100,6.883,7.121,6.975,5.211,
356,,,,,,,,7.592,16.100,,,,,,,7.258,6.446,7.483,7.263,6.988,7.526,7.990,6.762,7.229,6.675,4.672,
357,,,,,,,,7.438,16.100,,,,,,,7.200,6.271,7.321,7.117,7.100,7.282,7.827,6.700,7.121,6.504,4.367,
358,,,,,,,,7.196,16.100,,,,,,,7.058,6.121,7.388,6.983,7.100,6.857,7.611,6.650,6.867,6.492,4.200,
359,,,,,,,,6.933,16.100,,,,,,,6.946,5.883,7.213,6.796,7.035,6.659,7.514,6.588,6.575,6.342,4.133,
360,,,,,,,,6.642,16.100,,,,,,,6.821,5.663,7.096,6.700,6.890,6.430,7.309,6.513,6.346,6.054,4.300,
361,,,,,,,,6.429,16.100,,,,,,,6.829,5.629,6.967,6.717,6.800,6.120,7.162,6.633,6.108,5.475,4.400,
362,,,,,,,,6.238,16.100,,,,,,,6.800,5.533,6.713,6.600,6.655,6.024,6.824,6.608,6.000,4.954,4.494,
363,,,,,,,,6.054,16.100,,,,,,,6.642,5.458,6.263,6.479,6.245,5.875,6.605,6.471,5.925,4.629,5.178,
364,,,,,,,,5.846,16.100,,,,,,,6.496,5.333,6.046,6.408,6.105,5.742,6.465,6.271,5.871,4.396,4.559,
365,,,,,,,,5.800,16.100,,,,,,,6.221,5.267,5.746,6.300,6.014,5.657,6.333,6.200,5.779,4.300,4.644,
366,,,,,,,,5.800,,,,,,,,6.025,,,,5.910,,,,5.750,,,
Notes:
1997-2023 Rock Island Daily Average Tailrace Temperature (C)
Generated 03 Apr 2023 10:35:02 PDT. DART Columbia Basin Conditions All Years www.cbr.washington.edu/dart/query/basin_conditions_hist.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2023). Columbia Basin Conditions All Years. Available from https://www.cbr.washington.edu/dart/query/basin_conditions_hist."
