"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL_quick","WEL_slow","ICH","LGR_quick","LGR_slow"
"1",0,0.432610400897622,0.447545450573016,0.438067165409064,0.39632589805837,0.377580331603514,NA,1.22860894293302,0.391543093720826,0.534991586212514,1.34613085887206
"2",0,0.439419372956137,0.454466431814158,0.467860885968387,0.386672831879655,0.377064857252462,NA,1.21851241642913,0.418596136961244,0.553892032554169,1.3377242418941
"3",0,0.447713488085317,0.462256559536745,0.486060514347003,0.378619090274928,0.38170412641193,NA,1.20807465397882,0.44297317520243,0.577155696096806,1.32949103362319
"4",0,0.457554423143585,0.477901196202766,0.489225667108501,0.381246552075052,0.384410366754953,NA,1.19691221199605,0.466940022896288,0.610784561065249,1.32264657713444
"5",0,0.469101718381019,0.502655775618755,0.489363282445958,0.39049978711027,0.37869719269746,NA,1.18497380797919,0.486433840335954,0.645266950525276,1.31540787520913
"6",0,0.482552089104489,0.531917040494092,0.489363282445958,0.381417908279407,0.355286065920515,NA,1.17285198935119,0.49496971029701,0.684119385382218,1.30871311341621
"7",0,0.498846609320554,0.558506484704244,0.493113300391646,0.35480057786946,0.332734063061991,NA,1.16036417697141,0.498192636026014,0.72006300877184,1.30191015644709
"8",0,0.517747334250571,0.579591334531906,0.484237111125705,0.322414255246197,0.329168698800548,NA,1.14782615184328,0.496708136902351,0.755173592257674,1.29468034727599
"9",0,0.538572838155788,0.601223424736776,0.48151920821094,0.295282856223182,0.36280340020669,NA,1.13545081516689,0.492508567013045,0.791055761883901,1.28697032937766
"10",0,0.560586223157092,0.616095486752623,0.478526074621262,0.300709136027785,0.399831641090591,NA,1.1226067678799,0.486492438985573,0.828685949668893,1.27885717328856
"11",0,0.583539415151497,0.617286539338308,0.473503114804101,0.33452342702068,0.443131486578958,NA,1.10864465977019,0.48237100062909,0.868330455254026,1.27042536017368
"12",0,0.606836173889994,0.615483865154569,0.482379304070043,0.375249084922595,0.475864107870759,NA,1.09429513453658,0.482097540264205,0.905189056898626,1.26141700016098
"13",0,0.630756533599168,0.612747663268536,0.510177602236246,0.396954204141008,0.476594363201417,NA,1.07921660396189,0.486531504751985,0.940948318998065,1.25190619953553
"14",0,0.654967047263757,0.611009370305645,0.546301628318566,0.411462362776473,0.483037792589566,NA,1.06367854839624,0.498563760806929,0.978537537607462,1.2419848500908
"15",0,0.679420120143621,0.611556610682851,0.588446325414605,0.442649191969245,0.491457206990082,NA,1.04817863616597,0.515264375948126,1.0177450386529,1.23183228903667
"16",0,0.704572963501725,0.628521062376253,0.631588733707203,0.481661287827601,0.497556986810864,NA,1.03265687620931,0.539993006087021,1.05837280445234,1.22144999849884
"17",0,0.730513279085949,0.656237177951242,0.66141685810089,0.517874565681479,0.524748258828857,NA,1.01678857084242,0.566792121845761,1.09703404982317,1.21082167509458
"18",0,0.757244793311261,0.703074516118035,0.687529368383252,0.545691389521918,0.570195914113274,NA,1.00090840525852,0.591305890269389,1.13274551455108,1.19963459030092
"19",0,0.783889119932644,0.750845381987122,0.705453766086955,0.581619073701869,0.606193206295071,NA,0.985069292502522,0.618847255589959,1.16443517187464,1.18798804653985
"20",0,0.809776041681074,0.792725366148632,0.7250639516745,0.626799992917038,0.640729987815554,NA,0.96927064384848,0.644454865473128,1.19389200912822,1.17580349114919
"21",0,0.834874707842554,0.819379191579632,0.744295695084039,0.663241745710056,0.667019179719205,NA,0.952546862706895,0.6703945343708,1.22250215008614,1.16268075018959
"22",0,0.859176237744417,0.836697739987697,0.763493034659215,0.685860764685033,0.67668432380143,NA,0.935502288408088,0.692095567612753,1.24661933812036,1.14854868162738
"23",0,0.882394790288974,0.845099489308338,0.781830278375287,0.69779858025516,0.692234466724832,NA,0.918499845253241,0.715749889175313,1.27068190058712,1.13403718888563
"24",0,0.904631884103085,0.845968635789784,0.798584945710611,0.720417599230137,0.702973515705082,NA,0.901256872616593,0.739443276504286,1.29305107046258,1.11853711830109
"25",0,0.92547601165125,0.846226160673175,0.81045426856623,0.733954739374252,0.70765574106047,NA,0.884013103902202,0.765187616569898,1.30783411465683,1.1011977297212
"26",0,0.945543746725704,0.854563528772968,0.822048360746936,0.730356259082779,0.715173075346645,NA,0.866823366918519,0.797905195940079,1.31822662886636,1.08277194300223
"27",0,0.96491381075129,0.872010839622729,0.833952087436919,0.731041683900202,0.713368915117963,NA,0.849630880143006,0.830779038375909,1.3279294952867,1.06351764801621
"28",0,0.983661024538587,0.89522026973837,0.847713621182565,0.735611182683026,0.73214077273544,NA,0.832157932651381,0.865801497964407,1.33576143602148,1.04351487955103
"29",0,1.00181815035807,0.924642487665826,0.854456772717931,0.757030708227512,0.763412883365927,NA,0.814915135677523,0.901273213866645,1.33861562192134,1.02264654967626
"30",0,1.01963118332811,0.957219385414826,0.86598205722991,0.789017199707277,0.789916856249184,NA,0.79770161075753,0.950632809728405,1.33894337532611,1.0008978371349
"31",0,1.03681180411258,0.98580464747126,0.886933992357655,0.82517335882637,0.831111848137422,NA,0.779661298495853,0.995109184788645,1.33779623840942,0.97836508009754
"32",0,1.05330579889545,1.00544091982985,0.919755250341019,0.865613423054359,0.862985345510803,NA,0.761399841950699,1.0364212327695,1.3425350063867,0.956146533708859
"33",0,1.06887182378201,1.02668672270963,0.950993931943634,0.894801096529645,0.89382789418208,NA,0.742999585868319,1.07423689465647,1.35026452418249,0.933261030754579
"34",0,1.08419757701776,1.05041120259205,0.989698245603262,0.932613698957511,0.909206212321798,NA,0.7245696917491,1.11234554979153,1.35565879896931,0.909622607944022
