"year","february_spill_days"
2005,0
2006,0.03
2007,0
2008,0
2009,0
2010,0
2011,0.26
2012,0.02
2013,0
2014,0
2015,0.28
2016,0
2017,0.18
2018,0.24
2019,0
2020,0.03
2021,0.06
2022,0.17
