"year","april_spill_days"
2005,0.11
2006,0.18
2007,0.2
2008,0
2009,0.07
2010,0.08
2011,0.19
2012,0.3
2013,0.27
2014,0.24
2015,0.21
2016,0.22
2017,0.3
2018,0.15
2019,0.08
2020,0.17
2021,0.15
2022,0.17
