"year","january_spill_days"
2005,0
2006,1
2007,1
2008,0
2009,0
2010,0
2011,14
2012,0
2013,17
2014,0
2015,27
2016,0
2017,0
2018,9
2019,0
2020,0
2021,1
2022,29
