"year","april_spill_days"
2005,0.27
2006,0.28
2007,0.28
2008,0.28
2009,0.28
2010,0.28
2011,0.3
2012,0.3
2013,0.29
2014,0.28
2015,0.3
2016,0.28
2017,0.3
2018,0.3
2019,0.3
2020,0.28
2021,0.28
2022,0.28
