"year","january_spill_days"
2005,0
2006,0
2007,0
2008,0
2009,1
2010,1
2011,7
2012,0
2013,0
2014,0
2015,0
2016,9
2017,2
2018,4
2019,2
2020,15
2021,9
2022,14
