"year","april_spill_days"
2005,0.14
2006,0.14
2007,0.15
2008,0.14
2009,0.14
2010,0.14
2011,0.21
2012,0.26
2013,0.26
2014,0.3
2015,0.16
2016,0.26
2017,0.3
2018,0.29
2019,0.2
2020,0.14
2021,0.22
2022,0.25
