"year","january_spill_days"
2005,0
2006,0
2007,0.03
2008,0
2009,0.1
2010,0
2011,0.05
2012,0
2013,0.08
2014,0.15
2015,0.03
2016,0.03
2017,0.18
2018,0.09
2019,0.01
2020,0.26
2021,0.08
2022,0.04
