"year","february_spill_days"
2005,0
2006,0.01
2007,0.02
2008,0.02
2009,0.03
2010,0
2011,0.11
2012,0.05
2013,0.04
2014,0.07
2015,0.2
2016,0.01
2017,0.07
2018,0.19
2019,0.03
2020,0.2
2021,0.16
2022,0.02
