"year","january_spill_days"
2005,1
2006,4
2007,3
2008,2
2009,9
2010,0
2011,6
2012,0
2013,8
2014,11
2015,3
2016,0
2017,2
2018,18
2019,8
2020,2
2021,7
2022,16
