"year","january_spill_days"
2005,0
2006,0
2007,0.01
2008,0.01
2009,0
2010,0.02
2011,0.03
2012,0
2013,0.04
2014,0
2015,0
2016,0
2017,0
2018,0.23
2019,0.01
2020,0
2021,0
2022,0
