"year","february_spill_days"
2005,0
2006,0.04
2007,0.04
2008,0.05
2009,0.03
2010,0
2011,0.11
2012,0.02
2013,0.04
2014,0.02
2015,0.19
2016,0
2017,0
2018,0.28
2019,0.05
2020,0.03
2021,0.14
2022,0.12
