"year","february_spill_days"
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0.14
2012,0.01
2013,0
2014,0
2015,0.05
2016,0.13
2017,0
2018,0.25
2019,0.03
2020,0.14
2021,0.19
2022,0.06
