"year","april_spill_days"
2005,0.27
2006,0.28
2007,0.3
2008,0.22
2009,0.23
2010,0.23
2011,0.3
2012,0.3
2013,0.3
2014,0.3
2015,0.3
2016,0.29
2017,0.3
2018,0.29
2019,0.24
2020,0.29
2021,0.26
2022,0.22
