"year","april_spill_days"
2005,0
2006,0.18
2007,0.24
2008,0.02
2009,0.1
2010,0
2011,0.07
2012,0.28
2013,0.22
2014,0.06
2015,0.03
2016,0.2
2017,0.3
2018,0.14
2019,0.14
2020,0.04
2021,0.17
2022,0.03
