"year","april_spill_days"
2005,1
2006,28
2007,28
2008,28
2009,28
2010,28
2011,30
2012,30
2013,28
2014,29
2015,28
2016,28
2017,30
2018,30
2019,28
2020,28
2021,28
2022,28
