"year","february_spill_days"
2005,0
2006,0
2007,0
2008,0
2009,0.01
2010,0
2011,0
2012,0.03
2013,0.01
2014,0
2015,0.05
2016,0.01
2017,0.19
2018,0.15
2019,0.01
2020,0.03
2021,0
2022,0
