"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"1","Wenatchee River","hatchery",2,3,253,-188.79967265459,4573,3467,3278.20032734541,0.0553247321233326,-0.0412857364212968,0.945543792138855
"2","Wenatchee River","wild",2,3,195,-13.5988172307757,428,323,309.401182769224,0.455607476635514,-0.0317729374550835,0.957898398666329
"3","Wenatchee River","hatchery",3,8,3519,-0.0110725783381941,3519,1,0.988927421661806,1,-3.14651274174312e-06,0.988927421661806
"4","Wenatchee River","wild",3,8,0,0,0,0,0,NA,NA,NA
"5","Wenatchee River","hatchery",8,9,0,-0.191965657476852,1,1,0.808034342523148,0,-0.191965657476852,0.808034342523148
"6","Wenatchee River","wild",8,9,0,0,0,0,0,NA,NA,NA
"7","Wenatchee River","hatchery",2,10,107,-4.06754065167567,672,35,30.9324593483243,0.15922619047619,-0.00605288787451737,0.883784552809266
"8","Wenatchee River","wild",2,10,70,-5.26877571894241,146,13,7.73122428105759,0.479452054794521,-0.0360875049242631,0.594709560081353
"9","Wenatchee River","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"10","Wenatchee River","wild",9,36,0,0,0,0,0,NA,NA,NA
"11","Wenatchee River","hatchery",3,4,3412,6.44094181755323,3519,3455,3461.44094181755,0.969593634555271,0.0018303329973155,1.00186423786326
"12","Wenatchee River","wild",3,4,143,1.0060100516557,331,326,327.006010051656,0.43202416918429,0.00303930529201119,1.00308592040385
"13","Wenatchee River","hatchery",4,5,2160,84.7318526392726,3503,3325,3409.73185263927,0.616614330573794,0.0241883678673345,1.02548326395166
"14","Wenatchee River","wild",4,5,253,2.59181703520122,330,323,325.591817035201,0.766666666666667,0.00785399101576128,1.00802420134737
"15","Wenatchee River","hatchery",5,6,291,-1225.47214865774,3638,2323,1097.52785134226,0.0799890049477735,-0.336853256915267,0.472461408240319
"16","Wenatchee River","wild",5,6,233,-20.5877751082515,336,39,18.4122248917485,0.693452380952381,-0.0612731402031294,0.472108330557654
"17","Wenatchee River","hatchery",6,7,2094,115.813153675672,2331,1538,1653.81315367567,0.898326898326898,0.0496838926107561,1.07530114023126
"18","Wenatchee River","wild",6,7,49,-10.0726385629428,53,28,17.9273614370572,0.924528301886792,-0.190049784206468,0.640262908466329
"19","Wenatchee River","hatchery",5,24,260,288.398621899945,1816,440,728.398621899945,0.143171806167401,0.158809813821556,1.65545141340897
"20","Wenatchee River","wild",5,24,86,13.3334530349849,273,117,130.333453034985,0.315018315018315,0.0488404873076369,1.11396113705115
"21","Wenatchee River","hatchery",6,26,1826,2.3246267021046,1994,33,35.3246267021046,0.915747241725176,0.00116581078340251,1.07044323339711
"22","Wenatchee River","wild",6,26,32,-0.769082596810282,53,1,0.230917403189718,0.60377358490566,-0.0145109923926468,0.230917403189718
"23","Wenatchee River","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"24","Wenatchee River","wild",7,28,0,0,0,0,0,NA,NA,NA
"25","Wenatchee River","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"26","Wenatchee River","wild",7,30,0,0,0,0,0,NA,NA,NA
"27","Wenatchee River","hatchery",7,42,0,0,0,0,0,NA,NA,NA
"28","Wenatchee River","wild",7,42,0,0,0,0,0,NA,NA,NA
"29","Entiat River","wild",2,3,266,-21.7929200814075,522,394,372.207079918592,0.509578544061303,-0.041748889044842,0.94468802009795
"30","Entiat River","wild",3,8,0,0,0,0,0,NA,NA,NA
"31","Entiat River","wild",8,9,0,0,0,0,0,NA,NA,NA
"32","Entiat River","wild",2,10,225,-3.51431485721807,239,17,13.4856851427819,0.941422594142259,-0.0147042462645108,0.793275596634231
"33","Entiat River","wild",9,36,0,0,0,0,0,NA,NA,NA
"34","Entiat River","wild",3,4,264,0.01782459887341,401,396,396.017824598873,0.658354114713217,4.44503712553866e-05,1.00004501161332
"35","Entiat River","wild",4,5,343,3.46461401690548,396,383,386.464614016906,0.866161616161616,0.00874902529521586,1.00904598960028
"36","Entiat River","wild",5,6,317,1.34218809782331,392,386,387.342188097823,0.808673469387755,0.00342394922914109,1.00347717123788
"37","Entiat River","wild",6,7,300,2.15480077633423,415,180,182.154800776334,0.72289156626506,0.00519229102731139,1.01197111542408
"38","Entiat River","wild",5,24,324,-1.86577857534157,324,3,1.13422142465843,1,-0.00575857584981965,0.378073808219478
"39","Entiat River","wild",6,26,322,-15.8557121851252,412,196,180.144287814875,0.781553398058252,-0.0384847383134107,0.919103509259565
"40","Entiat River","wild",7,28,0,0,0,0,0,NA,NA,NA
"41","Entiat River","wild",7,30,0,0,0,0,0,NA,NA,NA
"42","Entiat River","wild",7,42,0,0,0,0,0,NA,NA,NA
"43","Okanogan River","hatchery",2,3,0,-60.1584764072674,1170,872,811.841523592733,0,-0.0514175012027927,0.931010921551299
