"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"190","Grande Ronde River","wild",9,34,0,0,0,0,0,NA,NA,NA
"191","Grande Ronde River","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"192","Grande Ronde River","wild",9,36,0,0,0,0,0,NA,NA,NA
"193","Grande Ronde River","hatchery",9,37,0,0,0,0,0,NA,NA,NA
"194","Grande Ronde River","wild",9,37,0,0,0,0,0,NA,NA,NA
"195","Grande Ronde River","hatchery",9,38,0,0,0,0,0,NA,NA,NA
"196","Grande Ronde River","wild",9,38,0,0,0,0,0,NA,NA,NA
"197","Grande Ronde River","hatchery",9,39,0,0,0,0,0,NA,NA,NA
"198","Grande Ronde River","wild",9,39,0,0,0,0,0,NA,NA,NA
"199","Imnaha River","hatchery",2,3,0,-214.15119957567,4008,2929,2714.84880042433,0,-0.0534309380178817,0.926885899769317
"200","Imnaha River","wild",2,3,189,-92.2158787104721,1461,1069,976.784121289528,0.129363449691992,-0.0631183290283861,0.913736315518735
"201","Imnaha River","hatchery",3,4,65,-25.2607594181506,3026,78,52.7392405818494,0.0214805023132849,-0.00834790463256796,0.67614411002371
"202","Imnaha River","wild",3,4,878,2.2271231837001,1111,28,30.2271231837001,0.79027902790279,0.00200461132646274,1.07954011370357
"203","Imnaha River","hatchery",4,5,64,3.70870300501238,88,40,43.7087030050124,0.727272727272727,0.0421443523296862,1.09271757512531
"204","Imnaha River","wild",4,5,15,-0.288246071209252,38,18,17.7117539287907,0.394736842105263,-0.00758542292655926,0.983986329377264
"205","Imnaha River","hatchery",5,6,22,-1.03052681351106,44,28,26.9694731864889,0.5,-0.0234210639434332,0.963195470946034
"206","Imnaha River","wild",5,6,13,0.166622693537635,23,10,10.1666226935376,0.565217391304348,0.0072444649364189,1.01666226935376
"207","Imnaha River","hatchery",6,7,17,-1.53891510657081,30,22,20.4610848934292,0.566666666666667,-0.0512971702190269,0.93004931333769
"208","Imnaha River","wild",6,7,10,0.402518020013947,13,6,6.40251802001395,0.769230769230769,0.0309629246164574,1.06708633666899
"209","Imnaha River","hatchery",2,10,0,-8.51844147121378,1749,152,143.481558528786,0,-0.00487046396295814,0.943957621899909
"210","Imnaha River","wild",2,10,5,-2.32413940977805,569,61,58.675860590222,0.00878734622144113,-0.00408460353212312,0.961899353938065
"211","Imnaha River","hatchery",2,12,1469,-3.45099464775028,2221,5,1.54900535224972,0.661413777577668,-0.00155380218268811,0.309801070449943
"212","Imnaha River","wild",2,12,337,-0.593647177950882,789,2,1.40635282204912,0.427122940430925,-0.000752404534791992,0.703176411024559
"213","Imnaha River","hatchery",2,14,1658,-0.528437512420574,2221,2,1.47156248757943,0.746510580819451,-0.000237927740846724,0.735781243789713
"214","Imnaha River","wild",2,14,0,0,0,0,0,NA,NA,NA
"215","Imnaha River","hatchery",2,16,0,0,0,0,0,NA,NA,NA
"216","Imnaha River","wild",2,16,0,0,0,0,0,NA,NA,NA
"217","Imnaha River","hatchery",2,18,0,0,0,0,0,NA,NA,NA
"218","Imnaha River","wild",2,18,0,0,0,0,0,NA,NA,NA
"219","Imnaha River","hatchery",3,22,1853,0.851670109773132,3026,2,2.85167010977313,0.612359550561798,0.000281450796355959,1.42583505488657
"220","Imnaha River","wild",3,22,0,0,0,0,0,NA,NA,NA
"221","Imnaha River","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"222","Imnaha River","wild",7,28,0,0,0,0,0,NA,NA,NA
"223","Imnaha River","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"224","Imnaha River","wild",7,30,0,0,0,0,0,NA,NA,NA
"225","Imnaha River","hatchery",2,41,1514,0.855145535064918,4008,2,2.85514553506492,0.377744510978044,0.000213359664437355,1.42757276753246
"226","Imnaha River","wild",2,41,1034,-1.44731152616154,1461,2,0.552688473838457,0.707734428473648,-0.000990630750281686,0.276344236919228
"227","Imnaha River","hatchery",3,8,2933,26.0325841131952,3026,2772,2798.0325841132,0.969266358228685,0.00860296897329649,1.0093912641101
"228","Imnaha River","wild",3,8,894,-11.165718941896,1111,1018,1006.8342810581,0.804680468046805,-0.0100501520629126,0.989031710273187
"229","Imnaha River","hatchery",8,9,1262,27.4358388555459,2819,2583,2610.43583885555,0.447676481021639,0.00973247210200281,1.0106216952596
"230","Imnaha River","wild",8,9,436,10.025332754395,1036,949,959.025332754395,0.420849420849421,0.00967696211814186,1.01056410195405
"231","Imnaha River","hatchery",8,32,0,0,0,0,0,NA,NA,NA
"232","Imnaha River","wild",8,32,738,-0.720199324262636,747,1,0.279800675737364,0.987951807228916,-0.000964122254702324,0.279800675737364
"233","Imnaha River","hatchery",9,34,0,0,0,0,0,NA,NA,NA
"234","Imnaha River","wild",9,34,0,0,0,0,0,NA,NA,NA
"235","Imnaha River","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"236","Imnaha River","wild",9,36,0,0,0,0,0,NA,NA,NA
"237","Imnaha River","hatchery",9,37,0,0,0,0,0,NA,NA,NA
"238","Imnaha River","wild",9,37,0,0,0,0,0,NA,NA,NA
"239","Imnaha River","hatchery",9,38,0,0,0,0,0,NA,NA,NA
"240","Imnaha River","wild",9,38,0,0,0,0,0,NA,NA,NA
"241","Imnaha River","hatchery",9,39,0,0,0,0,0,NA,NA,NA
"242","Imnaha River","wild",9,39,0,0,0,0,0,NA,NA,NA
"243","Snake River","hatchery",2,3,451,-1870.50075187206,29818,22310,20439.4992481279,0.0151250922261721,-0.0627305906456523,0.916158639539576
"244","Snake River","wild",2,3,178,-471.528788151816,6451,4826,4354.47121184818,0.0275926212990234,-0.0730939060846095,0.902294076222168
"245","Snake River","hatchery",3,4,12812,50.6804244352369,22619,364,414.680424435237,0.566426455634643,0.00224061295526932,1.13923193526164
