"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"1","Deschutes River","wild",4,5,0,0,0,0,0,NA,NA,NA
"2","Deschutes River","wild",5,6,0,0,0,0,0,NA,NA,NA
"3","Deschutes River","wild",6,7,0,0,0,0,0,NA,NA,NA
"4","Deschutes River","wild",8,9,0,-1.27092098973474,2,2,0.729079010265258,0,-0.635460494867371,0.364539505132629
"5","Deschutes River","wild",5,24,0,0,0,0,0,NA,NA,NA
"6","Deschutes River","wild",7,28,0,0,0,0,0,NA,NA,NA
"7","Deschutes River","wild",7,30,0,0,0,0,0,NA,NA,NA
"8","Deschutes River","wild",8,32,0,0,0,0,0,NA,NA,NA
"9","Deschutes River","wild",9,34,0,0,0,0,0,NA,NA,NA
"10","Deschutes River","wild",9,36,0,0,0,0,0,NA,NA,NA
"11","Deschutes River","wild",9,37,0,0,0,0,0,NA,NA,NA
"12","Deschutes River","wild",9,38,0,0,0,0,0,NA,NA,NA
"13","Deschutes River","wild",9,39,0,0,0,0,0,NA,NA,NA
"14","Deschutes River","wild",2,3,435,-3.41519078358054,1045,7,3.58480921641946,0.416267942583732,-0.00326812515175171,0.512115602345637
"15","Deschutes River","wild",3,4,0,0,0,0,0,NA,NA,NA
"16","Deschutes River","wild",3,8,2,-0.144288103959984,7,2,1.85571189604002,0.285714285714286,-0.0206125862799977,0.927855948020008
"17","Deschutes River","wild",2,10,366,9.95853193952259,433,137,146.958531939523,0.84526558891455,0.0229989190289205,1.0726900141571
"18","Deschutes River","wild",2,12,0,0,0,0,0,NA,NA,NA
"19","Deschutes River","wild",2,14,430,-1.19007928008798,590,3,1.80992071991202,0.728813559322034,-0.00201708352557284,0.603306906637341
"20","Deschutes River","wild",2,16,0,0,0,0,0,NA,NA,NA
"21","Deschutes River","wild",2,18,0,0,0,0,0,NA,NA,NA
"22","Deschutes River","wild",3,20,0,0,0,0,0,NA,NA,NA
"23","Deschutes River","wild",3,22,0,0,0,0,0,NA,NA,NA
"24","Deschutes River","wild",2,41,0,0,0,0,0,NA,NA,NA
"25","John Day River","wild",4,5,25,4.17047910678179,29,7,11.1704791067818,0.862068965517241,0.143809624371786,1.59578272954026
"26","John Day River","wild",5,6,2,1.91735943849195,7,1,2.91735943849195,0.285714285714286,0.273908491213136,2.91735943849195
"27","John Day River","wild",6,7,0,-0.467333056410463,1,1,0.532666943589537,0,-0.467333056410463,0.532666943589537
"28","John Day River","wild",8,9,229,7.51858471338726,401,179,186.518584713387,0.571072319201995,0.0187495878139333,1.04200326655524
"29","John Day River","wild",5,24,0,0,0,0,0,NA,NA,NA
"30","John Day River","wild",7,28,0,0,0,0,0,NA,NA,NA
"31","John Day River","wild",7,30,0,0,0,0,0,NA,NA,NA
"32","John Day River","wild",8,32,15,12.7924614599833,254,4,16.7924614599833,0.0590551181102362,0.0503640214959972,4.19811536499582
"33","John Day River","wild",9,34,0,0,0,0,0,NA,NA,NA
"34","John Day River","wild",9,36,0,0,0,0,0,NA,NA,NA
"35","John Day River","wild",9,37,0,0,0,0,0,NA,NA,NA
"36","John Day River","wild",9,38,0,0,0,0,0,NA,NA,NA
"37","John Day River","wild",9,39,0,0,0,0,0,NA,NA,NA
"38","John Day River","wild",2,3,647,-585.475819279799,3537,1803,1217.5241807202,0.182923381396664,-0.165528928266836,0.675276861187022
"39","John Day River","wild",3,4,1534,0.861551594145416,1845,27,27.8615515941454,0.831436314363144,0.000466965633683153,1.03190931830168
"40","John Day River","wild",3,8,1793,9.68865874777395,1845,400,409.688658747774,0.971815718157182,0.00525130555434903,1.02422164686943
"41","John Day River","wild",2,10,900,30.0354205356188,1321,149,179.035420535619,0.681302043906132,0.0227368815561081,1.20158000359476
"42","John Day River","wild",2,12,1517,-28.7213494749864,1828,278,249.278650525014,0.829868708971554,-0.0157118979622464,0.896685793255445
"43","John Day River","wild",2,14,1828,0.28269128383086,1828,2,2.28269128383086,1,0.000154645122445766,1.14134564191543
"44","John Day River","wild",2,16,0,0,0,0,0,NA,NA,NA
