"","origin","rear","from","to","points_within_CI","total_bias","total","actual_movements","total_expected_count","CI_coverage","overall_bias","model_v_data"
"54","Middle Columbia","wild",6,7,25,1.40690496967442,28,14,15.4069049696744,0.892857142857143,0.0502466060598007,1.1004932121196
"55","Middle Columbia","hatchery",8,9,378,-77.0276397309565,1627,558,480.972360269043,0.232329440688384,-0.0473433557043371,0.861957634890759
"56","Middle Columbia","wild",8,9,750,48.8215565509923,765,317,365.821556550992,0.980392156862745,0.0638190281712317,1.15401121940376
"57","Middle Columbia","hatchery",5,24,0,0,0,0,0,NA,NA,NA
"58","Middle Columbia","wild",5,24,30,1.21567040918135,52,3,4.21567040918135,0.576923076923077,0.0233782770996413,1.40522346972712
"59","Middle Columbia","hatchery",7,28,0,0,0,0,0,NA,NA,NA
"60","Middle Columbia","wild",7,28,0,0,0,0,0,NA,NA,NA
"61","Middle Columbia","hatchery",7,30,0,0,0,0,0,NA,NA,NA
"62","Middle Columbia","wild",7,30,0,0,0,0,0,NA,NA,NA
"63","Middle Columbia","hatchery",8,32,643,4.67642129598345,1042,67,71.6764212959834,0.617082533589251,0.00448792830708585,1.06979733277587
"64","Middle Columbia","wild",8,32,519,2.06472196707563,582,36,38.0647219670756,0.891752577319588,0.00354763224583442,1.05735338797432
"65","Middle Columbia","hatchery",9,34,0,0,0,0,0,NA,NA,NA
"66","Middle Columbia","wild",9,34,0,0,0,0,0,NA,NA,NA
"67","Middle Columbia","hatchery",9,36,0,0,0,0,0,NA,NA,NA
"68","Middle Columbia","wild",9,36,0,0,0,0,0,NA,NA,NA
"69","Middle Columbia","hatchery",9,37,0,0,0,0,0,NA,NA,NA
"70","Middle Columbia","wild",9,37,0,0,0,0,0,NA,NA,NA
"71","Middle Columbia","hatchery",9,38,0,0,0,0,0,NA,NA,NA
"72","Middle Columbia","wild",9,38,0,0,0,0,0,NA,NA,NA
"73","Middle Columbia","hatchery",9,39,0,0,0,0,0,NA,NA,NA
"74","Middle Columbia","wild",9,39,0,0,0,0,0,NA,NA,NA
