"","from","to","probability","origin"
"56","mainstem, upstream of WEL","Okanogan River Mouth","0.01 (0.00 - 0.03)","Entiat_River"
"57","mainstem, upstream of WEL","Okanogan River Mouth","0.06 (0.01 - 0.13)","Methow_River"
"58","mainstem, upstream of WEL","Methow River Mouth","0.21 (0.02 - 0.62)","Wenatchee_River"
"59","mainstem, upstream of WEL","Methow River Mouth","0.22 (0.16 - 0.28)","Entiat_River"
"60","mainstem, upstream of WEL","Methow River Mouth","0.93 (0.86 - 0.98)","Methow_River"
"61","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Wenatchee_River"
"62","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Entiat_River"
"63","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Methow_River"
"64","mainstem, upstream of WEL","loss","0.14 (0.00 - 0.34)","Wenatchee_River"
"65","mainstem, upstream of WEL","loss","0.12 (0.07 - 0.17)","Entiat_River"
"66","mainstem, upstream of WEL","loss","<0.01","Methow_River"
"67","Wenatchee River Mouth","mainstem, RIS to RRE","<0.01","Wenatchee_River"
"68","Wenatchee River Mouth","mainstem, RIS to RRE","0.98 (0.89 - 1.00)","Entiat_River"
"69","Wenatchee River Mouth","mainstem, RIS to RRE","0.96 (0.76 - 1.00)","Methow_River"
"70","Wenatchee River Mouth","loss","1.00 (1.00 - 1.00)","Wenatchee_River"
"71","Wenatchee River Mouth","loss","0.02 (0.00 - 0.11)","Entiat_River"
"72","Wenatchee River Mouth","loss","0.04 (0.00 - 0.24)","Methow_River"
"73","Entiat River Mouth","mainstem, RRE to WEL","0.46 (0.06 - 0.89)","Wenatchee_River"
"74","Entiat River Mouth","mainstem, RRE to WEL","0.03 (0.01 - 0.05)","Entiat_River"
"75","Entiat River Mouth","mainstem, RRE to WEL","0.49 (0.00 - 1.00)","Methow_River"
"76","Entiat River Mouth","loss","0.54 (0.11 - 0.94)","Wenatchee_River"
"77","Entiat River Mouth","loss","0.97 (0.95 - 0.99)","Entiat_River"
"78","Entiat River Mouth","loss","0.51 (0.00 - 1.00)","Methow_River"
"79","Okanogan River Mouth","mainstem, upstream of WEL","0.71 (0.00 - 1.00)","Wenatchee_River"
"80","Okanogan River Mouth","mainstem, upstream of WEL","0.96 (0.67 - 1.00)","Entiat_River"
"81","Okanogan River Mouth","mainstem, upstream of WEL","<0.01","Methow_River"
"82","Okanogan River Mouth","loss","0.29 (0.00 - 1.00)","Wenatchee_River"
"83","Okanogan River Mouth","loss","0.04 (0.00 - 0.33)","Entiat_River"
"84","Okanogan River Mouth","loss","1.00 (1.00 - 1.00)","Methow_River"
"85","Okanogan River Upstream","mainstem, upstream of WEL","0.71 (0.00 - 1.00)","Wenatchee_River"
"86","Okanogan River Upstream","mainstem, upstream of WEL","0.96 (0.67 - 1.00)","Entiat_River"
"87","Okanogan River Upstream","mainstem, upstream of WEL","<0.01","Methow_River"
"88","Okanogan River Upstream","loss","0.29 (0.00 - 1.00)","Wenatchee_River"
"89","Okanogan River Upstream","loss","0.04 (0.00 - 0.33)","Entiat_River"
"90","Okanogan River Upstream","loss","1.00 (1.00 - 1.00)","Methow_River"
"91","Methow River Mouth","mainstem, upstream of WEL","0.39 (0.16 - 0.70)","Wenatchee_River"
"92","Methow River Mouth","mainstem, upstream of WEL","0.71 (0.57 - 0.83)","Entiat_River"
"93","Methow River Mouth","mainstem, upstream of WEL","<0.01","Methow_River"
"94","Methow River Mouth","loss","0.61 (0.30 - 0.84)","Wenatchee_River"
"95","Methow River Mouth","loss","0.29 (0.17 - 0.43)","Entiat_River"
"96","Methow River Mouth","loss","1.00 (1.00 - 1.00)","Methow_River"
"97","Methow River Upstream","mainstem, upstream of WEL","0.39 (0.16 - 0.70)","Wenatchee_River"
"98","Methow River Upstream","mainstem, upstream of WEL","0.71 (0.57 - 0.83)","Entiat_River"
"99","Methow River Upstream","mainstem, upstream of WEL","<0.01","Methow_River"
"100","Methow River Upstream","loss","0.61 (0.30 - 0.84)","Wenatchee_River"
"101","Methow River Upstream","loss","0.29 (0.17 - 0.43)","Entiat_River"
"102","Methow River Upstream","loss","1.00 (1.00 - 1.00)","Methow_River"
