"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","btemp_matrix_2_10_DE",3.811934,3.89485,1.08467509850947,0.977322507000001,2.1423455,5.6744685,0.983115616744809,59.2624585174992,46.0440985732814
"2","btemp_matrix_2_10_NDE",7.9830906,7.95046,2.41785869198297,2.875940067,4.6156295,12.19674,1.02439391958349,41.6314752383217,43.7731196054254
"3","btemp_matrix_9_36",-11.84582574,-12.2543,6.21239519280328,5.125844871,-20.51859,-0.424372350000004,1.024377778161,51.73374538573,58.4201865057598
"4","btempxorigin1_matrix_5_24_DE",-1.184013798,-1.167,0.83750273026301,0.7508612874,-2.6392845,-0.015211215,0.986856471782609,77.8730823548828,42.719614921781
"5","btempxorigin1_matrix_6_7",1.62142476,1.54079,0.703593196756262,0.8770053432,0.61586245,2.6335015,1.03328355680976,43.5549944274692,33.2500780518264
"6","btempxorigin2_matrix_5_6",1.59989344,1.632325,0.446966256006714,0.424268229,0.8824353,2.339333,1.05687304842091,44.1305818393163,31.8498386274843
"7","btempxorigin2_matrix_5_24_DE",5.40739472,4.75462,3.47483310568728,2.482695243,0.84229595,12.515255,0.999143228701551,63.1509940382416,32.0493529942823
"8","btempxorigin2_matrix_6_7",0.91730382,0.9493665,0.260270028101012,0.2680963341,0.47230185,1.2990925,0.990117281053584,84.9485002168009,46.0440985732814
