"run_year","mean_discharge_cfs","tributary","mean_discharge_zscore"
"05/06",92.381095890411,"Asotin Creek",-0.0262957953439999
"06/07",71.9706849315069,"Asotin Creek",-0.925965472086098
"07/08",100.800546448087,"Asotin Creek",0.344824824266374
"08/09",133.927671232877,"Asotin Creek",1.80503401390666
"09/10",62.4290410958904,"Asotin Creek",-1.34655120367483
"10/11",101.132328767123,"Asotin Creek",0.359449443648941
"11/12",134.946174863388,"Asotin Creek",1.849928594122
"12/13",80.4468493150685,"Asotin Creek",-0.552344966045036
"13/14",93.2657534246575,"Asotin Creek",0.0126989882233472
"14/15",63.5852054794521,"Asotin Creek",-1.29558868070976
"15/16",66.6653005464481,"Asotin Creek",-1.15982129519073
"16/17",130.693698630137,"Asotin Creek",1.66248386673138
"17/18",97.1304109589041,"Asotin Creek",0.183049070911796
"18/19",92.4794520547945,"Asotin Creek",-0.0219603579637963
"19/20",85.825956284153,"Asotin Creek",-0.315239528149567
"20/21",84.9115068493151,"Asotin Creek",-0.355547507694621
"21/22",88.0284931506849,"Asotin Creek",-0.218153994952066
"05/06",6443.28767123288,"Deschutes River",1.4414403937715
"06/07",5771.04109589041,"Deschutes River",0.242189471772017
"07/08",5451.44808743169,"Deschutes River",-0.327946880151313
"08/09",5875.75342465753,"Deschutes River",0.428990507916697
"09/10",5572.54794520548,"Deschutes River",-0.111911393447296
"10/11",6583.17808219178,"Deschutes River",1.6909971940213
"11/12",6399.48087431694,"Deschutes River",1.36329147711169
"12/13",5680.19178082192,"Deschutes River",0.0801192897061446
"13/14",5789.39726027397,"Deschutes River",0.274935859583878
"14/15",5590.41095890411,"Deschutes River",-0.0800447593378416
"15/16",5386.53005464481,"Deschutes River",-0.443757080648659
"16/17",6151.12328767123,"Deschutes River",0.920235200300314
"17/18",5479.3698630137,"Deschutes River",-0.278135967996762
"18/19",5350.95890410959,"Deschutes River",-0.507214057062727
"19/20",4837.15846994536,"Deschutes River",-1.42380577652413
"20/21",4697.23287671233,"Deschutes River",-1.67342534001621
"21/22",4740.65753424658,"Deschutes River",-1.5959581389986
"05/06",330.520821917808,"Entiat River",-1.5529120922346
"06/07",628.080547945205,"Entiat River",1.28797790446487
"07/08",439.751366120219,"Entiat River",-0.510056042790274
"08/09",422.296438356164,"Entiat River",-0.676703358742727
"09/10",365.636712328767,"Entiat River",-1.21765038486059
"10/11",562.191780821918,"Entiat River",0.658918515567011
"11/12",619.141256830601,"Entiat River",1.20263186975745
"12/13",573.235616438356,"Entiat River",0.76435725402399
"13/14",431.547123287671,"Entiat River",-0.588384355914648
"14/15",547.159178082192,"Entiat River",0.515397847236672
"15/16",569.156010928962,"Entiat River",0.72540806343006
"16/17",556.950684931507,"Entiat River",0.608880235569939
"17/18",672.133424657534,"Entiat River",1.7085636418182
"18/19",370.527671232877,"Entiat River",-1.17095496538815
"19/20",375.367213114754,"Entiat River",-1.12475043931069
"20/21",462.489315068493,"Entiat River",-0.292970173761517
"21/22",457.798630136986,"Entiat River",-0.337753518865013
"05/06",868.493150684931,"Hood River",-0.552983162626708
"06/07",1130.58356164384,"Hood River",1.05878337576336
"07/08",930.617486338798,"Hood River",-0.1709397102918
"08/09",1145.36438356164,"Hood River",1.1496803837457
"09/10",805.098630136986,"Hood River",-0.942837818364117
"10/11",1174.27671232877,"Hood River",1.3274813337434
"11/12",1162.7868852459,"Hood River",1.25682282030792
"12/13",947.742465753425,"Hood River",-0.0656269341008302
"13/14",1058.53150684932,"Hood River",0.615687840466322
"14/15",893.364383561644,"Hood River",-0.400033572550032
"15/16",1037.70218579235,"Hood River",0.487594627997499
"16/17",1074.91944444444,"Hood River",0.716468061125352
"17/18",1043.41369863014,"Hood River",0.522718481792264
"18/19",682.816438356164,"Hood River",-1.69483154538464
"19/20",663.972677595628,"Hood River",-1.81071423998662
"20/21",791.895890410959,"Hood River",-1.02403015969255
"21/22",881.460273972603,"Hood River",-0.47323978194452
"05/06",610.716770224172,"Imnaha River",0.726252582862517
"06/07",506.712000516013,"Imnaha River",-0.185430063299918
"07/08",431.905240885417,"Imnaha River",-0.841169456428046
"08/09",583.402829229204,"Imnaha River",0.486824659765421
"09/10",448.348651960784,"Imnaha River",-0.697030177400809
"10/11",611.165119204505,"Imnaha River",0.730182710162843
"11/12",721.040055495607,"Imnaha River",1.69332192912255
"12/13",489.882418683755,"Imnaha River",-0.332954429169806
"13/14",347.619697627315,"Imnaha River",-1.57999775561476
"05/06",2657.66301369863,"John Day River",0.961302992605226
"06/07",1676.2301369863,"John Day River",-0.397532732893247
"07/08",1961.81202185792,"John Day River",-0.00213241879464238
"08/09",2136.87945205479,"John Day River",0.24025591378253
"09/10",1310.50520547945,"John Day River",-0.90389451720777
"10/11",3881.90410958904,"John Day River",2.656317065592
"11/12",2468.32240437158,"John Day River",0.699152834050214
"12/13",1447.82273972603,"John Day River",-0.713772527513818
"13/14",1719.72602739726,"John Day River",-0.337310815322311
"14/15",1443.67123287671,"John Day River",-0.719520466018179
"15/16",1832.00928961749,"John Day River",-0.181849844225173
"16/17",2877.27726027397,"John Day River",1.26536829463044
"17/18",1434.03726027397,"John Day River",-0.732859112462274
"18/19",2538.73263013699,"John Day River",0.796638798175384
"19/20",1619.60109289617,"John Day River",-0.475938062525431
"20/21",1219.71068493151,"John Day River",-1.02960340787928
"21/22",1151.08254794521,"John Day River",-1.12462199399367
"05/06",1243.89863013699,"Methow River",-1.13528204147054
"06/07",1978.86301369863,"Methow River",0.720912169926342
"07/08",1468.76229508197,"Methow River",-0.567376109482809
