"tag_code" "file"
"384.1B796A69C2" 1
"384.1B796A6A57" 1
"384.1B796A6A91" 1
"384.1B796A6B27" 1
"384.1B796A6B5B" 1
"384.1B796A6BBD" 1
"384.1B796A6BD2" 1
"384.1B796A6BF2" 1
"384.1B796A6C15" 1
"384.1B796A6C49" 1
"384.1B796A6CAC" 1
"384.1B796A6DF5" 1
"384.1B796A6E4A" 1
"384.1B796A6E88" 1
"384.1B796A6E8A" 1
"384.1B796A6F0A" 1
"384.1B796A6F4D" 1
"384.1B796A6F81" 1
"384.1B796A6F97" 1
"384.1B796A6FA2" 1
"384.1B796A6FAC" 1
"384.1B796A6FD0" 1
"384.1B796A7003" 1
"384.1B796A705C" 1
"384.1B796A7097" 1
"384.1B796A71EB" 1
"384.1B796A71FF" 1
"384.1B796A7202" 1
"384.1B796A722D" 1
"384.1B796A723A" 1
"384.1B796A7297" 1
"384.1B796A72A8" 1
"384.1B796A7306" 1
"384.1B796A7319" 1
"384.1B796A732B" 1
"384.1B796A7404" 1
"384.1B796A7409" 1
"384.1B796A7465" 1
"384.1B796A74C9" 1
"384.1B796A74CB" 1
"384.1B796A74D1" 1
"384.1B796A74DB" 1
"384.1B796A7505" 1
"384.1B796A75B4" 1
"384.1B796A7696" 1
"384.1B796A76E1" 1
"384.1B796A76FF" 1
"384.1B796A7700" 1
"384.1B796A77C3" 1
"384.1B796A783C" 1
"384.1B796A78BB" 1
"384.1B796A7901" 1
"384.1B796A7904" 1
"384.1B796A793A" 1
"384.1B796A797A" 1
"384.1B796A79A0" 1
"384.1B796A79C2" 1
"384.1B796A7A39" 1
"384.1B796A7A62" 1
"384.1B796A7A80" 1
"384.1B796A7AD8" 1
"384.1B796A7D4D" 1
"384.1B796A7DA5" 1
"384.1B796A7DBB" 1
"384.1B796A7E72" 1
"384.1B796A7F9D" 1
"384.1B796A804B" 1
"384.1B796A8089" 1
"384.1B796A8099" 1
"384.1B796A8332" 1
"384.1B796A83D9" 1
"384.1B796A8554" 1
"384.1B796A85C3" 1
"384.1B796A8913" 1
"384.1B796A89B5" 1
"384.1B796A8AE9" 1
"384.1B796A8B02" 1
"384.1B796A8E5B" 1
"384.1B796A8EE1" 1
"384.1B796A8F02" 1
