"","date","mouth to BON","MCN to ICH or PRA (ICH)","ICH to LGR","BON to MCN","MCN to ICH or PRA (PRA)","PRA to RIS","RIS to RRE","RRE to WEL"
"1","1965-01-02",117.2,26,NA,39.5,NA,NA,NA,NA
"2","1965-01-03",97.9,21.4,NA,49.1,NA,NA,NA,NA
"3","1965-01-04",105.9,13,NA,79.7,NA,NA,NA,NA
"4","1965-01-05",117.1,15.8,NA,62.6,NA,NA,NA,NA
"5","1965-01-06",113.5,15.2,NA,67.3,NA,NA,NA,NA
"6","1965-01-07",114.9,15.5,NA,60.9,NA,NA,NA,NA
"7","1965-01-08",106.8,15.6,NA,50.5,NA,NA,NA,NA
"8","1965-01-09",98.7,17,NA,63.3,NA,NA,NA,NA
"9","1965-01-10",123.7,17.8,NA,56.6,NA,NA,NA,NA
"10","1965-01-11",106.2,27.5,NA,41.4,NA,NA,NA,NA
"11","1965-01-12",89.3,26.7,NA,35.7,NA,NA,NA,NA
"12","1965-01-13",95.3,18.8,NA,56.2,NA,NA,NA,NA
"13","1965-01-14",110.7,18.9,NA,55,NA,NA,NA,NA
"14","1965-01-15",108.5,24.5,NA,45.4,NA,NA,NA,NA
"15","1965-01-16",73.1,11.2,NA,37.3,NA,NA,NA,NA
"16","1965-01-17",74.2,13.1,NA,28.9,NA,NA,NA,NA
"17","1965-01-18",63.5,13.4,NA,22.5,NA,NA,NA,NA
"18","1965-01-19",51.5,13.9,NA,21.4,NA,NA,NA,NA
"19","1965-01-20",36.9,14.1,NA,42,NA,NA,NA,NA
"20","1965-01-21",42.2,12.7,NA,44.1,NA,NA,NA,NA
"21","1965-01-22",61.3,11.8,NA,36.1,NA,NA,NA,NA
"22","1965-01-23",49.2,8.9,NA,29.5,NA,NA,NA,NA
"23","1965-01-24",45.8,11.3,NA,34.7,NA,NA,NA,NA
"24","1965-01-25",41.2,10.6,NA,15.6,NA,NA,NA,NA
"25","1965-01-26",42.3,14.8,NA,14.6,NA,NA,NA,NA
"26","1965-01-27",44.8,26.8,NA,38.1,NA,NA,NA,NA
"27","1965-01-28",90.7,31.5,NA,57.6,NA,NA,NA,NA
"28","1965-01-29",127.4,21.3,NA,28.8,NA,NA,NA,NA
"29","1965-01-30",135.1,56.1,NA,NA,NA,NA,NA,NA
"30","1965-01-31",163.4,117.3,NA,44.2,NA,NA,NA,NA
"31","1965-02-01",229.5,111.6,NA,65.5,NA,NA,NA,NA
"32","1965-02-02",202.8,100.8,NA,86.4,NA,NA,NA,NA
"33","1965-02-03",183.4,88.1,NA,112.1,NA,NA,NA,NA
"34","1965-02-04",174.7,71,NA,100.3,NA,NA,NA,NA
"35","1965-02-05",136.1,64.4,NA,99.2,NA,NA,NA,NA
"36","1965-02-06",122.5,59.3,NA,105,NA,NA,NA,NA
"37","1965-02-07",141.6,60,NA,118.6,NA,NA,NA,NA
"38","1965-02-08",150.3,60.2,NA,118.9,NA,NA,NA,NA
"39","1965-02-09",142.9,55.1,NA,112.2,NA,NA,NA,NA
"40","1965-02-10",145.4,53.8,NA,122.2,NA,NA,NA,NA
"41","1965-02-11",149.3,50.8,NA,103.7,NA,NA,NA,NA
"42","1965-02-12",133.6,45.9,NA,116.3,NA,NA,NA,NA
"43","1965-02-13",149.3,38.9,NA,119.1,NA,NA,NA,NA
"44","1965-02-14",148,39,NA,111.6,NA,NA,NA,NA
"45","1965-02-15",143.4,48.8,NA,87.1,NA,NA,NA,NA
"46","1965-02-16",93.6,57.2,NA,41.3,NA,NA,NA,NA
"47","1965-02-17",74.7,54.4,NA,66.7,NA,NA,NA,NA
"48","1965-02-18",101.8,49.7,NA,120.3,NA,NA,NA,NA
"49","1965-02-19",116.6,58,NA,101.1,NA,NA,NA,NA
"50","1965-02-20",126.6,60.5,NA,91.9,NA,NA,NA,NA
"51","1965-02-21",120.6,62.6,NA,92.6,NA,NA,NA,NA
"52","1965-02-22",119.9,63.3,NA,82.5,NA,NA,NA,NA
"53","1965-02-23",107.3,63.6,NA,89.7,NA,NA,NA,NA
"54","1965-02-24",123.6,62.6,NA,94.4,NA,NA,NA,NA
"55","1965-02-25",129.4,60.8,NA,86.9,NA,NA,NA,NA
"56","1965-02-26",111.6,56.4,NA,69.3,NA,NA,NA,NA
"57","1965-02-27",104.9,52.7,NA,76.5,NA,NA,NA,NA
"58","1965-02-28",109.2,53.7,NA,70.7,NA,NA,NA,NA
"59","1965-03-01",114.3,59.4,NA,65.1,NA,NA,NA,NA
"60","1965-03-02",104.5,62.9,NA,71.8,NA,NA,NA,NA
"61","1965-03-03",110,58.4,NA,77,NA,NA,NA,NA
"62","1965-03-04",107.3,61.9,NA,65.2,NA,NA,NA,NA
"63","1965-03-05",93.5,58.3,NA,57.1,NA,NA,NA,NA
"64","1965-03-06",93.1,42.7,NA,73.8,NA,NA,NA,NA
"65","1965-03-07",83.9,18.2,NA,50.8,NA,NA,NA,NA
"66","1965-03-08",72.1,43.3,NA,58.7,NA,NA,NA,NA
"67","1965-03-09",81.9,56.8,NA,80.8,NA,NA,NA,NA
"68","1965-03-10",104,58.1,NA,72.6,NA,NA,NA,NA
"69","1965-03-11",91,57.8,NA,76.8,NA,NA,NA,NA
"70","1965-03-12",111.6,55.3,NA,93.6,NA,NA,NA,NA
"71","1965-03-13",129.6,55.7,NA,103.9,NA,NA,NA,NA
"72","1965-03-14",108.2,56,NA,77,NA,NA,NA,NA
"73","1965-03-15",98.5,57.3,NA,76.2,NA,NA,NA,NA
"74","1965-03-16",92.6,48.6,NA,50.6,NA,NA,NA,NA
"75","1965-03-17",82.8,47.3,NA,52.8,NA,NA,NA,NA
"76","1965-03-18",92.9,32,NA,47,NA,NA,NA,NA
"77","1965-03-19",73.4,51,NA,42.1,NA,NA,NA,NA
"78","1965-03-20",85.9,43.7,NA,48.1,NA,NA,NA,NA
"79","1965-03-21",77.2,39.8,NA,26.5,NA,NA,NA,NA
"80","1965-03-22",61.5,39.5,NA,27.5,NA,NA,NA,NA
"81","1965-03-23",53.2,40,NA,22.9,NA,NA,NA,NA
"82","1965-03-24",71,38.3,NA,48.7,NA,NA,NA,NA
"83","1965-03-25",83.1,24.8,NA,21.6,NA,NA,NA,NA
"84","1965-03-26",64.1,24.7,NA,17.9,NA,NA,NA,NA
"85","1965-03-27",62.2,20.4,NA,25.1,NA,NA,NA,NA
"86","1965-03-28",63.3,22.1,NA,33.9,NA,NA,NA,NA
"87","1965-03-29",54.7,21.4,NA,8.8,NA,NA,NA,NA
"88","1965-03-30",36.9,21.5,NA,22.8,NA,NA,NA,NA
"89","1965-03-31",57.1,21.5,NA,25.8,NA,NA,NA,NA
"90","1965-04-01",46.1,18,NA,5.5,NA,NA,NA,NA
"91","1965-04-02",24.7,17,NA,NA,NA,NA,NA,NA
"92","1965-04-03",56.2,20.5,NA,NA,NA,NA,NA,NA
"93","1965-04-04",37.6,27.9,NA,NA,NA,NA,NA,NA
"94","1965-04-05",12.5,30.6,NA,NA,NA,NA,NA,NA
"95","1965-04-06",32.5,28.8,NA,NA,NA,NA,NA,NA
"96","1965-04-07",25.4,30.6,NA,1.5,NA,NA,NA,NA
"97","1965-04-08",49.4,41.3,NA,45.9,NA,NA,NA,NA
"98","1965-04-09",74.1,38,NA,31.1,NA,NA,NA,NA
"99","1965-04-10",70,36.7,NA,45.3,NA,NA,NA,NA
"100","1965-04-11",74.7,42.5,NA,40,NA,NA,NA,NA
"101","1965-04-12",78.3,47.5,NA,34.3,NA,NA,NA,NA
"102","1965-04-13",67.7,45.8,NA,18.5,NA,NA,NA,NA
"103","1965-04-14",64.3,41.2,NA,23,NA,NA,NA,NA
"104","1965-04-15",82.8,48.8,NA,45.5,NA,NA,NA,NA
"105","1965-04-16",83.6,47.4,NA,58.2,NA,NA,NA,NA
"106","1965-04-17",101.1,53.8,NA,61.6,NA,NA,NA,NA
"107","1965-04-18",111.4,72.6,NA,87,NA,NA,NA,NA
"108","1965-04-19",131,83.7,NA,94.7,NA,NA,NA,NA
"109","1965-04-20",141.5,88.2,NA,111,NA,NA,NA,NA
"110","1965-04-21",168.6,119.6,NA,143.7,NA,NA,NA,NA
"111","1965-04-22",213.8,176.6,NA,197.4,NA,NA,NA,NA
"112","1965-04-23",280.7,186.6,NA,269.1,NA,NA,NA,NA
"113","1965-04-24",319.1,171.1,NA,242.3,NA,NA,NA,NA
"114","1965-04-25",296.7,153.4,NA,201.4,NA,NA,NA,NA
"115","1965-04-26",273.5,143.8,NA,230.1,NA,NA,NA,NA
"116","1965-04-27",270.3,137.6,NA,209.3,NA,NA,NA,NA
"117","1965-04-28",280.3,135.9,NA,201.1,NA,NA,NA,NA
"118","1965-04-29",278.3,135.1,NA,194.9,NA,NA,NA,NA
"119","1965-04-30",269.7,139.9,NA,198.9,NA,NA,NA,NA
"120","1965-05-01",277.9,146.8,NA,202.3,NA,NA,NA,NA
"121","1965-05-02",283.9,169.5,NA,224.8,NA,NA,NA,NA
"122","1965-05-03",308.6,173.5,NA,272.6,NA,NA,NA,NA
"123","1965-05-04",343.8,156.3,NA,261.7,NA,NA,NA,NA
"124","1965-05-05",336.8,142,NA,233.4,NA,NA,NA,NA
"125","1965-05-06",314.7,129.9,NA,217.9,NA,NA,NA,NA
"126","1965-05-07",306.4,113.5,NA,209.1,NA,NA,NA,NA
"127","1965-05-08",302.1,97.1,NA,214,NA,NA,NA,NA
"128","1965-05-09",286.5,87.6,NA,213.7,NA,NA,NA,NA
"129","1965-05-10",267.3,83.9,NA,232.5,NA,NA,NA,NA
"130","1965-05-11",267.3,91.2,NA,228.5,NA,NA,NA,NA
"131","1965-05-12",278.9,86.9,NA,221.2,NA,NA,NA,NA
"132","1965-05-13",256.5,87.5,NA,213.1,NA,NA,NA,NA
