"","reach","t50","t80","t95"
"1","mainstem, BON to MCN",13.2517592592593,42.9721967592593,83.0847291666667
"2","mainstem, MCN to ICH or PRA",3.9553587962963,7.70289351851852,42.1290856481482
"3","mainstem, PRA to RIS",4.06790509259259,6.12048611111111,10.5906805555556
"4","mainstem, RIS to RRE",2.30587962962963,16.1228981481481,42.5011018518518
"5","mainstem, RRE to WEL",2.95535300925926,5.87365277777778,32.0536163194444
"6","mainstem, ICH to LGR",7.0978587962963,12.9798819444444,80.8764537037036
