day,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
12,,163.108,107.875,124.883,155.417,152.358,150.438,121.188,188.004,157.629,189.233,173.096,165.542,200.363,181.504,163.746,184.746,192.229,115.742,184.138,160.538,212.179,179.396,172.471,153.918,152.213,109.571,144.392,279.283,274.021,186.671,195.446,190.163,126.646,111.713,94.550,137.229,117.167,173.704,200.425,135.054,162.833,114.583,182.392,124.088,178.338,137.217,186.229,138.246,187.538,203.125,139.742,116.713,176.678,166.371,138.211
13,,135.946,115.250,169.108,148.075,102.783,121.900,143.233,183.858,141.358,184.675,152.500,108.617,224.854,182.104,208.700,189.242,208.475,137.217,177.479,175.788,199.267,146.888,160.133,141.550,181.588,112.321,142.333,252.138,277.154,186.817,223.817,196.821,120.438,110.138,98.038,133.621,168.913,203.683,173.979,100.071,154.838,112.000,136.804,140.675,171.450,112.275,192.504,136.525,172.154,208.525,107.546,132.933,185.875,169.175,117.722
14,,149.183,129.008,168.654,156.892,99.338,120.308,161.046,207.983,141.108,176.963,99.396,123.175,218.104,189.975,248.258,202.900,206.242,124.483,171.042,159.313,112.321,126.142,153.267,153.633,165.942,112.217,142.525,255.875,299.258,185.979,229.175,200.358,115.483,121.763,113.092,127.713,191.492,184.900,184.208,123.038,191.896,117.075,156.275,107.296,186.142,109.342,182.613,133.771,170.483,190.779,137.542,150.521,193.350,162.896,117.561
15,,180.396,131.100,167.675,119.079,142.796,165.088,178.129,157.104,120.500,138.008,133.588,145.792,206.892,163.529,214.838,201.696,197.163,142.558,190.629,149.563,165.246,104.296,153.700,155.300,161.129,110.754,139.438,252.471,277.538,160.821,222.342,213.304,117.929,162.296,114.246,119.988,154.858,167.104,199.488,137.108,188.708,93.654,145.300,119.200,191.750,119.754,186.867,125.629,177.250,197.758,146.521,149.717,181.721,177.046,118.144
16,,199.100,133.217,113.675,108.600,148.017,242.404,171.063,162.833,104.554,172.975,162.104,166.367,234.396,159.079,195.783,218.167,194.083,135.896,203.529,133.017,187.804,165.333,185.025,153.742,128.992,91.700,144.408,256.775,274.683,155.713,232.742,187.275,129.588,187.879,108.775,140.442,128.838,176.367,184.608,158.225,207.483,102.433,116.392,136.279,190.504,132.867,171.946,148.096,169.513,199.038,151.017,149.267,177.633,182.179,130.722
17,,193.975,126.808,110.238,128.771,150.358,254.613,146.900,209.554,133.683,156.375,157.550,155.829,216.838,154.846,189.696,236.679,210.304,120.000,173.063,123.392,149.308,178.108,195.325,145.100,94.800,114.008,158.029,263.388,261.183,155.696,233.896,185.042,129.258,157.788,120.604,108.321,144.679,182.463,169.954,149.238,192.267,104.496,164.063,129.179,188.217,127.088,195.992,124.075,178.708,196.933,138.654,164.229,149.704,199.629,112.494
18,,166.058,118.838,167.638,137.558,154.663,351.888,110.342,238.121,125.925,186.142,177.379,119.300,152.800,168.679,214.154,228.721,198.963,124.921,181.992,131.971,148.567,166.975,180.458,145.533,127.508,149.658,154.021,270.154,270.379,136.358,224.788,199.742,135.183,156.425,131.579,100.796,117.150,194.338,198.788,132.908,182.613,92.763,218.821,156.796,172.417,122.750,154.688,105.346,177.304,199.671,116.208,156.933,149.542,193.125,122.796
19,,160.979,143.804,205.688,126.846,165.967,328.850,158.421,220.967,129.046,203.650,178.279,135.133,178.350,171.129,217.942,220.342,216.617,122.821,193.138,141.867,161.300,173.892,219.058,123.067,153.104,144.229,138.838,272.779,218.629,129.158,204.733,191.317,137.538,108.392,108.304,114.171,139.504,192.063,168.438,156.888,185.246,90.392,251.221,160.188,176.863,120.767,187.125,127.600,164.717,193.608,107.200,122.271,174.375,189.146,134.580
20,,162.954,135.425,166.750,112.729,130.954,327.888,147.579,202.992,152.625,170.663,138.579,143.533,185.421,180.408,228.075,256.646,206.863,139.504,191.904,157.421,159.263,160.754,206.958,130.404,105.379,135.192,132.654,286.433,251.471,163.517,213.517,195.700,120.183,130.138,119.283,126.775,123.583,210.475,163.775,97.163,166.083,102.375,229.888,152.188,156.850,126.300,186.038,118.413,160.683,202.117,103.946,137.688,169.467,171.967,139.217
21,,180.529,143.825,181.746,166.133,141.933,318.163,151.963,193.433,156.279,137.800,121.375,127.892,198.742,187.767,209.629,196.933,191.658,122.154,168.975,165.513,146.867,145.238,229.258,145.821,113.758,133.542,132.913,272.546,255.496,183.717,225.658,194.775,99.050,132.079,97.288,137.800,130.804,198.304,146.263,138.613,174.208,102.154,217.117,138.858,182.496,135.804,210.896,120.933,154.538,191.221,94.983,141.096,153.858,184.317,139.300
