Row Labels,Count of tag_code
Salmon_River,2
Umatilla_River,3
"mainstem, mouth to BON",4
Hood_River,4
"mainstem, PRA to RIS",1
Methow_River,1
Umatilla River,2
Umatilla_River,2
Imnaha River,1614
loss,1523
Grande_Ronde_River,4
Imnaha_River,1513
John_Day_River,1
Tucannon_River,3
Umatilla_River,1
Walla_Walla_River,1
"mainstem, upstream of LGR",91
Imnaha_River,90
Salmon_River,1
John Day River,1079
loss,980
Asotin_Creek,1
Clearwater_River,1
Deschutes_River,1
Fifteenmile_Creek,3
Grande_Ronde_River,35
Imnaha_River,25
John_Day_River,882
Salmon_River,25
Tucannon_River,6
Umatilla_River,1
"mainstem, BON to MCN",99
Clearwater_River,2
Grande_Ronde_River,7
Hood_River,1
Imnaha_River,7
John_Day_River,62
Salmon_River,20
"mainstem, BON to MCN",84603
BON to MCN other tributaries,76
Asotin_Creek,1
Clearwater_River,2
Deschutes_River,1
Fifteenmile_Creek,14
Grande_Ronde_River,3
Hood_River,5
Imnaha_River,7
John_Day_River,5
Salmon_River,21
Tucannon_River,7
Umatilla_River,8
Walla_Walla_River,1
Yakima_River,1
Deschutes River,2458
Asotin_Creek,52
Clearwater_River,193
Deschutes_River,391
Entiat_River,17
Fifteenmile_Creek,72
Grande_Ronde_River,301
Hood_River,6
Imnaha_River,224
John_Day_River,163
Methow_River,94
Okanogan_River,35
Salmon_River,473
Tucannon_River,115
Umatilla_River,142
Walla_Walla_River,89
Wenatchee_River,49
Yakima_River,42
Fifteenmile Creek,123
Clearwater_River,2
Fifteenmile_Creek,117
Hood_River,2
Salmon_River,1
Tucannon_River,1
Hood River,585
Clearwater_River,4
Deschutes_River,3
Fifteenmile_Creek,1
Grande_Ronde_River,3
Hood_River,553
Imnaha_River,2
John_Day_River,2
Methow_River,1
Okanogan_River,1
Salmon_River,7
Tucannon_River,2
Umatilla_River,6
John Day River,1079
Asotin_Creek,1
Clearwater_River,3
Deschutes_River,1
Fifteenmile_Creek,3
Grande_Ronde_River,42
