"","tag_code","event_type_name","event_site_name","start_time","end_time","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"12702","384.3B23A32DE1","Observation","LMA - Lower Monumental Adult Ladders",2015-07-13 09:39:03,2015-07-13 09:39:51,"04","03","Right Ladder","Right Ladder",100,NA
"12703","384.3B23A32DE1","Observation","LMA - Lower Monumental Adult Ladders",2015-07-14 03:23:34,2015-07-14 03:23:43,"04","03","Right Ladder","Right Ladder",100,NA
"12704","384.3B23A32DE1","Observation","LMA - Lower Monumental Adult Ladders",2015-07-19 07:23:32,2015-07-19 07:23:37,"04","03","Right Ladder","Right Ladder",100,NA
"17075","384.3B23A9986A","Observation","BO2-BO3-BO4",2015-09-02 05:54:41,2015-09-02 07:54:24,"10","01","WEIR 45","VERTICAL SLOT DETECTORS",100,NA
"17076","384.3B23A9986A","Observation","The Dalles Adult Fishways (combined)",2015-09-06 01:13:05,2015-09-06 01:13:09,"02","01","Counting Window","Counting Window",100,NA
"17077","384.3B23A9986A","Observation","MC1 - McNary Oregon Shore Ladder",2015-09-10 02:47:23,2015-09-10 03:59:44,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"17078","384.3B23A9986A","Observation","MC2 - McNary Washington Shore Ladder",2015-09-15 10:23:29,2015-09-15 11:00:38,"13","01","WEIR 302","COUNTING WINDOW",120,NA
"17079","384.3B23A9986A","Observation","MC2 - McNary Washington Shore Ladder",2015-11-25 00:47:55,2015-11-25 01:02:21,"01","13","COUNTING WINDOW","WEIR 302",120,"descent"
"17080","384.3B23A9986A","Observation","JDJ - John Day Dam Juvenile",2016-04-01 19:50:27,2016-04-01 19:52:57,"01","62","FULL FLOW BYPASS","ADULT FISH RETURN",160,NA
"17081","384.3B23A9986A","Observation","BCC - BON PH2 Corner Collector",2016-04-11 22:11:44,2016-04-11 22:11:44,"01","01","15X15 FULL-FLOW ANTENNA","15X15 FULL-FLOW ANTENNA",100,NA
"17747","384.3B23AA5F03","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-07-16 06:24:14,2016-07-16 08:44:00,"24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"17748","384.3B23AA5F03","Observation","The Dalles Adult Fishways (combined)",2016-09-04 02:00:42,2016-09-04 02:00:45,"02","01","Counting Window","Counting Window",100,NA
"17749","384.3B23AA5F03","Observation","MC1 - McNary Oregon Shore Ladder",2016-09-07 23:56:56,2016-09-08 01:11:20,"11","01","WEIR 279","COUNTING WINDOW",100,NA
"17750","384.3B23AA5F03","Observation","ICH2 - Ice Harbor Dam South Ladder",2016-09-10 01:41:45,2016-09-10 01:42:29,"07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",110,NA
"17751","384.3B23AA5F03","Observation","LMA - Lower Monumental Adult Ladders",2016-09-12 06:04:02,2016-09-12 06:07:17,"04","03","Right Ladder","Right Ladder",100,NA
