"","tag_code","event_type_name","event_site_name","start_time","end_time","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"1","384.3B23A134F8","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-09-18 07:05:39,2016-09-18 08:10:03,"24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"2","384.3B23A134F8","Observation","The Dalles Adult Fishways (combined)",2016-10-17 09:57:37,2016-10-17 09:57:41,"02","01","Counting Window","Counting Window",100,NA
"3","384.3B23A134F8","Observation","MC1 - McNary Oregon Shore Ladder",2016-10-20 06:39:04,2016-10-20 08:12:47,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"4","384.3B23A134F8","Observation","ICH2 - Ice Harbor Dam South Ladder",2016-10-22 02:31:08,2016-10-22 03:02:50,"07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",110,NA
"5","384.3B23A134F8","Observation","LMA - Lower Monumental Adult Ladders",2016-10-24 13:29:48,2016-10-24 13:29:49,"02","01","Left Ladder","Left Ladder",100,NA
"6","384.3B23A134F8","Observation","GOA - Little Goose Fish Ladder",2016-10-25 12:10:48,2016-10-25 12:10:50,"02","02","Counting Window","Counting Window",100,NA
"7","384.3B23A134F8","Observation","GRA - Lower Granite Dam Adult",2016-10-27 15:14:18,2016-10-28 10:01:49,"B3","A1","Ladder Entrance","Ladder Exit",150,NA
"8","384.3B23A1358E","Observation","BO2-BO3-BO4",2016-09-13 10:22:39,2016-09-13 14:12:41,"BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"9","384.3B23A1358E","Observation","The Dalles Adult Fishways (combined)",2016-09-16 01:13:56,2016-09-16 01:14:03,"02","01","Counting Window","Counting Window",100,NA
"10","384.3B23A1358E","Observation","MC2 - McNary Washington Shore Ladder",2016-09-25 08:00:27,2016-09-25 08:53:28,"13","01","WEIR 302","COUNTING WINDOW",120,NA
"11","384.3B23A1358E","Observation","LMA - Lower Monumental Adult Ladders",2016-09-29 12:41:32,2016-09-29 12:41:36,"04","03","Right Ladder","Right Ladder",100,NA
"12","384.3B23A1358E","Observation","GOA - Little Goose Fish Ladder",2016-10-02 17:56:41,2016-10-02 17:56:42,"02","01","Counting Window","Counting Window",100,NA
"13","384.3B23A1358E","Observation","GRA - Lower Granite Dam Adult",2016-10-04 14:11:48,2016-10-05 10:54:57,"B4","A1","Ladder Entrance","Ladder Exit",150,NA
"14","384.3B23A135CF","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-09-06 15:00:39,2016-09-06 15:32:48,"04","01","VERTICAL SLOT DETECTORS","VERTICAL SLOT DETECTORS",110,NA
"15","384.3B23A135CF","Observation","The Dalles Adult Fishways (combined)",2016-09-09 07:11:17,2016-09-09 07:11:21,"02","01","Counting Window","Counting Window",100,NA
"16","384.3B23A135CF","Observation","MC1 - McNary Oregon Shore Ladder",2016-09-15 05:40:11,2016-09-15 07:33:38,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"17","384.3B23A135CF","Observation","ICH2 - Ice Harbor Dam South Ladder",2016-09-16 21:14:06,2016-09-16 21:38:28,"08","02","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",110,NA
"18","384.3B23A135CF","Observation","LMA - Lower Monumental Adult Ladders",2016-09-19 15:35:59,2016-09-19 15:36:03,"04","03","Right Ladder","Right Ladder",100,NA
"19","384.3B23A135CF","Observation","GOA - Little Goose Fish Ladder",2016-09-21 01:30:58,2016-09-21 01:31:02,"02","01","Counting Window","Counting Window",100,NA
"20","384.3B23A135CF","Observation","GRA - Lower Granite Dam Adult",2016-09-22 12:19:35,2016-09-23 11:45:13,"B1","02","Ladder Entrance","WEIR 733",150,NA
"21","384.3B23A13682","Observation","BO2-BO3-BO4",2016-08-24 16:47:10,2016-08-25 05:11:00,"BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"22","384.3B23A13F59","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-09-23 09:10:07,2016-09-23 10:01:59,"24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"23","384.3B23A13F59","Observation","The Dalles Adult Fishways (combined)",2016-09-26 09:47:08,2016-09-26 09:47:10,"02","01","Counting Window","Counting Window",100,NA
"24","384.3B23A13F59","Observation","MC1 - McNary Oregon Shore Ladder",2016-10-21 09:13:05,2016-10-21 10:58:32,"11","01","WEIR 279","COUNTING WINDOW",100,NA
"25","384.3B23A13F77","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-09-29 06:31:27,2016-09-29 07:42:12,"11","01","A-BRANCH WEIR 44","VERTICAL SLOT DETECTORS",110,NA
"26","384.3B23A13F77","Observation","The Dalles Adult Fishways (combined)",2016-10-01 13:54:38,2016-10-01 13:54:43,"02","01","Counting Window","Counting Window",100,NA
"27","384.3B23A13F77","Observation","MC2 - McNary Washington Shore Ladder",2016-10-06 21:56:06,2016-10-06 21:56:16,"03","01","COUNTING WINDOW","COUNTING WINDOW",120,NA
"28","384.3B23A13F77","Observation","LMA - Lower Monumental Adult Ladders",2016-10-11 21:10:14,2016-10-11 21:14:49,"04","03","Right Ladder","Right Ladder",100,NA
"29","384.3B23A13F77","Observation","GOA - Little Goose Fish Ladder",2016-10-14 07:27:08,2016-10-14 07:27:10,"02","01","Counting Window","Counting Window",100,NA
"30","384.3B23A13F77","Observation","GRA - Lower Granite Dam Adult",2016-10-16 00:57:05,2016-10-16 10:55:40,"B2","A1","Ladder Entrance","Ladder Exit",150,NA
"31","384.3B23A14172","Observation","BO2-BO3-BO4",2016-09-01 12:19:38,2016-09-01 13:30:57,"BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"32","384.3B23A14172","Observation","The Dalles Adult Fishways (combined)",2016-09-16 08:27:30,2016-09-16 08:27:37,"02","01","Counting Window","Counting Window",100,NA
"33","384.3B23A14172","Observation","MC1 - McNary Oregon Shore Ladder",2016-09-20 04:14:30,2016-09-20 06:02:15,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"34","384.3B23A14172","Observation","LMA - Lower Monumental Adult Ladders",2016-09-23 10:27:35,2016-09-23 10:27:41,"04","03","Right Ladder","Right Ladder",100,NA
"35","384.3B23A14172","Observation","GOA - Little Goose Fish Ladder",2016-09-24 20:08:31,2016-09-24 20:08:34,"02","01","Counting Window","Counting Window",100,NA
"36","384.3B23A14172","Observation","GRA - Lower Granite Dam Adult",2016-09-27 05:02:21,2016-09-27 08:30:44,"B2","A1","Ladder Entrance","Ladder Exit",150,NA
"37","384.3B23A141E2","Observation","BO2-BO3-BO4",2016-08-19 19:12:50,2016-08-20 04:47:54,"BO3-17","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"38","384.3B23A141E2","Observation","The Dalles Adult Fishways (combined)",2016-09-07 01:31:34,2016-09-07 01:31:43,"02","01","Counting Window","Counting Window",100,NA
"39","384.3B23A141E2","Observation","MC1 - McNary Oregon Shore Ladder",2016-09-09 18:39:17,2016-09-10 05:56:18,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"40","384.3B23A141E2","Observation","ICH1 - Ice Harbor Dam North Ladder",2016-09-12 02:35:56,2016-09-12 02:41:12,"10","09","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",110,NA
"41","384.3B23A141E2","Observation","LMA - Lower Monumental Adult Ladders",2016-09-13 00:18:16,2016-09-13 00:18:27,"04","03","Right Ladder","Right Ladder",100,NA
"42","384.3B23A141E2","Observation","GOA - Little Goose Fish Ladder",2016-09-14 13:35:48,2016-09-14 13:35:51,"02","01","Counting Window","Counting Window",100,NA
"43","384.3B23A141E2","Observation","GRA - Lower Granite Dam Adult",2016-09-16 09:02:29,2016-09-16 15:19:57,"B4","A1","Ladder Entrance","Ladder Exit",150,NA
"44","384.3B23A14309","Observation","BO2-BO3-BO4",2016-09-13 10:30:13,2016-09-13 12:34:47,"BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"45","384.3B23A14309","Observation","The Dalles Adult Fishways (combined)",2016-09-16 10:37:09,2016-09-16 10:41:19,"02","01","Counting Window","Counting Window",100,NA
"46","384.3B23A14309","Observation","MC2 - McNary Washington Shore Ladder",2016-09-20 08:19:13,2016-09-20 09:02:20,"13","01","WEIR 302","COUNTING WINDOW",120,NA
"47","384.3B23A14309","Observation","LMA - Lower Monumental Adult Ladders",2016-09-24 07:50:53,2016-09-24 07:56:48,"04","03","Right Ladder","Right Ladder",100,NA
"48","384.3B23A14309","Observation","GOA - Little Goose Fish Ladder",2016-09-25 15:52:28,2016-09-25 15:52:30,"02","01","Counting Window","Counting Window",100,NA
"49","384.3B23A14309","Observation","GRA - Lower Granite Dam Adult",2016-09-27 13:35:47,2016-09-28 11:36:20,"B3","02","Ladder Entrance","WEIR 733",150,NA
"50","384.3B23A14DDE","Observation","BO1 - Bonneville Bradford Is. Ladder",2016-09-28 10:09:58,2016-09-29 06:24:34,"24","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"51","384.3B23A14DDE","Observation","The Dalles Adult Fishways (combined)",2016-10-01 09:56:51,2016-10-01 09:56:56,"02","01","Counting Window","Counting Window",100,NA
"52","384.3B23A14DDE","Observation","MC1 - McNary Oregon Shore Ladder",2016-10-06 05:58:39,2016-10-06 07:25:17,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"53","384.3B23A14DDE","Observation","LMA - Lower Monumental Adult Ladders",2016-10-10 19:17:53,2016-10-10 19:17:57,"02","01","Left Ladder","Left Ladder",100,NA
"54","384.3B23A14DDE","Observation","GOA - Little Goose Fish Ladder",2016-10-12 09:51:31,2016-10-12 09:51:33,"02","01","Counting Window","Counting Window",100,NA
"55","384.3B23A14DDE","Observation","GRA - Lower Granite Dam Adult",2016-10-14 15:51:19,2016-10-15 10:47:00,"B4","A1","Ladder Entrance","Ladder Exit",150,NA
