"","tag_code_2","natal_origin","rear_type"
"190","384.1B796A61E2",12,2
"191","384.1B796A624C",12,2
"192","384.1B796A6257",12,2
"193","384.1B796A6289",12,2
"194","384.1B796A62C7",12,2
"195","384.1B796A62D3",12,2
"196","384.1B796A6319",12,2
"197","384.1B796A6329",12,2
"198","384.1B796A6379",12,2
"199","384.1B796A63A6",12,2
"200","384.1B796A63C1",12,2
"201","384.1B796A63E1",12,2
"202","384.1B796A63F2",12,2
"203","384.1B796A6417",12,2
"204","384.1B796A641E",12,2
"205","384.1B796A6428",12,2
"206","384.1B796A642F",12,2
"207","384.1B796A6482",12,2
"208","384.1B796A64B5",12,2
"209","384.1B796A64DC",12,2
"210","384.1B796A652A",12,2
"211","384.1B796A6553",12,2
"212","384.1B796A65AE",12,2
"213","384.1B796A6618",12,2
"214","384.1B796A6619",12,2
"215","384.1B796A66AC",12,2
"216","384.1B796A6719",12,2
"217","384.1B796A6726",12,2
"218","384.1B796A6773",12,2
"219","384.1B796A6783",12,2
"220","384.1B796A678C",12,2
"221","384.1B796A6798",12,2
"222","384.1B796A67A2",12,2
"223","384.1B796A67A5",12,2
"224","384.1B796A67D4",12,2
"225","384.1B796A67EE",12,2
"226","384.1B796A6850",12,2
"227","384.1B796A686B",12,2
"228","384.1B796A68B0",12,2
"229","384.1B796A6931",12,2
"230","384.1B796A6941",12,2
"231","384.1B796A694A",12,2
"232","384.1B796A6971",12,2
"233","384.1B796A69BB",12,2
"234","384.1B796A69C2",12,2
"235","384.1B796A6A57",12,2
"236","384.1B796A6A91",12,2
"237","384.1B796A6B27",12,2
"238","384.1B796A6B5B",12,2
"239","384.1B796A6BBD",12,2
"240","384.1B796A6BD2",12,2
"241","384.1B796A6BF2",12,2
"242","384.1B796A6C15",12,2
"243","384.1B796A6C49",12,2
"244","384.1B796A6CAC",12,2
"245","384.1B796A6DF5",12,2
"246","384.1B796A6E4A",12,2
"247","384.1B796A6E88",12,2
"248","384.1B796A6E8A",12,2
"249","384.1B796A6F0A",12,2
"250","384.1B796A6F4D",12,2
"251","384.1B796A6F81",12,2
"252","384.1B796A6F97",12,2
"253","384.1B796A6FA2",12,2
"254","384.1B796A6FAC",12,2
"255","384.1B796A6FD0",12,2
"256","384.1B796A7003",12,2
"257","384.1B796A705C",12,2
"258","384.1B796A7097",12,2
"259","384.1B796A71EB",12,2
"260","384.1B796A71FF",12,2
"261","384.1B796A7202",12,2
"262","384.1B796A722D",12,2
"263","384.1B796A723A",12,2
"264","384.1B796A7297",12,2
"265","384.1B796A72A8",12,2
"266","384.1B796A7306",12,2
"267","384.1B796A7319",12,2
"268","384.1B796A732B",12,2
"269","384.1B796A7404",12,2
"270","384.1B796A7409",12,2
"271","384.1B796A7465",12,2
"272","384.1B796A74C9",12,2
"273","384.1B796A74CB",12,2
"274","384.1B796A74D1",12,2
"275","384.1B796A74DB",12,2
"276","384.1B796A7505",12,2
"277","384.1B796A75B4",12,2
"278","384.1B796A7696",12,2
"279","384.1B796A76E1",12,2
"280","384.1B796A76FF",12,2
"281","384.1B796A7700",12,2
"282","384.1B796A77C3",12,2
"283","384.1B796A783C",12,2
"284","384.1B796A78BB",12,2
"285","384.1B796A7901",12,2
"286","384.1B796A7904",12,2
"287","384.1B796A793A",12,2
"288","384.1B796A797A",12,2
"289","384.1B796A79A0",12,2
"290","384.1B796A79C2",12,2
"291","384.1B796A7A39",12,2
"292","384.1B796A7A62",12,2
"293","384.1B796A7A80",12,2
"294","384.1B796A7AD8",12,2
"295","384.1B796A7D4D",12,2
"296","384.1B796A7DA5",12,2
"297","384.1B796A7DBB",12,2
"298","384.1B796A7E72",12,2
"299","384.1B796A7F9D",12,2
"300","384.1B796A804B",12,2
"301","384.1B796A8089",12,2
"302","384.1B796A8099",12,2
"303","384.1B796A8332",12,2
"304","384.1B796A83D9",12,2
"305","384.1B796A8554",12,2
"306","384.1B796A85C3",12,2
"307","384.1B796A8913",12,2
"308","384.1B796A89B5",12,2
"309","384.1B796A8AE9",12,2
"310","384.1B796A8B02",12,2
"311","384.1B796A8E5B",12,2
"312","384.1B796A8EE1",12,2
"313","384.1B796A8F02",12,2
"314","384.1B796A8FC5",12,2
"315","384.1B796A9006",12,2
"316","384.1B796A9100",12,2
"317","384.1B796A9139",12,2
"318","384.1B796A922D",12,2
"319","384.1B796A9265",12,2
"320","384.1B796A92FA",12,2
"321","384.1B796A9424",12,2
"322","384.1B796A94E5",12,2
"323","384.1B796A9527",12,2
"324","384.1B796A9590",12,2
"325","384.1B796A95A9",12,2
"326","384.1B796A9659",12,2
"327","384.1B796A96AE",12,2
"328","384.1B796A96BA",12,2
"329","384.1B796A971C",12,2
"330","384.1B796A9738",12,2
"331","384.1B796B7FA3",12,2
"332","384.1B796D8947",12,2
"333","384.1B796D8A7A",12,2
"334","384.1B796D8C24",12,2
"335","384.1B796D8D03",12,2
"336","384.1B796D8E3B",12,2
"337","384.1B796D8E4F",12,2
"338","384.1B796D8ECD",12,2
"339","384.1B796D9023",12,2
"340","384.1B796D92C3",12,2
"341","384.1B796D9305",12,2
"342","384.1B796D932B",12,2
"343","384.1B796D9383",12,2
"344","384.1B796D938E",12,2
"345","384.1B796D9431",12,2
"346","384.1B796D9472",12,2
"347","384.1B796D94F9",12,2
"348","384.1B796D9546",12,2
"349","384.1B796D965D",12,2
"350","384.1B796D974C",12,2
"351","384.1B796D980A",12,2
"352","384.1B796D980B",12,2
"353","384.1B796D983B",12,2
"354","384.1B796D9888",12,2
"355","384.1B796D9920",12,2
"356","384.1B796D995B",12,2
"357","384.1B796D999A",12,2
"358","384.1B796D99D7",12,2
"359","384.1B796D99DE",12,2
"360","384.1B796D9A69",12,2
"361","384.1B796D9B3A",12,2
"362","384.1B796D9B7F",12,2
"363","384.1B796D9BA9",12,2
"364","384.1B796D9BDF",12,2
"365","384.1B796D9CB1",12,2
"366","384.1B796D9D1B",12,2
"367","384.1B796D9D1C",12,2
"368","384.1B796D9DC6",12,2
"369","384.1B796DDC87",12,2
"370","384.1B796EECE9",12,2
"371","384.1B796EF13A",12,2
"372","384.1B796EF18D",12,2
"373","384.1B796EF371",12,2
"374","384.1B796EF487",12,2
"375","384.1B796EF4FF",12,2
"376","384.1B796EF5C5",12,2
"377","384.1B796EF61E",12,2
"378","384.1B796EF628",12,2
"379","384.1B796EF7B3",12,2
"380","384.1B796EF845",12,2
"381","384.1B796EF99C",12,2
"382","384.1B796EFAF8",12,2
"383","384.1B796EFB1E",12,2
"384","384.1B796EFB7D",12,2
"385","384.1B796EFC3A",12,2
"386","384.1B796EFD3A",12,2
"387","384.1B796EFD8E",12,2
"388","384.1B79725BC4",9,1
"389","384.1B7972997B",9,1
"390","384.1B7972A49E",9,1
"391","384.1B79731308",9,1
"392","384.1B79743F99",9,1
"393","384.1B79748280",9,1
"394","384.1B79748576",9,1
"395","384.1B797487E5",9,1
"396","384.1B79759CC6",9,1
"397","384.1B7975A27F",9,1
"398","384.36F2B32321",2,1
"399","384.36F2B32373",2,1
"400","384.36F2B32437",2,1
"401","384.36F2B32565",2,1
"402","384.36F2B32A33",10,1
"403","384.36F2B32C9A",10,1
"404","384.36F2B34A71",10,2
"405","384.36F2B34B1A",10,2
"406","384.36F2B34C4A",10,2
"407","384.36F2B34C5D",10,2
"408","384.36F2B34D48",10,2
"409","384.36F2B34EB9",10,2
"410","384.36F2B34FEC",10,2
"411","384.36F2B34FF8",10,2
"412","384.36F2B35051",10,2
"413","384.36F2B35088",10,2
"414","384.36F2B35105",10,2
"415","384.36F2B351EC",10,2
"416","384.36F2B35214",10,2
"417","384.36F2B35218",10,2
"418","384.36F2B352A9",10,2
"419","384.36F2B352D8",10,2
"420","384.36F2B3535E",10,2
"421","384.36F2B3542A",10,2
"422","384.36F2B35504",10,2
"423","384.36F2B35572",10,2
"424","384.36F2B35588",10,2
"425","384.36F2B357BC",10,2
"426","384.36F2B357D4",10,2
"427","384.36F2B3584A",10,2
"428","384.36F2B35908",10,2
"429","384.36F2B35910",10,2
"430","384.36F2B35A3B",10,2
"431","384.36F2B35A58",10,2
