day,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,,25.983,37.275,31.513,42.825,39.142,18.967,51.854,24.854,44.175,34.775,17.788,75.492,36.604,45.333,69.647,64.771,27.021,30.246,26.779,23.604,19.804,32.213,17.596,19.854,19.663,18.913,56.592,189.138,25.146,57.629,21.133,16.850,18.904,13.713,17.813,22.683,64.288,31.121,21.813,19.054,23.338,24.458,31.013,20.567,17.563,27.429,22.658,20.275,49.292,20.496,17.613,24.942,25.646,29.772
2,,27.325,36.400,32.417,44.767,54.158,34.717,51.492,18.725,47.608,33.008,23.363,72.579,39.513,43.196,55.217,43.450,23.538,36.768,28.471,29.025,21.000,30.079,17.238,15.929,16.425,14.296,60.921,237.192,26.913,55.108,21.671,40.446,20.304,15.558,16.708,22.771,77.075,28.781,25.975,24.633,16.250,28.833,30.771,32.383,18.246,29.675,24.908,17.892,44.413,24.179,24.888,26.488,18.171,48.900
3,,25.000,35.304,39.954,40.829,45.542,33.913,51.683,28.142,42.554,42.292,26.779,78.031,39.738,52.304,63.267,42.829,29.263,38.732,19.054,26.733,22.225,33.490,24.763,16.692,18.346,18.600,61.208,210.521,28.171,41.467,26.604,13.596,20.921,21.183,21.004,26.521,62.546,29.600,19.175,32.396,20.179,36.888,35.425,28.650,21.200,25.188,25.592,21.925,40.992,22.196,23.446,23.554,18.846,17.081
4,,28.283,32.392,46.300,44.967,49.167,25.479,53.475,40.896,46.200,43.142,33.979,63.679,48.279,49.675,58.460,37.654,37.588,23.879,26.533,16.013,22.108,28.092,27.725,20.346,19.008,19.092,67.196,183.246,27.167,40.308,30.204,13.979,27.163,19.929,19.654,18.621,56.292,33.875,22.971,21.550,23.304,37.204,36.204,22.383,22.458,24.908,22.683,22.654,35.550,22.546,24.875,30.075,24.813,19.350
5,,30.146,36.821,35.013,42.854,42.354,34.696,56.314,38.100,42.488,37.885,26.629,57.321,42.606,48.004,63.163,50.983,28.533,33.025,33.288,21.692,22.588,32.104,18.579,20.913,21.875,19.063,58.744,154.350,24.671,38.171,29.363,15.575,25.242,17.733,26.033,22.604,39.279,39.442,19.375,24.096,27.075,27.025,26.042,24.854,14.683,21.863,24.829,26.121,36.788,21.550,22.846,33.350,23.229,19.489
6,,24.017,46.000,38.446,33.921,43.155,30.183,54.904,39.329,47.113,29.458,14.083,58.208,57.564,58.300,57.934,33.408,30.021,39.200,24.650,23.717,22.892,25.646,17.383,20.567,27.992,15.817,47.100,108.858,29.554,45.213,35.604,13.438,29.883,22.888,32.308,25.421,44.046,34.513,29.196,24.458,31.775,17.217,26.704,13.517,20.846,34.363,27.117,25.646,36.846,19.417,23.721,30.492,18.029,24.411
7,,29.954,30.767,33.825,28.688,52.183,36.505,52.771,40.033,46.921,28.894,22.900,56.567,45.473,71.446,56.550,33.738,30.779,43.158,30.304,27.071,21.908,38.453,22.129,18.508,21.396,16.313,56.329,75.975,31.871,42.983,32.167,14.238,24.908,20.213,27.421,33.354,44.246,40.808,21.746,25.942,36.092,26.588,22.767,21.742,27.025,38.138,25.746,22.925,35.175,23.858,19.321,29.900,24.896,29.972
8,,29.017,38.129,38.163,42.838,41.446,36.117,48.038,33.192,39.225,53.842,33.567,66.023,45.904,71.138,63.233,51.263,29.600,38.117,28.833,21.958,22.696,29.742,24.188,14.100,24.683,21.000,60.417,80.800,34.383,52.721,30.146,20.071,33.383,18.863,22.321,16.100,28.208,26.975,27.725,46.608,30.954,31.442,22.796,31.867,20.221,41.221,26.083,22.629,37.992,24.150,20.229,27.213,32.347,27.678
9,,20.704,29.996,32.575,36.927,50.317,38.546,51.938,22.042,54.104,37.117,41.675,58.439,36.846,87.633,69.315,52.483,30.842,27.829,27.821,38.063,26.646,28.858,23.363,16.179,22.529,22.275,46.817,87.083,33.146,49.288,42.025,11.908,38.892,19.663,23.383,9.850,33.517,47.017,25.708,69.917,29.521,25.113,27.325,27.775,19.417,35.988,25.742,20.608,42.150,23.196,21.758,25.458,26.650,26.817
10,,25.458,31.350,36.733,35.669,43.983,38.092,49.838,23.721,47.058,50.445,45.217,78.289,34.779,88.158,64.983,51.968,34.900,22.763,17.896,30.646,35.671,27.950,29.512,15.604,25.271,21.850,51.583,93.829,33.154,49.979,31.396,19.038,43.354,19.704,17.583,23.742,41.404,29.158,26.008,50.896,28.721,31.642,24.808,23.738,15.354,32.779,26.029,26.058,46.188,23.638,21.804,25.638,24.150,25.989
