day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20,79.4040,182.6420,146.8380,109.4790,137.3000,149.1330,80.9170,62.2000,99.9130,83.9960,79.5000,115.7000,114.5000,79.5000,130.1580,74.6290,119.7542,103.5000,139.7375,112.1667,136.7830,33.2000,107.4000,135.9000,68.2417,119.3708,120.6542,138.8792
21,81.9040,163.6830,144.4420,114.9080,131.3000,135.2420,91.3750,109.5170,103.6620,101.2830,79.0000,101.0000,113.1000,124.2000,131.2460,71.0920,136.3583,74.9000,149.2125,98.9750,125.7670,24.1000,100.2000,112.5000,107.2292,116.9458,128.4167,119.7125
22,77.0500,183.6040,143.8080,103.2000,136.5000,108.7750,85.0670,105.3540,94.9500,117.4040,62.2000,74.8000,123.1000,125.0000,116.6580,73.9000,130.8375,78.6000,146.2417,99.6417,133.0000,71.3000,120.4000,117.3000,86.0000,118.0500,123.3208,141.3083
23,104.3670,187.9920,148.2170,98.4540,102.7000,133.5710,88.6670,105.1960,68.2630,90.8290,58.4000,107.7000,119.2000,123.5000,120.9290,45.3790,119.1292,101.1000,145.9458,97.4875,126.6080,32.5000,125.7000,125.9000,73.4292,119.9375,128.8458,149.2958
24,107.6380,177.3500,158.2580,89.7000,99.8000,169.1290,93.0540,91.0290,73.4080,74.6250,98.6000,111.0000,126.0000,119.6000,100.4420,59.7960,131.2625,102.9000,138.5478,89.3708,118.8370,44.9000,99.1000,129.8000,84.2333,109.3958,131.0375,143.4208
25,98.5460,175.6540,165.8630,61.3790,142.9000,159.9920,99.9210,106.6040,56.7630,76.8580,103.3000,117.8000,138.3000,120.0000,109.1710,83.6290,143.2375,85.4000,130.4333,74.8417,122.3000,72.0000,101.0000,116.2000,67.4583,119.5708,125.3208,160.0500
26,91.3710,182.8040,147.8120,111.4620,152.7000,154.4170,96.0960,78.2420,35.8670,106.8080,94.7000,111.4000,130.1000,93.2000,143.9580,92.8630,165.0125,87.3000,116.4958,77.1250,126.8830,104.5000,91.4000,124.0000,70.5042,92.3583,131.7083,138.4750
27,100.5080,172.7710,161.9000,109.3920,153.6000,157.2750,75.8960,68.2080,64.2000,97.3710,94.3000,107.7000,136.7000,83.8000,128.9120,84.9420,164.5833,111.1000,81.6792,110.3208,123.2000,97.1000,80.7000,135.3000,67.8958,117.7042,138.0625,149.3333
28,94.2540,145.1960,152.2500,104.9670,142.2000,150.8500,67.6540,110.8830,69.0960,94.1920,102.8000,107.6000,120.8000,86.4000,108.5080,76.3380,151.7292,86.5000,102.7167,106.8917,135.5250,94.0000,88.1000,122.5000,106.7958,117.8292,144.4833,148.5875
29,64.6040,178.5130,164.6420,107.4710,146.4000,148.5500,90.2210,116.8880,74.5420,91.0540,84.6000,91.5000,147.5000,97.8000,114.0540,75.2790,149.7000,38.3000,113.8833,92.5667,142.6040,106.1000,82.7000,115.0000,113.2333,107.5667,131.9167,145.7667
