"date","temp","source","tailrace_temp","forebay_temp"
2005-06-01,14.936,"tailrace",14.936,14.836
2005-06-02,14.911,"tailrace",14.911,14.784
2005-06-03,14.77,"tailrace",14.77,14.66
2005-06-04,14.818,"tailrace",14.818,14.739
2005-06-05,14.976,"tailrace",14.976,14.963
2005-06-06,15.151,"tailrace",15.151,15.078
2005-06-07,15.153,"tailrace",15.153,15.058
2005-06-08,15.256,"tailrace",15.256,15.039
2005-06-09,15.587,"tailrace",15.587,15.514
2005-06-10,15.885,"tailrace",15.885,15.758
2005-06-11,15.977,"tailrace",15.977,15.864
2005-06-12,15.808,"tailrace",15.808,15.615
2005-06-13,15.928,"tailrace",15.928,15.765
2005-06-14,16.049,"tailrace",16.049,15.867
2005-06-15,15.922,"tailrace",15.922,15.698
2005-06-16,15.921,"tailrace",15.921,15.785
2005-06-17,15.723,"tailrace",15.723,15.554
2005-06-18,15.874,"tailrace",15.874,15.749
2005-06-19,16.066,"tailrace",16.066,15.848
2005-06-20,16.449,"tailrace",16.449,16.404
2005-06-21,16.782,"tailrace",16.782,16.677
2005-06-22,17.178,"tailrace",17.178,17.133
2005-06-23,17.358,"tailrace",17.358,17.146
2005-06-24,17.367,"tailrace",17.367,17.155
2005-06-25,17.277,"tailrace",17.277,17.135
2005-06-26,17.32,"tailrace",17.32,17.205
2005-06-27,17.439,"tailrace",17.439,17.399
2005-06-28,17.385,"tailrace",17.385,17.258
2005-06-29,17.375,"tailrace",17.375,17.218
2005-06-30,17.536,"tailrace",17.536,17.31
2005-07-01,17.862,"tailrace",17.862,17.735
2005-07-02,18.16,"tailrace",18.16,18.043
2005-07-03,18.299,"tailrace",18.299,18.122
2005-07-04,18.387,"tailrace",18.387,18.083
2005-07-05,18.424,"tailrace",18.424,18.225
2005-07-06,18.472,"tailrace",18.472,18.3
2005-07-07,18.82,"tailrace",18.82,18.669
2005-07-08,19.036,"tailrace",19.036,18.924
2005-07-09,19.281,"tailrace",19.281,19.128
2005-07-10,19.208,"tailrace",19.208,19.03
2005-07-11,19.07,"tailrace",19.07,18.867
2005-07-12,19.157,"tailrace",19.157,19.01
2005-07-13,19.574,"tailrace",19.574,19.438
2005-07-14,19.66,"tailrace",19.66,19.378
2005-07-15,19.377,"tailrace",19.377,19.218
2005-07-16,19.482,"tailrace",19.482,19.368
2005-07-17,19.62,"tailrace",19.62,19.458
2005-07-18,19.694,"tailrace",19.694,19.585
