"","from","to","mean","q5","q95","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.00990369385,0.007947636,0.0116733,"Wenatchee_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.00742686765,0.003751959,0.011398395,"Entiat_River"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.01084586105,0.0075863065,0.014679555,"Okanogan_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.0094159086,0.0075782905,0.011747515,"Methow_River"
"5","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.980138275,0.97652575,0.9840875,"Wenatchee_River"
"6","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.98514511,0.9777807,0.9924294,"Entiat_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.97829605,0.97157795,0.9842608,"Okanogan_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.981150185,0.9779236,0.9839361,"Methow_River"
"9","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.000664138195,0.00030645285,0.0011579555,"Wenatchee_River"
"10","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.00048315749,0.0002126089,0.00095979775,"Entiat_River"
"11","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.00071576625,0.0003197324,0.0012316115,"Okanogan_River"
"12","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.00062496494,0.0002965422,0.0011609645,"Methow_River"
"13","mainstem, MCN to ICH or PRA","Yakima River",1.54623362237816e-05,1.08364505e-11,0.00011476025,"Wenatchee_River"
"14","mainstem, MCN to ICH or PRA","Yakima River",1.08446480193263e-05,4.45433e-12,7.60150149999995e-05,"Entiat_River"
"15","mainstem, MCN to ICH or PRA","Yakima River",1.62371787159172e-05,1.05267455e-11,0.00011338605,"Okanogan_River"
"16","mainstem, MCN to ICH or PRA","Yakima River",1.42442773146782e-05,1.2182028e-11,0.0001155553,"Methow_River"
"17","mainstem, MCN to ICH or PRA","Walla Walla River",1.13756615356691e-05,3.1632095e-12,5.28047749999999e-05,"Wenatchee_River"
"18","mainstem, MCN to ICH or PRA","Walla Walla River",9.18010225689097e-06,2.93845e-12,4.8493145e-05,"Entiat_River"
"19","mainstem, MCN to ICH or PRA","Walla Walla River",1.26864597017947e-05,3.4780435e-12,6.11285149999998e-05,"Okanogan_River"
"20","mainstem, MCN to ICH or PRA","Walla Walla River",1.06132011721504e-05,3.0611925e-12,5.4148795e-05,"Methow_River"
"21","mainstem, MCN to ICH or PRA","loss",0.00926706115,0.0072621215,0.011350065,"Wenatchee_River"
"22","mainstem, MCN to ICH or PRA","loss",0.0069248379,0.003567622,0.010648125,"Entiat_River"
"23","mainstem, MCN to ICH or PRA","loss",0.0101134066,0.007017127,0.01328864,"Okanogan_River"
"24","mainstem, MCN to ICH or PRA","loss",0.00878410335,0.0071395825,0.010478855,"Methow_River"
"25","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.0146502455,0.011626565,0.01790556,"Wenatchee_River"
"26","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.0200866033,0.009964555,0.03284395,"Entiat_River"
"27","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.01633153175,0.01068599,0.02326247,"Okanogan_River"
"28","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA",0.01168031165,0.0098077035,0.01378308,"Methow_River"
"29","mainstem, PRA to RIS","mainstem, RIS to RRE",0.950641,0.9444615,0.9571031,"Wenatchee_River"
"30","mainstem, PRA to RIS","mainstem, RIS to RRE",0.965647725,0.95013185,0.97861255,"Entiat_River"
"31","mainstem, PRA to RIS","mainstem, RIS to RRE",0.969257525,0.9599881,0.97697795,"Okanogan_River"
"32","mainstem, PRA to RIS","mainstem, RIS to RRE",0.96270064,0.95900025,0.9663454,"Methow_River"
"33","mainstem, PRA to RIS","loss",0.034708753,0.02972571,0.03998539,"Wenatchee_River"
"34","mainstem, PRA to RIS","loss",0.0142656702,0.006253385,0.02383908,"Entiat_River"
"35","mainstem, PRA to RIS","loss",0.01441096725,0.009099774,0.021683625,"Okanogan_River"
"36","mainstem, PRA to RIS","loss",0.0256190675,0.022704865,0.0290282,"Methow_River"
"37","mainstem, RIS to RRE","mainstem, PRA to RIS",0.01290438785,0.01044559,0.01612855,"Wenatchee_River"
"38","mainstem, RIS to RRE","mainstem, PRA to RIS",0.0094568561,0.0035927825,0.01776262,"Entiat_River"
"39","mainstem, RIS to RRE","mainstem, PRA to RIS",0.004419359785,0.001409375,0.008021438,"Okanogan_River"
"40","mainstem, RIS to RRE","mainstem, PRA to RIS",0.0103214608,0.0081003305,0.012361995,"Methow_River"
"41","mainstem, RIS to RRE","mainstem, RRE to WEL",0.582993815,0.56977975,0.5964383,"Wenatchee_River"
