"","from","to","mean","q5","q95","origin"
"50","mainstem, BON to MCN","Umatilla River",0.001829223216,0.000126218035,0.004718718,"Fifteenmile_Creek"
"51","mainstem, BON to MCN","Umatilla River",0.017904158,0.014198385,0.021607655,"John_Day_River"
"52","mainstem, BON to MCN","Umatilla River",0.30714064,0.29364935,0.32138385,"Umatilla_River"
"53","mainstem, BON to MCN","Umatilla River",0.00012242728553283,2.1247875e-12,0.00063419875,"Yakima_River"
"54","mainstem, BON to MCN","Umatilla River",1.29596211441234e-05,2.18951e-23,9.015973e-05,"Walla_Walla_River"
"55","mainstem, BON to MCN","BON to MCN other tributaries",0.00084655636875,5.999823e-05,0.002477268,"Deschutes_River"
"56","mainstem, BON to MCN","BON to MCN other tributaries",0.025769361,0.01658168,0.03683589,"Fifteenmile_Creek"
"57","mainstem, BON to MCN","BON to MCN other tributaries",0.00121896942,0.0005019348,0.002140196,"John_Day_River"
"58","mainstem, BON to MCN","BON to MCN other tributaries",0.003049401805,0.0015151565,0.0053251865,"Umatilla_River"
"59","mainstem, BON to MCN","BON to MCN other tributaries",0.0013901739105,7.9430955e-05,0.0038903635,"Yakima_River"
"60","mainstem, BON to MCN","BON to MCN other tributaries",0.000308763424,1.91374e-05,0.0009430633,"Walla_Walla_River"
"61","mainstem, BON to MCN","loss",0.60654434,0.5822095,0.62926975,"Deschutes_River"
"62","mainstem, BON to MCN","loss",0.51098946,0.47716605,0.5409048,"Fifteenmile_Creek"
"63","mainstem, BON to MCN","loss",0.228257325,0.2186455,0.23838555,"John_Day_River"
"64","mainstem, BON to MCN","loss",0.27904984,0.26502515,0.2945015,"Umatilla_River"
"65","mainstem, BON to MCN","loss",0.17272577,0.1489611,0.1940438,"Yakima_River"
"66","mainstem, BON to MCN","loss",0.175652415,0.16468955,0.18776965,"Walla_Walla_River"
"67","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.3940975375,0.1452922,0.6708641,"Deschutes_River"
