"","from","to","mean","q5","q95","origin"
"48","mainstem, ICH to LGR","mainstem, upstream of LGR",0.911774675,0.9046643,0.918945,"Imnaha_River"
"49","mainstem, ICH to LGR","Tucannon River",0.289170495,0.2779004,0.3014696,"Tucannon_River"
"50","mainstem, ICH to LGR","Tucannon River",0.01807689155,0.009305727,0.03000981,"Asotin_Creek"
"51","mainstem, ICH to LGR","Tucannon River",0.001422164975,0.00074945145,0.002226349,"Clearwater_River"
"52","mainstem, ICH to LGR","Tucannon River",0.00226868525,0.0015448355,0.003136402,"Salmon_River"
"53","mainstem, ICH to LGR","Tucannon River",0.002534347985,0.0015005195,0.0037843795,"Grande_Ronde"
"54","mainstem, ICH to LGR","Tucannon River",0.00163426187,0.0007546291,0.0028274235,"Imnaha_River"
"55","mainstem, ICH to LGR","loss",0.1087043425,0.100074575,0.1184153,"Tucannon_River"
"56","mainstem, ICH to LGR","loss",0.047820452,0.03339382,0.066351765,"Asotin_Creek"
"57","mainstem, ICH to LGR","loss",0.034385711,0.03047435,0.03893325,"Clearwater_River"
"58","mainstem, ICH to LGR","loss",0.0377139405,0.03457245,0.04089052,"Salmon_River"
"59","mainstem, ICH to LGR","loss",0.041924605,0.037732755,0.04608724,"Grande_Ronde"
"60","mainstem, ICH to LGR","loss",0.048881438,0.043400005,0.054698495,"Imnaha_River"
"61","mainstem, upstream of LGR","mainstem, ICH to LGR",0.41332258,0.39519625,0.43284045,"Tucannon_River"
"62","mainstem, upstream of LGR","mainstem, ICH to LGR",0.0462958665,0.027569205,0.064230755,"Asotin_Creek"
"63","mainstem, upstream of LGR","mainstem, ICH to LGR",0.0180578075,0.015328535,0.02096276,"Clearwater_River"
"64","mainstem, upstream of LGR","mainstem, ICH to LGR",0.0201530485,0.017462305,0.022458405,"Salmon_River"
"65","mainstem, upstream of LGR","mainstem, ICH to LGR",0.0185685415,0.01572495,0.021353085,"Grande_Ronde"
"66","mainstem, upstream of LGR","mainstem, ICH to LGR",0.025744465,0.022196725,0.029421165,"Imnaha_River"
"67","mainstem, upstream of LGR","Asotin Creek",0.0331256815,0.026236505,0.040696825,"Tucannon_River"
"68","mainstem, upstream of LGR","Asotin Creek",0.688833975,0.64418365,0.7265795,"Asotin_Creek"
"69","mainstem, upstream of LGR","Asotin Creek",1.92062101579197e-05,5.678118e-13,8.949371e-05,"Clearwater_River"
"70","mainstem, upstream of LGR","Asotin Creek",8.62762711377318e-06,1.900257e-12,5.09272549999999e-05,"Salmon_River"
"71","mainstem, upstream of LGR","Asotin Creek",0.002217514645,0.001203988,0.003391777,"Grande_Ronde"
"72","mainstem, upstream of LGR","Asotin Creek",8.32176994279227e-06,1.5563705e-26,5.3681895e-05,"Imnaha_River"
"73","mainstem, upstream of LGR","Clearwater River",0.023969848,0.019166545,0.02943225,"Tucannon_River"
"74","mainstem, upstream of LGR","Clearwater River",0.000138585708407938,2.3762505e-13,0.0006547506,"Asotin_Creek"
"75","mainstem, upstream of LGR","Clearwater River",0.30325669,0.29367425,0.31272165,"Clearwater_River"
"76","mainstem, upstream of LGR","Clearwater River",1.10506949324913e-05,1.800344e-13,7.809543e-05,"Salmon_River"
"77","mainstem, upstream of LGR","Clearwater River",2.41391232625202e-05,4.1973375e-10,0.0001617186,"Grande_Ronde"
"78","mainstem, upstream of LGR","Clearwater River",1.85273137040427e-05,2.5133535e-22,9.48768099999996e-05,"Imnaha_River"
"79","mainstem, upstream of LGR","Salmon River",0.001527186575,0.00040835255,0.0032590615,"Tucannon_River"
"80","mainstem, upstream of LGR","Salmon River",0.000140851811787551,4.0893155e-15,0.000370035299999999,"Asotin_Creek"
"81","mainstem, upstream of LGR","Salmon River",1.28724694649006e-05,4.9985935e-14,8.12156549999999e-05,"Clearwater_River"
"82","mainstem, upstream of LGR","Salmon River",0.278917965,0.2703942,0.28611855,"Salmon_River"
"83","mainstem, upstream of LGR","Salmon River",1.85102473743217e-05,3.0347835e-12,0.0001138391,"Grande_Ronde"
"84","mainstem, upstream of LGR","Salmon River",1.48387925719211e-05,3.49325e-18,0.0001104426,"Imnaha_River"
"85","mainstem, upstream of LGR","Grande Ronde River",0.0066047266,0.003868586,0.0099240245,"Tucannon_River"
"86","mainstem, upstream of LGR","Grande Ronde River",0.0195398912,0.010014775,0.03223619,"Asotin_Creek"
"87","mainstem, upstream of LGR","Grande Ronde River",1.73101194806547e-05,1.607984e-13,0.0001018488,"Clearwater_River"
"88","mainstem, upstream of LGR","Grande Ronde River",1.10362951628821e-05,8.441808e-13,5.82150249999998e-05,"Salmon_River"
"89","mainstem, upstream of LGR","Grande Ronde River",0.08433263,0.07732722,0.09151658,"Grande_Ronde"
"90","mainstem, upstream of LGR","Grande Ronde River",1.01139554705996e-05,5.18882800000001e-23,3.175945e-05,"Imnaha_River"
"91","mainstem, upstream of LGR","Imnaha River",0.0015751996715,0.00036651805,0.003240721,"Tucannon_River"
"92","mainstem, upstream of LGR","Imnaha River",0.000168039367636266,4.377196e-12,0.001028528,"Asotin_Creek"
"93","mainstem, upstream of LGR","Imnaha River",2.00898870087526e-05,4.143724e-13,8.54953599999995e-05,"Clearwater_River"
"94","mainstem, upstream of LGR","Imnaha River",0.00011877871785,7.369617e-06,0.0003288239,"Salmon_River"
"95","mainstem, upstream of LGR","Imnaha River",0.00081271189,0.0002866413,0.0015344005,"Grande_Ronde"
"96","mainstem, upstream of LGR","Imnaha River",0.462679225,0.4479511,0.477108,"Imnaha_River"
"97","mainstem, upstream of LGR","loss",0.51987477,0.500498,0.5369105,"Tucannon_River"
"98","mainstem, upstream of LGR","loss",0.244882735,0.21103705,0.2878088,"Asotin_Creek"
"99","mainstem, upstream of LGR","loss",0.678615975,0.66846845,0.6882778,"Clearwater_River"
"100","mainstem, upstream of LGR","loss",0.700779495,0.693288,0.7093681,"Salmon_River"
"101","mainstem, upstream of LGR","loss",0.894025935,0.88669675,0.901465,"Grande_Ronde"
"102","mainstem, upstream of LGR","loss",0.51152447,0.49667175,0.52637995,"Imnaha_River"
"103","Tucannon River","mainstem, ICH to LGR",0.0258375815,0.017834605,0.033052385,"Tucannon_River"
"104","Tucannon River","mainstem, ICH to LGR",0.2357735775,0.0526084,0.48814115,"Asotin_Creek"
"105","Tucannon River","mainstem, ICH to LGR",0.1666573201,0.028623285,0.40238475,"Clearwater_River"
"106","Tucannon River","mainstem, ICH to LGR",0.358364525,0.19451425,0.51838735,"Salmon_River"
"107","Tucannon River","mainstem, ICH to LGR",0.1419178953,0.02592813,0.30902535,"Grande_Ronde"
"108","Tucannon River","mainstem, ICH to LGR",0.492683383,0.17752545,0.78897065,"Imnaha_River"
"109","Tucannon River","loss",0.97416243,0.9669477,0.9821654,"Tucannon_River"
"110","Tucannon River","loss",0.76422643,0.51185885,0.947392,"Asotin_Creek"
"111","Tucannon River","loss",0.833342675,0.59761525,0.9713766,"Clearwater_River"
"112","Tucannon River","loss",0.641635475,0.48161265,0.80548575,"Salmon_River"
"113","Tucannon River","loss",0.858082115,0.69097465,0.97407185,"Grande_Ronde"
"114","Tucannon River","loss",0.5073166225,0.21102935,0.82247455,"Imnaha_River"
"115","Asotin Creek","mainstem, upstream of LGR",0.093541423,0.04453589,0.14991735,"Tucannon_River"
"116","Asotin Creek","mainstem, upstream of LGR",0.003398003948,0.0002521217,0.0092930145,"Asotin_Creek"
"117","Asotin Creek","mainstem, upstream of LGR",0.346719347033851,1.689148e-10,1,"Clearwater_River"
"118","Asotin Creek","mainstem, upstream of LGR",0.291788930805444,2.5092195e-11,0.99999135,"Salmon_River"
"119","Asotin Creek","mainstem, upstream of LGR",0.00605451638105111,4.072484e-10,0.0373439599999998,"Grande_Ronde"
"120","Asotin Creek","mainstem, upstream of LGR",0.468345534448059,1.25581125e-17,1,"Imnaha_River"
"121","Asotin Creek","loss",0.90645858,0.85008265,0.9554643,"Tucannon_River"
"122","Asotin Creek","loss",0.996602,0.99070745,0.9997481,"Asotin_Creek"
"123","Asotin Creek","loss",0.653280662844742,7.507981e-08,1,"Clearwater_River"
"124","Asotin Creek","loss",0.708211078503427,9.10242800000001e-06,1,"Salmon_River"
"125","Asotin Creek","loss",0.99394552,0.9626564,1,"Grande_Ronde"
"126","Asotin Creek","loss",0.531654474849967,4.2743565e-16,1,"Imnaha_River"
"127","Clearwater River","mainstem, upstream of LGR",0.00175852891130091,2.8266855e-12,0.010192875,"Tucannon_River"
"128","Clearwater River","mainstem, upstream of LGR",0.286858093036306,3.549217e-12,1,"Asotin_Creek"
"129","Clearwater River","mainstem, upstream of LGR",0.003302115535,0.0011087555,0.00612395949999999,"Clearwater_River"
"130","Clearwater River","mainstem, upstream of LGR",0.245240274056672,3.9076455e-11,0.99998255,"Salmon_River"
"131","Clearwater River","mainstem, upstream of LGR",0.292526117789007,1.30729985e-11,0.999999,"Grande_Ronde"
"132","Clearwater River","mainstem, upstream of LGR",0.513097334903226,1.74223572e-17,1,"Imnaha_River"
"133","Clearwater River","loss",0.99824148,0.9898071,1,"Tucannon_River"
"134","Clearwater River","loss",0.71314191841546,3.1062915e-07,1,"Asotin_Creek"
"135","Clearwater River","loss",0.996697895,0.9938765,0.99889095,"Clearwater_River"
"136","Clearwater River","loss",0.754759724548582,1.70659955e-05,1,"Salmon_River"
"137","Clearwater River","loss",0.707473883164703,1.375912e-06,1,"Grande_Ronde"
"138","Clearwater River","loss",0.486902654755825,1.11022e-16,1,"Imnaha_River"
"139","Salmon River","mainstem, upstream of LGR",0.0199498270893595,1.926672e-11,0.0849908099999999,"Tucannon_River"
"140","Salmon River","mainstem, upstream of LGR",0.28667307451316,3.8765095e-12,0.9999941,"Asotin_Creek"
"141","Salmon River","mainstem, upstream of LGR",0.341784557664237,1.3892135e-11,0.999994,"Clearwater_River"
"142","Salmon River","mainstem, upstream of LGR",0.00119651267,0.00046569475,0.002448167,"Salmon_River"
"143","Salmon River","mainstem, upstream of LGR",0.359822620975735,5.084342e-11,1,"Grande_Ronde"
"144","Salmon River","mainstem, upstream of LGR",0.583887494902067,6.911342e-17,1,"Imnaha_River"
"145","Salmon River","loss",0.98005022,0.9150091,1,"Tucannon_River"
"146","Salmon River","loss",0.713326934363217,6.192608e-06,1,"Asotin_Creek"
"147","Salmon River","loss",0.658215445132873,6.122328e-06,1,"Clearwater_River"
"148","Salmon River","loss",0.99880353,0.9975521,0.9995345,"Salmon_River"
"149","Salmon River","loss",0.640177402707778,3.625628e-08,1,"Grande_Ronde"
"150","Salmon River","loss",0.416112530019069,7.660538e-16,1,"Imnaha_River"
"151","Grande Ronde River","mainstem, upstream of LGR",0.00112912199127205,7.9730805e-15,0.0055764365,"Tucannon_River"
"152","Grande Ronde River","mainstem, upstream of LGR",0.00723901087534128,5.635243e-15,0.0438204349999999,"Asotin_Creek"
"153","Grande Ronde River","mainstem, upstream of LGR",0.158036394297176,1.0534895e-13,0.9998915,"Clearwater_River"
"154","Grande Ronde River","mainstem, upstream of LGR",0.130796470315418,2.254089e-14,0.99842705,"Salmon_River"
"155","Grande Ronde River","mainstem, upstream of LGR",0.000115085405771401,7.19818400000001e-15,0.0005093317,"Grande_Ronde"
"156","Grande Ronde River","mainstem, upstream of LGR",0.491391144892686,1.67253945e-18,1,"Imnaha_River"
"157","Grande Ronde River","loss",0.9988709,0.9944235,1,"Tucannon_River"
"158","Grande Ronde River","loss",0.99276103,0.95618005,1,"Asotin_Creek"
"159","Grande Ronde River","loss",0.841963620782595,0.0001082653,1,"Clearwater_River"
"160","Grande Ronde River","loss",0.86920355689902,0.0015733516,1,"Salmon_River"
"161","Grande Ronde River","loss",0.99988493,0.9994907,1,"Grande_Ronde"
"162","Grande Ronde River","loss",0.508608884988213,0,1,"Imnaha_River"
"163","Imnaha River","mainstem, upstream of LGR",0.0202915286909894,6.648583e-13,0.11878685,"Tucannon_River"
"164","Imnaha River","mainstem, upstream of LGR",0.382845885810551,9.421352e-12,1,"Asotin_Creek"
"165","Imnaha River","mainstem, upstream of LGR",0.390346329708874,5.620316e-11,1,"Clearwater_River"
"166","Imnaha River","mainstem, upstream of LGR",0.8815287365,0.3512632,1,"Salmon_River"
"167","Imnaha River","mainstem, upstream of LGR",0.0219817688534914,4.858623e-12,0.1131728,"Grande_Ronde"
"168","Imnaha River","mainstem, upstream of LGR",0.00059974947905,2.185805e-05,0.001903746,"Imnaha_River"
"169","Imnaha River","loss",0.97970848,0.88121315,1,"Tucannon_River"
"170","Imnaha River","loss",0.617154135320333,1.17907625e-07,1,"Asotin_Creek"
"171","Imnaha River","loss",0.609653702266159,1.2804385e-07,1,"Clearwater_River"
"172","Imnaha River","loss",0.118471255207707,3.5489105e-08,0.6487368,"Salmon_River"
"173","Imnaha River","loss",0.97801823,0.8868272,1,"Grande_Ronde"
"174","Imnaha River","loss",0.99940027,0.99809665,0.999978,"Imnaha_River"
