"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Date Time Value","Event Site Basin Name","Event Site Code Value","Event Site Subbasin Code","Event Site Subbasin Name","Event Site Info Name","Event Site Info Code","CTH Count"
"3D9.1C2DE8DE90","Mark","JDARSF - South Fork John Day River","5/10/2012","JDARSF - South Fork John Day River","5/10/2012","5/10/2012 8:24:00 AM","John Day","JDARSF","17070201","Upper John Day","South Fork John Day River","JDARSF","1"
"3D9.1C2DE8DE90","Observation","BCC - BON PH2 Corner Collector","6/6/2012","","","6/6/2012 11:52:03 AM","Lower Columbia","BCC","17080001","Lower Columbia-Sandy","BON PH2 Corner Collector","BCC","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:17:40 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:17:41 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:22:17 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:22:18 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:24:12 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:52:39 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:56:32 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
"3D9.1C2DE8DE90","Observation","BO3 - Bonneville WA Shore Ladder/AFF","7/3/2014","","","7/3/2014 7:56:33 PM","Lower Columbia","BO3","17080001","Lower Columbia-Sandy","Bonneville WA Shore Ladder/AFF","BO3","1"
