"","MOUTH","BON","MCN","PRA","RIS","RRE","WEL_quick","ICH","LGR_quick","WEL_slow","LGR_slow"
"1",0,94.4534285714286,96.0746,77.2758,27.6846666666667,14.9055,9.29865789473684,45.957875,17.3818,0.608650602409639,0.0115384615384615
"2",0,94.7519285714286,90.2146,70.907,24.3486666666667,14.9055,9.2606052631579,38.3245,17.8243,0.849518072289157,0.0115384615384615
"3",0,94.9706428571429,84.5216,69.2886,21.0403333333333,15.319,9.33976315789474,37.676375,18.0341,1.08049397590361,0.0115384615384615
"4",0,94.6837142857143,79.134,71.2136,20.9266666666667,15.444,9.3835,39.575375,18.2096,1.19826506024096,0.0115384615384615
"5",0,94.4232857142857,77.4466,75.2394,22.431,15.4835,9.42297368421053,39.681625,18.6495,1.2528313253012,0.0115384615384615
"6",0,94.0772142857143,77.5242,78.6336,24.931,15.4835,9.44063157894737,39.118625,19.21605,1.2528313253012,0.0115384615384615
"7",0,93.7182857142857,81.1192,80.9544,24.3503333333333,10.9835,9.42123684210526,36.131375,19.72125,1.2528313253012,0.0115384615384615
"8",0,92.8787142857143,79.5252,81.8468,24.053,5.2375,9.66126315789474,33.493875,20.34895,1.2528313253012,0.0101846153846154
"9",0,92.0673571428571,74.817,80.8076,22.3473333333333,6.73025,9.714,34.04125,20.8902,1.18561445783133,0.0101846153846154
"10",0,91.65,69.8386,75.7384,19.4263333333333,9.6,9.79076315789474,36.25325,21.4624,1.18561445783133,0.0101846153846154
"11",0,91.6413571428571,65.3486,74.9484,20.1373333333333,9.85,9.8035,33.925625,21.904475,1.18371084337349,0.0101846153846154
"12",0,91.9392857142857,62.7486,78.44,22.8886666666667,10.6365,9.79034210526316,30.8865,22.303125,1.18371084337349,0.0101846153846154
"13",0,92.0137142857143,65.2376,82.3334,26.6263333333333,11.60425,9.76676315789474,31.3125,22.819475,1.10634939759036,0.0101846153846154
"14",0,92.0913571428571,71.205,80.2318,26.5666666666667,11.9095,9.72476315789474,34.238875,23.198425,1.10634939759036,0.0101846153846154
