"","event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"95","Observation","EFD - East Fork Diversion Fishway","01","01","Upstream Antenna","Upstream Antenna",100,NA
"96","Observation","FID - Farmer's Diversion, Hood River","01","01","Single Antenna","Single Antenna",100,NA
"97","Observation","TWX - Estuary Towed Array (Exp.)","C1","C5","MATRIX TRAWL [CURRENT]","MATRIX TRAWL [CURRENT]",210,NA
"98","Observation","BSC - Big Sheep Creek ISA at km 6","A4","A2","DOWNSTREAM RIGHT","UPSTREAM RIGHT",100,NA
"99","Observation","B2J - Bonneville PH2 Juvenile","01","04","FULL FLOW BYPASS","FULL FLOW BYPASS",150,NA
"100","Observation","IR3 - Upper Imnaha River ISA @ km 41","C5","C3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",100,NA
"101","Observation","IR4 - Imnaha Weir Downstream Array","04","04","Downstream Array","Downstream Array",100,NA
"102","Observation","IR5 - Imnaha Weir Upstream Array","05","01","Downstream Array","Upstream Array",100,NA
"103","Observation","CML - Chewuch River Middle Lower","01","01","Single Array","Single Array",100,NA
"104","Observation","CMU - Chewuch River Middle Upper","04","04","Single Array","Single Array",100,NA
"105","Observation","AFC - No./So. Fk Asotin Cr. Jct. ISA","06","01","Mainstem Asotin Creek Array","North Fork Asotin Creek Array",110,NA
"106","Observation","WWB - Walla Walla River Barge Array","B6","B1","Downstream Barge","Downstream Barge",110,NA
"107","Observation","COP - Lower Coppei Instream Array","02","01","Downstream Array","Upstream Array",110,NA
"108","Observation","PAT - Pattit Creek Instream Site","02","01","Downstream Array","Upstream Array",100,NA
"109","Observation","TMF - Three Mile Falls Dam Combined","02","01","Weir 5","Counting Window",130,NA
"110","Observation","UMW - Umatilla R Recycled Water Fac","03","03","Streamwidth array","Streamwidth array",100,NA
"111","Observation","FDC - Feed Canal","01","01","Bypass Outfall","Bypass Outfall",110,NA
"112","Observation","LLR - Lower Lemhi River","04","01","DOWNSTREAM ARRAY","UPSTREAM ARRAY",120,NA
"113","Observation","EVL - Eagle Valley Ranch - Lower","06","01","Downstream Array","Upstream Array",100,NA
"114","Observation","EVU - Eagle Valley Ranch - Upper","06","02","Downstream Array","Upstream Array",100,NA
"115","Observation","LFF - Lyle Falls Fishway","A1","F2","WET LAB TANK 1","Exit to Channel",110,NA
"116","Observation","TAY - Big Creek at Taylor Ranch","06","06","Upstream Array","Upstream Array",110,NA
"117","Observation","VC2 - Valley Creek, Downstream Site","B4","B4","DOWNSTREAM 3-ANTENNA ARRAY","DOWNSTREAM 3-ANTENNA ARRAY",130,NA
"118","Observation","MAR - Marsh Cr at Lola Cr Campground","05","02","Downstream Array","Upstream Array",100,NA
"119","Observation","SC3 - South Fork Clearwater Site 3","01","01","Single Array","Single Array",100,NA
"120","Observation","MEM - Eightmile Acclimation Pond","B2","B2","Outlet to River","Outlet to River",100,NA
"121","Observation","FST - Foster Creek","01","01","Single Antenna","Single Antenna",110,NA
"122","Observation","ANT - Antoine Creek Instream Array","13","13","Downstream Antenna","Downstream Antenna",110,NA
"123","Observation","BPC - Bonaparte Creek Instream Array","C3","C1","Three Antenna Series","Three Antenna Series",100,NA
"124","Observation","BVC - Beaver Creek, Methow River","B3","B1","Downstream Antenna","Upstream Antenna",110,NA
"125","Observation","ICB - Ice Harbor Bypass","A1","A4","FULL FLOW BYPASS","FULL FLOW BYPASS",110,NA
"126","Observation","JOC - Joseph Creek ISA @ km 3","02","02","Upstream Array","Upstream Array",120,NA
"127","Observation","ENL - Lower Entiat River","06","02","Downstream Array","Upstream Array",110,NA
"128","Observation","RCT - Roaring Creek Temporary Array","01","01","Upstream Antenna","Upstream Antenna",110,NA
"129","Observation","UGR - Upper Grande Ronde at rkm 155","A6","A6","SINGLE ARRAY","SINGLE ARRAY",100,NA
"130","Observation","UGS - Upper Grande Ronde Starkey","E7","E3","Downstream Array","Upstream Array",100,NA
"131","Observation","ENA - Upper Entiat River at rkm 17.1","44","41","DOWNSTREAM ANTENNA ARRAY","UPSTREAM ANTENNA ARRAY",100,NA
"132","Observation","MAD - Mad River, Entiat River Basin","36","34","LOWER IN-STREAM ARRAY","MIDDLE IN-STREAM ARRAY",100,NA
"133","Observation","LRU - Lochsa River Upper Site","A2","A2","Instream Array","Instream Array",100,NA
"134","Observation","LRL - Lower Lochsa River Array Site","BA","BA","Instream Array","Instream Array",100,NA
"135","Observation","MVF - Moving Falls Fish Ladder","02","01","Downstream Antenna","Upstream Antenna",110,NA
"136","Observation","158 - Fifteenmile Ck at Eightmile Ck","D5","D4","Middle Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA
"137","Observation","15D - Fifteenmile Ck at Dry Ck","C1","C1","Upstream Fifteenmile Ck","Upstream Fifteenmile Ck",100,NA
"138","Observation","DBH - Buck Hollow Ck Deschutes Trib","96","96","Downstream","Downstream",100,NA
"139","Observation","15R - Fifteenmile Ck at Ramsey Ck","E5","E1","Downstream Fifteenmile Ck","Upstream Ramsey Ck",100,NA
"140","Observation","DBO - Bakeoven Ck Deschutes Trib","A6","A6","Downstream","Downstream",100,NA
"141","Observation","MTD - Mill Creek at The Dalles","B1","B1","Upstream Array","Upstream Array",100,NA
"142","Observation","85M - Eightmile Ck at Fivemile Ck","F5","F6","Middle Eightmile Ck","Downstream Eightmile Ck",100,NA
"143","Observation","STL - Sawtooth Hatchery Adult Trap","A2","A4","KEYWAY 3 - OVERFLOW","KEYWAY 1 - OVERFLOW",100,NA
